token_id,gene_symbol
1,A1CF
2,A2M
3,A3GALT2
4,A4GALT
5,A4GNT
6,AAAS
7,AACS
8,AADAC
9,AADACL2
10,AADACL3
11,AADAT
12,AAGAB
13,AAK1
14,AAMDC
15,AAMP
16,AANAT
17,AAR2
18,AARD
19,AARS1
20,AARS2
21,AARSD1
22,AASDH
23,AASDHPPT
24,AASS
25,AATF
26,AATK
27,ABAT
28,ABCA1
29,ABCA12
30,ABCA13
31,ABCA2
32,ABCA3
33,ABCA4
34,ABCA5
35,ABCA6
36,ABCA7
37,ABCA8
38,ABCA9
39,ABCB10
40,ABCB11
41,ABCB4
42,ABCB5
43,ABCB6
44,ABCB7
45,ABCB8
46,ABCB9
47,ABCC1
48,ABCC10
49,ABCC12
50,ABCC2
51,ABCC3
52,ABCC4
53,ABCC5
54,ABCC6
55,ABCC8
56,ABCC9
57,ABCD1
58,ABCD2
59,ABCD3
60,ABCD4
61,ABCE1
62,ABCF1
63,ABCF2
64,ABCF3
65,ABCG1
66,ABCG4
67,ABCG5
68,ABCG8
69,ABHD1
70,ABHD10
71,ABHD11
72,ABHD12
73,ABHD12B
74,ABHD13
75,ABHD14A
76,ABHD14B
77,ABHD15
78,ABHD16A
79,ABHD16B
80,ABHD17A
81,ABHD17B
82,ABHD17C
83,ABHD18
84,ABHD2
85,ABHD3
86,ABHD4
87,ABHD5
88,ABHD6
89,ABHD8
90,ABI1
91,ABI2
92,ABI3
93,ABI3BP
94,ABITRAM
95,ABL1
96,ABL2
97,ABLIM1
98,ABLIM2
99,ABLIM3
100,ABO
101,ABR
102,ABRA
103,ABRACL
104,ABRAXAS1
105,ABRAXAS2
106,ABT1
107,ABTB1
108,ABTB2
109,ABTB3
110,ACAA2
111,ACACA
112,ACACB
113,ACAD11
114,ACAD8
115,ACAD9
116,ACADL
117,ACADM
118,ACADS
119,ACADSB
120,ACADVL
121,ACAN
122,ACAP1
123,ACAP2
124,ACAP3
125,ACAT1
126,ACBD3
127,ACBD4
128,ACBD5
129,ACBD6
130,ACBD7
131,ACCS
132,ACCSL
133,ACD
134,ACE
135,ACE2
136,ACER1
137,ACER2
138,ACER3
139,ACHE
140,ACIN1
141,ACKR1
142,ACKR2
143,ACKR3
144,ACKR4
145,ACLY
146,ACMSD
147,ACO1
148,ACO2
149,ACOD1
150,ACOT11
151,ACOT12
152,ACOT13
153,ACOT4
154,ACOT6
155,ACOT7
156,ACOT8
157,ACOX1
158,ACOX2
159,ACOX3
160,ACOXL
161,ACP1
162,ACP2
163,ACP3
164,ACP4
165,ACP5
166,ACP6
167,ACP7
168,ACR
169,ACRBP
170,ACRV1
171,ACSBG1
172,ACSBG2
173,ACSF2
174,ACSF3
175,ACSL1
176,ACSL3
177,ACSL4
178,ACSL5
179,ACSL6
180,ACSM1
181,ACSM3
182,ACSM4
183,ACSM5
184,ACSS1
185,ACSS2
186,ACSS3
187,ACTA1
188,ACTA2
189,ACTB
190,ACTBL2
191,ACTC1
192,ACTG1
193,ACTG2
194,ACTL10
195,ACTL6A
196,ACTL6B
197,ACTL7A
198,ACTL7B
199,ACTL9
200,ACTMAP
201,ACTN1
202,ACTN2
203,ACTN3
204,ACTN4
205,ACTR10
206,ACTR1A
207,ACTR1B
208,ACTR2
209,ACTR3
210,ACTR5
211,ACTR6
212,ACTR8
213,ACTRT1
214,ACTRT2
215,ACTRT3
216,ACVR1
217,ACVR1B
218,ACVR1C
219,ACVR2A
220,ACVR2B
221,ACVRL1
222,ACY1
223,ACY3
224,ACYP2
225,ADA
226,ADAD1
227,ADAD2
228,ADAM10
229,ADAM11
230,ADAM12
231,ADAM15
232,ADAM17
233,ADAM18
234,ADAM2
235,ADAM21
236,ADAM22
237,ADAM23
238,ADAM28
239,ADAM29
240,ADAM30
241,ADAM32
242,ADAM33
243,ADAM7
244,ADAM8
245,ADAM9
246,ADAMDEC1
247,ADAMTS1
248,ADAMTS10
249,ADAMTS12
250,ADAMTS13
251,ADAMTS14
252,ADAMTS15
253,ADAMTS16
254,ADAMTS17
255,ADAMTS18
256,ADAMTS19
257,ADAMTS2
258,ADAMTS20
259,ADAMTS3
260,ADAMTS4
261,ADAMTS5
262,ADAMTS6
263,ADAMTS7
264,ADAMTS8
265,ADAMTS9
266,ADAMTSL1
267,ADAMTSL2
268,ADAMTSL3
269,ADAMTSL4
270,ADAMTSL5
271,ADAP1
272,ADAP2
273,ADAR
274,ADARB1
275,ADARB2
276,ADAT1
277,ADAT2
278,ADCK1
279,ADCK2
280,ADCK5
281,ADCY1
282,ADCY10
283,ADCY2
284,ADCY3
285,ADCY4
286,ADCY5
287,ADCY6
288,ADCY7
289,ADCY8
290,ADCY9
291,ADCYAP1
292,ADCYAP1R1
293,ADD1
294,ADD2
295,ADD3
296,ADGB
297,ADGRA1
298,ADGRA2
299,ADGRA3
300,ADGRB1
301,ADGRB2
302,ADGRB3
303,ADGRD1
304,ADGRE1
305,ADGRE5
306,ADGRF1
307,ADGRF3
308,ADGRF4
309,ADGRF5
310,ADGRG1
311,ADGRG2
312,ADGRG3
313,ADGRG4
314,ADGRG5
315,ADGRG6
316,ADGRG7
317,ADGRL1
318,ADGRL2
319,ADGRL3
320,ADGRL4
321,ADGRV1
322,ADH4
323,ADH5
324,ADH6
325,ADH7
326,ADHFE1
327,ADI1
328,ADIG
329,ADIPOQ
330,ADIPOR1
331,ADIPOR2
332,ADISSP
333,ADK
334,ADM
335,ADM2
336,ADNP
337,ADNP2
338,ADO
339,ADORA1
340,ADORA2A
341,ADORA2B
342,ADORA3
343,ADPGK
344,ADPRH
345,ADPRM
346,ADPRS
347,ADRA1A
348,ADRA1B
349,ADRA1D
