token_id,gene_symbol
1,A1CF
2,A2M
3,A3GALT2
4,A4GALT
5,A4GNT
6,AAAS
7,AACS
8,AADAC
9,AADACL2
10,AADACL3
11,AADAT
12,AAGAB
13,AAK1
14,AAMDC
15,AAMP
16,AANAT
17,AAR2
18,AARD
19,AARS2
20,AARSD1
21,AASDH
22,AASDHPPT
23,AASS
24,AATF
25,AATK
26,ABAT
27,ABCA1
28,ABCA12
29,ABCA13
30,ABCA2
31,ABCA3
32,ABCA4
33,ABCA5
34,ABCA6
35,ABCA7
36,ABCA8
37,ABCA9
38,ABCB10
39,ABCB11
40,ABCB4
41,ABCB5
42,ABCB6
43,ABCB7
44,ABCB8
45,ABCB9
46,ABCC1
47,ABCC10
48,ABCC12
49,ABCC2
50,ABCC3
51,ABCC4
52,ABCC5
53,ABCC6
54,ABCC8
55,ABCC9
56,ABCD1
57,ABCD2
58,ABCD3
59,ABCD4
60,ABCE1
61,ABCF1
62,ABCF2
63,ABCF3
64,ABCG1
65,ABCG4
66,ABCG5
67,ABCG8
68,ABHD1
69,ABHD10
70,ABHD11
71,ABHD12
72,ABHD12B
73,ABHD13
74,ABHD14A
75,ABHD14B
76,ABHD15
77,ABHD16A
78,ABHD16B
79,ABHD17A
80,ABHD17B
81,ABHD17C
82,ABHD18
83,ABHD2
84,ABHD3
85,ABHD4
86,ABHD5
87,ABHD6
88,ABHD8
89,ABI1
90,ABI2
91,ABI3
92,ABI3BP
93,ABITRAM
94,ABL1
95,ABL2
96,ABLIM1
97,ABLIM2
98,ABLIM3
99,ABO
100,ABR
101,ABRA
102,ABRACL
103,ABRAXAS1
104,ABRAXAS2
105,ABT1
106,ABTB1
107,ABTB2
108,ACAA2
109,ACACA
110,ACACB
111,ACAD11
112,ACAD8
113,ACAD9
114,ACADL
115,ACADM
116,ACADS
117,ACADSB
118,ACADVL
119,ACAN
120,ACAP1
121,ACAP2
122,ACAP3
123,ACAT1
124,ACBD3
125,ACBD4
126,ACBD5
127,ACBD6
128,ACBD7
129,ACCS
130,ACCSL
131,ACD
132,ACE
133,ACE2
134,ACER1
135,ACER2
136,ACER3
137,ACHE
138,ACIN1
139,ACKR1
140,ACKR2
141,ACKR3
142,ACKR4
143,ACLY
144,ACMSD
145,ACO1
146,ACO2
147,ACOD1
148,ACOT11
149,ACOT12
150,ACOT13
151,ACOT4
152,ACOT6
153,ACOT7
154,ACOT8
155,ACOX1
156,ACOX2
157,ACOX3
158,ACOXL
159,ACP1
160,ACP2
161,ACP4
162,ACP5
163,ACP6
164,ACP7
165,ACR
166,ACRBP
167,ACRV1
168,ACSBG1
169,ACSBG2
170,ACSF2
171,ACSF3
172,ACSL1
173,ACSL3
174,ACSL4
175,ACSL5
176,ACSL6
177,ACSM1
178,ACSM3
179,ACSM4
180,ACSM5
181,ACSS1
182,ACSS2
183,ACSS3
184,ACTA1
185,ACTA2
186,ACTB
187,ACTBL2
188,ACTC1
189,ACTG1
190,ACTG2
191,ACTL10
192,ACTL6A
193,ACTL6B
194,ACTL7A
195,ACTL7B
196,ACTL9
197,ACTN1
198,ACTN2
199,ACTN3
200,ACTN4
201,ACTR10
202,ACTR1A
203,ACTR1B
204,ACTR2
205,ACTR3
206,ACTR5
207,ACTR6
208,ACTR8
209,ACTRT1
210,ACTRT2
211,ACTRT3
212,ACVR1
213,ACVR1B
214,ACVR1C
215,ACVR2A
216,ACVR2B
217,ACVRL1
218,ACY1
219,ACY3
220,ACYP2
221,ADA
222,ADAD1
223,ADAD2
224,ADAM10
225,ADAM11
226,ADAM12
227,ADAM15
228,ADAM17
229,ADAM18
230,ADAM2
231,ADAM21
232,ADAM22
233,ADAM23
234,ADAM28
235,ADAM29
236,ADAM30
237,ADAM32
238,ADAM33
239,ADAM7
240,ADAM8
241,ADAM9
242,ADAMDEC1
243,ADAMTS1
244,ADAMTS10
245,ADAMTS12
246,ADAMTS13
247,ADAMTS14
248,ADAMTS15
249,ADAMTS16
250,ADAMTS17
251,ADAMTS18
252,ADAMTS19
253,ADAMTS2
254,ADAMTS20
255,ADAMTS3
256,ADAMTS4
257,ADAMTS5
258,ADAMTS6
259,ADAMTS7
260,ADAMTS8
261,ADAMTS9
262,ADAMTSL1
263,ADAMTSL2
264,ADAMTSL3
265,ADAMTSL4
266,ADAMTSL5
267,ADAP1
268,ADAP2
269,ADAR
270,ADARB1
271,ADARB2
272,ADAT1
273,ADAT2
274,ADCK1
275,ADCK2
276,ADCK5
277,ADCY1
278,ADCY10
279,ADCY2
280,ADCY3
281,ADCY4
282,ADCY5
283,ADCY6
284,ADCY7
285,ADCY8
286,ADCY9
287,ADCYAP1
288,ADCYAP1R1
289,ADD1
290,ADD2
291,ADD3
292,ADGB
293,ADGRA1
294,ADGRA2
295,ADGRA3
296,ADGRB1
297,ADGRB2
298,ADGRB3
299,ADGRD1
300,ADGRE1
301,ADGRE5
302,ADGRF1
303,ADGRF3
304,ADGRF4
305,ADGRF5
306,ADGRG1
307,ADGRG2
308,ADGRG3
309,ADGRG4
310,ADGRG5
311,ADGRG6
312,ADGRG7
313,ADGRL1
314,ADGRL2
315,ADGRL3
316,ADGRL4
317,ADGRV1
318,ADH4
319,ADH5
320,ADH6
321,ADH7
322,ADHFE1
323,ADI1
324,ADIG
325,ADIPOQ
326,ADIPOR1
327,ADIPOR2
328,ADK
329,ADM
330,ADM2
331,ADNP
332,ADNP2
333,ADO
334,ADORA1
335,ADORA2A
336,ADORA2B
337,ADORA3
338,ADPGK
339,ADPRH
340,ADPRM
341,ADPRS
342,ADRA1A
343,ADRA1B
344,ADRA1D
345,ADRA2A
346,ADRA2B
347,ADRA2C
348,ADRB1
