recipient,donor,seed,effect_percent,positive,beats_all_three_random_controls,random_control_mean_effect_percent,held_out_donors
adipose,brain,17,-1.8833860344398965,False,False,-1.752104568798006,159
adipose,brain,42,-2.609446604830309,False,False,-2.483085732536999,159
adipose,brain,101,-2.9698599618252772,False,False,-1.9394339476885236,159
adipose,colon,17,-1.54079075603258,False,True,-1.752104568798006,159
adipose,colon,42,-1.9553752640987547,False,True,-2.483085732536999,159
adipose,colon,101,-0.8776266081649123,False,True,-1.9394339476885236,159
adipose,heart,17,-1.0315274396906262,False,True,-1.752104568798006,159
adipose,heart,42,-1.4267763971038163,False,True,-2.483085732536999,159
adipose,heart,101,-0.6573782492466909,False,True,-1.9394339476885236,159
adipose,liver,17,-2.0139098861372737,False,False,-1.752104568798006,159
adipose,liver,42,-3.0702631169809544,False,False,-2.483085732536999,159
adipose,liver,101,-1.7566310483118535,False,True,-1.9394339476885236,159
adipose,lung,17,-1.0745375872221952,False,True,-1.752104568798006,159
adipose,lung,42,-1.5189388263697772,False,True,-2.483085732536999,159
adipose,lung,101,-0.8043344678057104,False,True,-1.9394339476885236,159
adipose,skeletal_muscle,17,-1.188003423604608,False,True,-1.752104568798006,159
adipose,skeletal_muscle,42,-1.5712256008934806,False,True,-2.483085732536999,159
adipose,skeletal_muscle,101,-1.2312571328066249,False,True,-1.9394339476885236,159
adipose,skin,17,-1.7418036464304856,False,False,-1.752104568798006,159
adipose,skin,42,-2.9296197566476825,False,False,-2.483085732536999,159
adipose,skin,101,-2.753012701421007,False,False,-1.9394339476885236,159
brain,adipose,17,-4.35637450450555,False,False,-3.209912427340324,74
brain,adipose,42,-6.847868890576903,False,False,-6.27854957472197,74
brain,adipose,101,-2.6958793354570822,False,True,-3.1934296457160927,74
brain,colon,17,-2.7879943916661993,False,True,-3.209912427340324,74
brain,colon,42,-6.301948348571662,False,False,-6.27854957472197,74
brain,colon,101,-3.1344897336441915,False,False,-3.1934296457160927,74
brain,heart,17,-2.209709715276568,False,True,-3.209912427340324,74
brain,heart,42,-6.654166766029505,False,False,-6.27854957472197,74
brain,heart,101,-1.8334890523373877,False,True,-3.1934296457160927,74
brain,liver,17,-2.3821315674998726,False,True,-3.209912427340324,74
brain,liver,42,-5.571641535507408,False,False,-6.27854957472197,74
brain,liver,101,-2.7691003999111126,False,True,-3.1934296457160927,74
