comparison,seed,relative_mse_reduction,ci95_low,ci95_high
candidate_vs_pooled,17,0.37755952427139144,0.37337755635784786,0.38157089709816877
candidate_vs_pooled,42,0.34145260443484454,0.33707809477780165,0.34582652131707714
candidate_vs_pooled,101,0.3576851426852885,0.3527842368509373,0.36270181339879265
candidate_vs_private_phase1,17,0.03207099531183182,0.029259506191362295,0.034918071540359294
candidate_vs_private_phase1,42,0.05885266724998581,0.056022668207254975,0.061708181771144066
candidate_vs_private_phase1,101,0.06384767732184596,0.05940970257117516,0.06804121960685038
candidate_vs_private_extended,17,0.03207099531183182,0.029413919270714295,0.03503083302749696
candidate_vs_private_extended,42,0.05885266724998581,0.05601089054400373,0.06156622732700708
candidate_vs_private_extended,101,0.06384767732184596,0.05928994297085234,0.06801462362820918
candidate_vs_random_basis,17,0.030899511858224236,0.028044732258112513,0.033601965977391436
candidate_vs_random_basis,42,0.0579472470682581,0.055183654765407805,0.06070173529841751
candidate_vs_random_basis,101,0.06307673334216125,0.05907882542584483,0.06728155919723779
candidate_vs_generic_extended,17,0.39392798549208635,0.38988188891311876,0.39828310646805926
candidate_vs_generic_extended,42,0.34202193921889956,0.3375195433543555,0.34607751780210444
candidate_vs_generic_extended,101,0.37387013969158334,0.368589531424089,0.3785426692673531
private_phase1_vs_pooled,17,0.35301878696558325,0.3487387113445919,0.35721049109254416
private_phase1_vs_pooled,42,0.298581029906,0.2947695873643151,0.30243679507168036
private_phase1_vs_pooled,101,0.31481048839909,0.31105230791929794,0.3188424337251126
