recipient,donor,trunk_seed,optimization_seed,effect_vs_a1500_percent,effect_vs_a2250_percent,positive_vs_a1500,positive_vs_a2250,held_out_donors
brain,skin,17,211,-0.1365104304583431,-0.7640470835618506,False,False,74
brain,skin,17,223,-0.5821631015510903,-2.055138701882479,False,False,74
brain,skin,17,227,-1.8356364544949084,-3.2955746573992357,False,False,74
brain,skin,42,211,-0.641184569820193,-6.403220206947298,False,False,74
brain,skin,42,223,-0.14829252630512807,-1.2043250968724903,False,False,74
brain,skin,42,227,-0.9487763237774833,-3.603046502453221,False,False,74
brain,skin,101,211,-2.542441405551495,-6.3544425082374225,False,False,74
brain,skin,101,223,-1.1528926363257967,-5.353942027988063,False,False,74
brain,skin,101,227,0.019595531120639803,-1.097681609149701,True,False,74
colon,skeletal_muscle,17,211,-0.43472741703009643,-0.8620994473765711,False,False,132
colon,skeletal_muscle,17,223,-0.6021787871839304,-2.2291530439985943,False,False,132
colon,skeletal_muscle,17,227,-1.3799626694040341,-2.703520814393567,False,False,132
colon,skeletal_muscle,42,211,0.3095641160352638,-0.5645361567464637,True,False,132
colon,skeletal_muscle,42,223,0.19753260418977356,-0.4428469717949041,True,False,132
colon,skeletal_muscle,42,227,0.17744801338450114,-2.118538583445494,True,False,132
colon,skeletal_muscle,101,211,-0.10447733938694448,-2.1889880110207853,False,False,132
colon,skeletal_muscle,101,223,0.4673371041190493,-1.2701948153361493,True,False,132
colon,skeletal_muscle,101,227,0.44454269733176616,-0.24732178301863475,True,False,132
liver,skin,17,211,-2.4021032383665655,-9.161109329692067,False,False,48
liver,skin,17,223,-0.48786705747293935,-5.857924482633495,False,False,48
liver,skin,17,227,2.7256061606546065,1.2711596487868992,True,True,48
liver,skin,42,211,3.2280498923894627,-2.4712754580749854,True,False,48
liver,skin,42,223,2.7095960767176845,0.5596206380947727,True,True,48
liver,skin,42,227,3.0390696123653163,-3.0944868826101684,True,False,48
liver,skin,101,211,-0.9887243271670346,-10.340756223659008,False,False,48
liver,skin,101,223,8.06174009074485,3.1558254805607273,True,True,48
liver,skin,101,227,11.315503664398227,7.026212139939116,True,True,48
adipose,lung,17,211,0.2608921435695765,-0.2724265861976999,True,False,159
adipose,lung,17,223,0.8575177072614185,-0.4182865497668806,True,False,159
adipose,lung,17,227,0.028998516671610883,-0.5605632221640858,True,False,159
adipose,lung,42,211,-0.7230375761807076,-1.3590777952600943,False,False,159
adipose,lung,42,223,0.023937695209018246,-0.8459305251607266,True,False,159
adipose,lung,42,227,-0.490036287424441,-1.2983113996746254,False,False,159
adipose,lung,101,211,1.5572062734582979,0.19779769655216278,True,True,159
adipose,lung,101,223,0.14537757733713524,-1.1124550926822487,True,False,159
adipose,lung,101,227,-0.794999880350987,-2.440541391344682,False,False,159
heart,adipose,17,211,-0.6948503623762315,-2.4267844103946716,False,False,108
heart,adipose,17,223,0.3098635803877313,-0.741035000430259,True,False,108
heart,adipose,17,227,0.835515524278616,0.043891770293384154,True,True,108
heart,adipose,42,211,-0.4361456257665129,-3.7828846521766333,False,False,108
heart,adipose,42,223,-0.0916542664730827,-3.2406205456882726,False,False,108
heart,adipose,42,227,-1.3756268562442167,-3.5023840855708794,False,False,108
heart,adipose,101,211,-0.055426553841786644,-1.8628168691465605,False,False,108
heart,adipose,101,223,-3.2231921210825885,-7.981436798915416,False,False,108
heart,adipose,101,227,-2.0645569555028866,-2.4346471806670777,False,False,108
lung,skeletal_muscle,17,211,-0.87973665173366,-1.3940024286499948,False,False,118
lung,skeletal_muscle,17,223,-1.2799241808964792,-3.0530546092540707,False,False,118
lung,skeletal_muscle,17,227,1.7024244215281399,1.3750691246278035,True,True,118
lung,skeletal_muscle,42,211,-2.2057844461554468,-4.744573122883317,False,False,118
lung,skeletal_muscle,42,223,-2.5785264732879494,-4.985866450789036,False,False,118
lung,skeletal_muscle,42,227,0.9297925945983861,0.20384520888140126,True,True,118
lung,skeletal_muscle,101,211,-0.8905895196530949,-4.060660629206888,False,False,118
lung,skeletal_muscle,101,223,-1.721959200473788,-3.5027981891027413,False,False,118
lung,skeletal_muscle,101,227,-2.1750635877982045,-5.277032663275072,False,False,118
skeletal_muscle,lung,17,211,-6.661290589838206,-12.019049244537985,False,False,159
skeletal_muscle,lung,17,223,3.1335014394043874,1.062925721355654,True,True,159
skeletal_muscle,lung,17,227,-3.423061452641895,-6.513225772630452,False,False,159
skeletal_muscle,lung,42,211,-0.7897129768068972,-6.008725638200322,False,False,159
skeletal_muscle,lung,42,223,-0.7850953951336221,-3.033346980761553,False,False,159
skeletal_muscle,lung,42,227,-1.8826883891477988,-7.181061828459206,False,False,159
skeletal_muscle,lung,101,211,-3.0955266485801283,-9.698865823055902,False,False,159
skeletal_muscle,lung,101,223,1.0359292050477344,-1.0500032164801796,True,False,159
skeletal_muscle,lung,101,227,-2.9228244884726897,-8.771431253690228,False,False,159
skin,adipose,17,211,-1.6059221147244456,-3.6206329077136434,False,False,166
skin,adipose,17,223,-2.4493768671324774,-4.225287110893528,False,False,166
skin,adipose,17,227,-8.915248443850558,-24.898898485132488,False,False,166
skin,adipose,42,211,-1.3907797939611592,-5.586489064592704,False,False,166
skin,adipose,42,223,-2.318762729710132,-8.854347619261226,False,False,166
skin,adipose,42,227,-5.083568980469028,-12.592850975244122,False,False,166
skin,adipose,101,211,-2.8603197948570243,-9.638687944831146,False,False,166
skin,adipose,101,223,1.441951475421461,-4.1225087978480754,True,False,166
skin,adipose,101,227,-7.627326897371177,-15.889596845316634,False,False,166
