organ,n_samples,n_series_groups,median_samples_per_group,largest_group_samples,largest_group_fraction,tumor_like_samples,source_labeled_samples,eligible_for_pilot
brain,3461,126,9.0,427,0.12337474718289512,178,3377,True
liver,2634,84,6.5,1285,0.4878511769172361,443,2633,False
skin,1821,71,7.0,453,0.2487644151565074,15,1813,False
lung,796,65,3.0,189,0.23743718592964824,161,794,False
colon,655,63,2.0,86,0.13129770992366413,162,593,False
skeletal_muscle,1590,47,21.0,133,0.08364779874213836,0,1546,False
kidney,342,44,3.0,48,0.14035087719298245,12,341,False
adipose,1013,42,11.5,382,0.3770977295162882,0,1010,False
heart,807,39,3.0,366,0.45353159851301117,0,806,False
placenta,214,30,3.0,78,0.3644859813084112,0,214,False
pancreas,167,22,3.5,72,0.4311377245508982,27,167,False
testis,78,21,2.0,23,0.2948717948717949,0,78,False
ovary,66,21,1.0,22,0.3333333333333333,13,65,False
prostate,231,14,5.0,99,0.42857142857142855,151,230,False
breast,221,10,10.5,65,0.29411764705882354,150,221,False
