id.accession,id.sample name,mission,candidate_animal,ercc_label,study.characteristics.strain,study.factor value.spaceflight
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2,RR3,RR3:B2,wERCC,BALB/c,Basal Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4,RR3,RR3:B4,wERCC,BALB/c,Basal Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6,RR3,RR3:B6,wERCC,BALB/c,Basal Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7,RR3,RR3:B7,wERCC,BALB/c,Basal Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1,RR3,RR3:F1,wERCC,BALB/c,Space Flight
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2,RR3,RR3:F2,wERCC,BALB/c,Space Flight
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3,RR3,RR3:F3,wERCC,BALB/c,Space Flight
OSD-168,Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4,RR3,RR3:F4,wERCC,BALB/c,Space Flight
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1,RR3,RR3:G1,wERCC,BALB/c,Ground Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2,RR3,RR3:G2,wERCC,BALB/c,Ground Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3,RR3,RR3:G3,wERCC,BALB/c,Ground Control
OSD-168,Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5,RR3,RR3:G5,wERCC,BALB/c,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,RR1,RR1:M4,noERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,RR1,RR1:M5,noERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,RR1,RR1:M7,noERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,RR1,RR1:M8,noERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,RR1,RR1:M10,noERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4,RR1,RR1:M4,wERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5,RR1,RR1:M5,wERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7,RR1,RR1:M7,wERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8,RR1,RR1:M8,wERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10,RR1,RR1:M10,wERCC,C57BL/6J,Basal Control
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25,RR1,RR1:M25,noERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26,RR1,RR1:M26,noERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28,RR1,RR1:M28,noERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29,RR1,RR1:M29,noERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30,RR1,RR1:M30,noERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep1_M25,RR1,RR1:M25,wERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep2_M26,RR1,RR1:M26,wERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep3_M28,RR1,RR1:M28,wERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep4_M29,RR1,RR1:M29,wERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep5_M30,RR1,RR1:M30,wERCC,C57BL/6J,Space Flight
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36,RR1,RR1:M36,noERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37,RR1,RR1:M37,noERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38,RR1,RR1:M38,noERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39,RR1,RR1:M39,noERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40,RR1,RR1:M40,noERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep1_M36,RR1,RR1:M36,wERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37,RR1,RR1:M37,wERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep3_M38,RR1,RR1:M38,wERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep4_M39,RR1,RR1:M39,wERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep5_M40,RR1,RR1:M40,wERCC,C57BL/6J,Ground Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16,RR1,RR1:M16,noERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17,RR1,RR1:M17,noERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18,RR1,RR1:M18,noERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19,RR1,RR1:M19,noERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20,RR1,RR1:M20,noERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep1_M16,RR1,RR1:M16,wERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep2_M17,RR1,RR1:M17,wERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep3_M18,RR1,RR1:M18,wERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep4_M19,RR1,RR1:M19,wERCC,C57BL/6J,Vivarium Control
OSD-168,Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep5_M20,RR1,RR1:M20,wERCC,C57BL/6J,Vivarium Control
