study,sample,species,tissue,condition_name,unit,survey_source,platform_id,instrument_model,library_strategy,library_source,library_selection,id.assay name,library_type,study.parameter value.sample preservation method,study.parameter value.carcass preservation method
OSD-101,Mmus_C57-6J_GST_GC_Rep6_M38,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep6_M38,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_GC_Rep3_M35,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep3_M35,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_GC_Rep5_M37,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep5_M37,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_GC_Rep4_M36,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep4_M36,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_GC_Rep1_M33,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep1_M33,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_GC_Rep2_M34,mouse,skeletal muscle,ground,Mmus_C57-6J_GST_GC_Rep2_M34,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep2_M24,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep2_M24,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep3_M25,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep3_M25,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep5_M27,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep5_M27,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep4_M26,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep4_M26,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep6_M28,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep6_M28,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-101,Mmus_C57-6J_GST_FLT_Rep1_M23,mouse,skeletal muscle,flight,Mmus_C57-6J_GST_FLT_Rep1_M23,general_survey_2026-09-12,,,,,,OSD-101_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep3_M35,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep3_M35,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep6_M38,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep6_M38,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep4_M36,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep4_M36,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep1_M33,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep1_M33,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep2_M34,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep2_M34,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_GC_Rep5_M37,mouse,skeletal muscle,ground,Mmus_C57-6J_Quad_GC_Rep5_M37,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep5_M27,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep5_M27,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep6_M28,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep6_M28,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep4_M26,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep4_M26,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
OSD-103,Mmus_C57-6J_Quad_FLT_Rep3_M25,mouse,skeletal muscle,flight,Mmus_C57-6J_Quad_FLT_Rep3_M25,general_survey_2026-09-12,,,,,,OSD-103_transcription-profiling_rna-sequencing-(rna-seq)_Illumina HiSeq 4000,unknown,Liquid Nitrogen,
