gene,source_row,method
A1CF,15331,stable_id
A2M,7652,stable_id
A3GALT2,6903,stable_id
A4GALT,14111,stable_id
A4GNT,10902,stable_id
AAAS,10425,stable_id
AACS,7334,stable_id
AADAC,6291,stable_id
AADACL2,31504,stable_id
AADACL3,22431,stable_id
AADAT,16337,stable_id
AAGAB,10645,stable_id
AAK1,16339,stable_id
AAMDC,10104,stable_id
AAMP,971,stable_id
AANAT,2741,stable_id
AAR2,6226,stable_id
AARD,19391,stable_id
AARS2,4196,stable_id
AARSD1,21265,stable_id
AASDH,16043,stable_id
AASDHPPT,5239,stable_id
AASS,7464,stable_id
AATF,1981,stable_id
AATK,5010,stable_id
ABAT,16468,stable_id
ABCA1,1575,stable_id
ABCA12,14759,stable_id
ABCA13,742,stable_id
ABCA2,5855,stable_id
ABCA3,4315,stable_id
ABCA4,6506,stable_id
ABCA5,1996,stable_id
ABCA6,13237,stable_id
ABCA7,10124,stable_id
ABCA8,2620,stable_id
ABCA9,12370,stable_id
ABCB10,8689,stable_id
ABCB11,5904,stable_id
ABCB4,12593,stable_id
ABCB5,20278,stable_id
ABCB6,5412,stable_id
ABCB7,8290,stable_id
ABCB8,7014,stable_id
ABCB9,7281,stable_id
ABCC1,4062,stable_id
ABCC10,9153,stable_id
ABCC12,10488,stable_id
ABCC2,4911,stable_id
ABCC3,2778,stable_id
ABCC4,9156,stable_id
ABCC5,3913,stable_id
ABCC6,8051,stable_id
ABCC8,11789,stable_id
ABCC9,7732,stable_id
ABCD1,8318,stable_id
ABCD2,16013,stable_id
ABCD3,6508,stable_id
ABCD4,2990,stable_id
ABCE1,16569,stable_id
ABCF1,11271,stable_id
ABCF2,6997,stable_id
ABCF3,550,stable_id
ABCG1,4249,stable_id
ABCG4,8794,stable_id
ABCG5,11933,stable_id
ABCG8,4395,stable_id
ABHD1,1036,stable_id
ABHD10,9258,stable_id
ABHD11,11943,stable_id
ABHD12,8737,stable_id
ABHD12B,30926,stable_id
