gene,source_row,method
A1CF,15317,stable_id
A2M,7646,stable_id
A3GALT2,6898,stable_id
A4GALT,14101,stable_id
A4GNT,10894,stable_id
AAAS,10417,stable_id
AACS,7328,stable_id
AADAC,6286,stable_id
AADACL2,30154,stable_id
AADACL3,22016,stable_id
AADAT,16323,stable_id
AAGAB,10637,stable_id
AAK1,16325,stable_id
AAMDC,10096,stable_id
AAMP,970,stable_id
AANAT,2740,stable_id
AAR2,6221,stable_id
AARD,19184,stable_id
AARS2,4192,stable_id
AARSD1,21036,stable_id
AASDH,16029,stable_id
AASDHPPT,5234,stable_id
AASS,7458,stable_id
AATF,1980,stable_id
AATK,5005,stable_id
ABAT,16454,stable_id
ABCA1,1574,stable_id
ABCA12,14747,stable_id
ABCA13,741,stable_id
ABCA2,5850,stable_id
ABCA3,4311,stable_id
ABCA4,6501,stable_id
ABCA5,1995,stable_id
ABCA6,13227,stable_id
ABCA7,10116,stable_id
ABCA8,2619,stable_id
ABCA9,12361,stable_id
ABCB10,8683,stable_id
ABCB11,5899,stable_id
ABCB4,12584,stable_id
ABCB5,20056,stable_id
ABCB6,5407,stable_id
ABCB7,8284,stable_id
ABCB8,7009,stable_id
ABCB9,7275,stable_id
ABCC1,4059,stable_id
ABCC10,9147,stable_id
ABCC12,10480,stable_id
ABCC2,4906,stable_id
ABCC3,2777,stable_id
ABCC4,9150,stable_id
ABCC5,3910,stable_id
ABCC6,8045,stable_id
ABCC8,11780,stable_id
ABCC9,7726,stable_id
ABCD1,8312,stable_id
ABCD2,15999,stable_id
ABCD3,6503,stable_id
ABCD4,2989,stable_id
ABCE1,16555,stable_id
ABCF1,11263,stable_id
ABCF2,6992,stable_id
ABCF3,549,stable_id
ABCG1,4245,stable_id
ABCG4,8788,stable_id
ABCG5,11924,stable_id
ABCG8,4391,stable_id
ABHD1,1035,stable_id
ABHD10,9252,stable_id
ABHD11,11934,stable_id
ABHD12,8731,stable_id
ABHD12B,29583,stable_id
ABHD13,11878,stable_id
ABHD14A,12483,stable_id
ABHD14B,12439,stable_id
ABHD15,113,stable_id
ABHD16A,1079,stable_id
ABHD16B,16021,stable_id
ABHD17A,564,stable_id
ABHD17B,13953,stable_id
ABHD17C,11124,stable_id
ABHD18,10847,stable_id
ABHD2,11443,stable_id
ABHD3,433,stable_id
ABHD4,12110,stable_id
ABHD5,9022,stable_id
ABHD6,4961,stable_id
ABHD8,1141,stable_id
ABI1,16663,stable_id
ABI2,5742,stable_id
ABI3,1915,stable_id
ABI3BP,9967,stable_id
ABITRAM,11291,stable_id
ABL1,5789,stable_id
ABL2,5632,stable_id
ABLIM1,4850,stable_id
ABLIM2,7085,stable_id
ABLIM3,9109,stable_id
ABO,1650,stable_id
ABR,1818,stable_id
ABRA,12732,stable_id
ABRACL,21994,stable_id
ABRAXAS1,9956,stable_id
ABRAXAS2,8105,stable_id
ABT1,10321,stable_id
ABTB1,7624,stable_id
ABTB2,9104,stable_id
ACAA2,10484,stable_id
ACACA,2571,stable_id
ACACB,12423,stable_id
ACAD11,29601,stable_id
ACAD8,8679,stable_id
ACAD9,6267,stable_id
ACADL,5295,stable_id
ACADM,17567,stable_id
ACADS,7359,stable_id
ACADSB,8060,stable_id
ACADVL,1957,stable_id
ACAN,7910,stable_id
ACAP1,281,stable_id
ACAP2,14419,stable_id
ACAP3,7048,stable_id
ACAT1,8732,stable_id
ACBD3,5578,stable_id
ACBD4,16253,stable_id
ACBD5,5741,stable_id
ACBD6,9407,stable_id
ACBD7,5664,stable_id
ACCS,11832,stable_id
ACCSL,20811,stable_id
ACD,10919,stable_id
ACE,2664,stable_id
ACE2,1596,stable_id
ACER1,13299,stable_id
ACER2,10922,stable_id
ACER3,8002,stable_id
ACHE,4112,stable_id
ACIN1,3522,stable_id
ACKR1,10865,stable_id
ACKR2,13163,stable_id
ACKR3,13104,stable_id
ACKR4,22379,stable_id
ACLY,2820,stable_id
ACMSD,5492,stable_id
ACO1,6654,stable_id
ACO2,3703,stable_id
ACOD1,3493,stable_id
ACOT11,9826,stable_id
ACOT12,3199,stable_id
ACOT13,1048,stable_id
ACOT4,15266,stable_id
ACOT6,12874,stable_id
ACOT7,6981,stable_id
ACOT8,1786,stable_id
ACOX1,2722,stable_id
ACOX2,3275,stable_id
ACOX3,7088,stable_id
ACOXL,6077,stable_id
ACP1,13175,stable_id
ACP2,376,stable_id
ACP4,1406,stable_id
ACP5,235,stable_id
ACP6,6483,stable_id
ACP7,10722,stable_id
ACR,3796,stable_id
ACRBP,20050,stable_id
ACRV1,8772,stable_id
ACSBG1,8853,stable_id
ACSBG2,4357,stable_id
ACSF2,21187,stable_id
ACSF3,1545,stable_id
ACSL1,1994,stable_id
ACSL3,9163,stable_id
ACSL4,8254,stable_id
ACSL5,4790,stable_id
ACSL6,2455,stable_id
ACSM1,9364,stable_id
ACSM3,8097,stable_id
ACSM4,13861,stable_id
ACSM5,8110,stable_id
ACSS1,6120,stable_id
ACSS2,6211,stable_id
ACSS3,10189,stable_id
ACTA1,8682,stable_id
ACTA2,10136,stable_id
ACTB,7381,stable_id
ACTBL2,15882,stable_id
ACTC1,19200,stable_id
ACTG1,17549,stable_id
ACTG2,16797,stable_id
ACTL10,21901,stable_id
ACTL6A,6247,stable_id
ACTL6B,7470,stable_id
ACTL7A,19715,stable_id
ACTL7B,19716,stable_id
ACTL9,30780,stable_id
ACTN1,1563,stable_id
