gene,source_row,method
A1CF,9113,exact_symbol
A2M,13991,exact_symbol
A3GALT2,15751,exact_symbol
A4GALT,6004,exact_symbol
A4GNT,4772,exact_symbol
AAAS,2009,exact_symbol
AACS,1542,exact_symbol
AADAC,4324,exact_symbol
AADACL2,17626,exact_symbol
AADACL3,16883,exact_symbol
AADAT,3679,exact_symbol
AAGAB,2841,exact_symbol
AAK1,4511,exact_symbol
AAMDC,1755,exact_symbol
AAMP,5955,exact_symbol
AANAT,6169,exact_symbol
AAR2,6389,exact_symbol
AARD,20155,exact_symbol
AARS2,5557,exact_symbol
AARSD1,51058,exact_symbol
AASDH,10105,exact_symbol
AASDHPPT,9200,exact_symbol
AASS,213,exact_symbol
AATF,56009,exact_symbol
AATK,15062,exact_symbol
ABAT,15412,exact_symbol
ABCA1,11511,exact_symbol
ABCA12,8568,exact_symbol
ABCA13,14768,exact_symbol
ABCA2,3410,exact_symbol
ABCA3,12249,exact_symbol
ABCA4,17860,exact_symbol
ABCA5,9752,exact_symbol
ABCA6,9750,exact_symbol
ABCA7,894,exact_symbol
ABCA8,8091,exact_symbol
ABCA9,9749,exact_symbol
ABCB10,7152,exact_symbol
ABCB11,1237,exact_symbol
ABCB4,99,exact_symbol
ABCB5,63,exact_symbol
ABCB6,4467,exact_symbol
ABCB7,6430,exact_symbol
ABCB8,17369,exact_symbol
ABCB9,9349,exact_symbol
ABCC1,2781,exact_symbol
ABCC10,5550,exact_symbol
ABCC12,8020,exact_symbol
ABCC2,434,exact_symbol
ABCC3,3600,exact_symbol
ABCC4,5625,exact_symbol
ABCC5,4323,exact_symbol
ABCC6,1922,exact_symbol
ABCC8,122,exact_symbol
ABCC9,1074,exact_symbol
ABCD1,2605,exact_symbol
ABCD2,13475,exact_symbol
ABCD3,4726,exact_symbol
ABCD4,4942,exact_symbol
ABCE1,11276,exact_symbol
ABCF1,19991,exact_symbol
ABCF2,498,exact_symbol
ABCF3,10595,exact_symbol
ABCG1,10435,exact_symbol
ABCG4,13296,exact_symbol
ABCG5,7603,exact_symbol
ABCG8,8492,exact_symbol
ABHD1,8503,exact_symbol
ABHD10,8628,exact_symbol
ABHD11,3255,exact_symbol
ABHD12,2422,exact_symbol
ABHD12B,6525,exact_symbol
ABHD13,7886,exact_symbol
ABHD14A,38861,exact_symbol
ABHD14B,4325,exact_symbol
ABHD15,12444,exact_symbol
ABHD16A,19931,exact_symbol
ABHD16B,15465,exact_symbol
ABHD17A,6193,exact_symbol
ABHD17B,3413,exact_symbol
ABHD17C,7273,exact_symbol
ABHD18,11234,exact_symbol
ABHD2,7989,exact_symbol
ABHD3,10197,exact_symbol
ABHD4,2311,exact_symbol
ABHD5,284,exact_symbol
ABHD6,11105,exact_symbol
ABHD8,5896,exact_symbol
ABI1,7333,exact_symbol
ABI2,7674,exact_symbol
ABI3,3587,exact_symbol
ABI3BP,9739,exact_symbol
ABITRAM,4890,stable_id
ABL1,2071,exact_symbol
ABL2,8365,exact_symbol
ABLIM1,2079,exact_symbol
ABLIM2,11203,exact_symbol
ABLIM3,13477,exact_symbol
ABO,13845,exact_symbol
ABR,10398,exact_symbol
ABRA,13703,exact_symbol
ABRACL,8842,exact_symbol
ABRAXAS1,10978,exact_symbol
ABRAXAS2,11657,exact_symbol
ABT1,8806,exact_symbol
ABTB1,4303,exact_symbol
ABTB2,11747,exact_symbol
ACAA2,12076,exact_symbol
ACACA,57816,exact_symbol
ACACB,1348,exact_symbol
ACAD11,36507,exact_symbol
ACAD8,9419,exact_symbol
ACAD9,14355,exact_symbol
ACADL,4414,exact_symbol
ACADM,4663,exact_symbol
ACADS,5333,exact_symbol
ACADSB,17047,exact_symbol
ACADVL,1203,exact_symbol
ACAN,10141,exact_symbol
ACAP1,1206,exact_symbol
ACAP2,4273,exact_symbol
ACAP3,6472,exact_symbol
ACAT1,1295,exact_symbol
ACBD3,15357,exact_symbol
ACBD4,15074,exact_symbol
ACBD5,3468,exact_symbol
ACBD6,30041,exact_symbol
ACBD7,14058,exact_symbol
ACCS,3783,exact_symbol
ACCSL,20186,exact_symbol
ACD,2736,exact_symbol
ACE,10377,exact_symbol
ACE2,6234,exact_symbol
ACER1,12198,exact_symbol
ACER2,14232,exact_symbol
ACER3,1411,exact_symbol
ACHE,1718,exact_symbol
ACIN1,2388,exact_symbol
ACKR1,22357,exact_symbol
ACKR2,8598,exact_symbol
ACKR3,8572,exact_symbol
ACKR4,6099,exact_symbol
ACLY,6458,exact_symbol
ACMSD,9622,exact_symbol
ACO1,5305,exact_symbol
ACO2,2300,exact_symbol
ACOD1,2703,exact_symbol
ACOT11,10723,exact_symbol
ACOT12,13337,exact_symbol
ACOT13,4043,exact_symbol
ACOT4,14318,exact_symbol
ACOT6,20317,exact_symbol
ACOT7,2072,exact_symbol
ACOT8,2543,exact_symbol
ACOX1,10612,exact_symbol
ACOX2,12339,exact_symbol
ACOX3,1713,exact_symbol
ACOXL,9623,exact_symbol
ACP1,8454,exact_symbol
ACP2,6931,exact_symbol
ACP4,8242,exact_symbol
ACP5,2686,exact_symbol
ACP6,10847,exact_symbol
ACP7,15596,exact_symbol
ACR,2259,exact_symbol
