gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version,spaceflight,microgravity,analog,species,split,study_exposure
GSM1611553,"GSE65943,GSE65944",Homo sapiens,Simulated Microgravity-1,TK6_simulated microgravity,"cell line: TK6,cell type: human lymphoblastoid cells,genotype/variation: heterozygous at the thymidine kinase (TK) locus,exposed to: 12 rpm (micro-gravity condition)",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Feb 13 2015,0.014968165798602169,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM1611554,"GSE65943,GSE65944",Homo sapiens,Simulated Microgravity-2,TK6_simulated microgravity,"cell line: TK6,cell type: human lymphoblastoid cells,genotype/variation: heterozygous at the thymidine kinase (TK) locus,exposed to: 12 rpm (micro-gravity condition)",GPL11154,RNA-Seq,transcriptomic,Illumina HiSeq 2000,total RNA,Feb 13 2015,0.015322593134468189,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM2123858,GSE80292,Homo sapiens,Microgravity,HUVECs,sample type: clinostat,GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 14 2016,0.002760702552003635,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM2242168,GSE84582,Homo sapiens,Sample_4_MG2,Microgravity_Replicate 1,"cell type: IMR90 iPSC derived cardiac progenitor cells,developmental stage: Day 8 differentiated cells,condition: Microgravity",GPL15433,RNA-Seq,transcriptomic,Illumina HiSeq 1000,polyA RNA,Jul 19 2016,0.012433380977644608,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM2242169,GSE84582,Homo sapiens,Sample_5_MG3,Microgravity_Replicate 2,"cell type: IMR90 iPSC derived cardiac progenitor cells,developmental stage: Day 8 differentiated cells,condition: Microgravity",GPL15433,RNA-Seq,transcriptomic,Illumina HiSeq 1000,polyA RNA,Jul 19 2016,0.01368268367945514,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM2242170,GSE84582,Homo sapiens,Sample_6_MG4,Microgravity_Replicate 3,"cell type: IMR90 iPSC derived cardiac progenitor cells,developmental stage: Day 8 differentiated cells,condition: Microgravity",GPL15433,RNA-Seq,transcriptomic,Illumina HiSeq 1000,polyA RNA,Jul 19 2016,0.014703391265296396,human_gene_v2.5.h5,2.5,False,True,False,human,train,seen_study
GSM3098323,GSE113165,Homo sapiens,14406X1_3005_old_M_pre_low,vastus lateralis muscle,"subject: 3005,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X1",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.007836349320748904,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098324,GSE113165,Homo sapiens,14406X2_3005_old_M_post_low,vastus lateralis muscle,"subject: 3005,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X2",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.005798543323992334,human_gene_v2.5.h5,2.5,False,False,True,human,val,seen_study
GSM3098325,GSE113165,Homo sapiens,14406X3_3008_old_M_pre_low,vastus lateralis muscle,"subject: 3008,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X3",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.006720057971851269,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098326,GSE113165,Homo sapiens,14406X4_3008_old_M_post_low,vastus lateralis muscle,"subject: 3008,time: post bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: low,hci_id: 14406X4",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.010209669358491326,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
GSM3098327,GSE113165,Homo sapiens,14406X5_3010_old_M_pre_high,vastus lateralis muscle,"subject: 3010,time: pre bed rest,age: old,Sex: Male,tissue: vastus lateralis muscle,susceptibility: high,hci_id: 14406X5",GPL16791,RNA-Seq,transcriptomic,Illumina HiSeq 2500,total RNA,Apr 16 2018,0.011438829626119477,human_gene_v2.5.h5,2.5,False,False,True,human,train,seen_study
