study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples
OSD-101,mouse,actual_flight,skeletal muscle,Left gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-101|Left gastrocnemius|14bf1f06,6,6,0,0
OSD-103,mouse,actual_flight,skeletal muscle,Left quadriceps femoris,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-103|Left quadriceps femoris|14bf1f06,6,6,0,0
OSD-104,mouse,actual_flight,skeletal muscle,Soleus-both sides,|||c57bl/6j|female|16 {week}||37 {day}||rnalater,OSD-104|Soleus-both sides|8d0b8dc2,6,6,0,0
OSD-105,mouse,actual_flight,skeletal muscle,Left tibialis anterior,|||c57bl/6j|female|16 {week}||||rnalater,OSD-105|Left tibialis anterior|f829a3c1,6,6,0,0
OSD-245,mouse,actual_flight,liver,Liver,ISS-T|||c57bl/6ntac|female|36 {week}|||-80 {degree celsius}|liquid nitrogen,OSD-245|Liver|83b7ee50,6,6,0,0
OSD-245,mouse,actual_flight,liver,Liver,LAR|||c57bl/6ntac|female|36 {week}|||{not available}|liquid nitrogen,OSD-245|Liver|8f786fbe,6,6,0,0
OSD-326,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||c57bl/6j|male|9 {week}||24 to 28 {day}||snap frozen,OSD-326|Quadriceps femoris|6a69abe9,4,4,0,0
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|OLD||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|2c17a152,6,6,0,0
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|YNG||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a8ed2e02,6,6,0,0
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|OLD||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a45ca5be,6,6,0,0
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|YNG||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|9abbe127,6,6,0,0
OSD-401,mouse,actual_flight,skeletal muscle,Gastrocnemius,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Gastrocnemius|344e21b7,3,3,0,0
OSD-401,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Quadriceps femoris|344e21b7,3,3,0,0
OSD-419,mouse,actual_flight,skeletal muscle,Right gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-419|Right gastrocnemius|2664dccf,6,4,0,0
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Cerebrum|3ec2dbad,6,6,0,0
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Cerebrum|0f84cf73,6,6,0,0
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Kidney|3ec2dbad,3,3,0,0
OSD-457,mouse,actual_flight,kidney,Kidney,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Kidney|0f84cf73,3,3,0,0
