study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-101,mouse,actual_flight,skeletal muscle,Left gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-101|Left gastrocnemius|14bf1f06,6,6,0,0,raw,0.6278425468116726,0.755,0.10454071375790684,0.9130256424452109,within-condition sample splits,12,400,0.034965034965034975
OSD-101,mouse,actual_flight,skeletal muscle,Left gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-101|Left gastrocnemius|14bf1f06,6,6,0,0,PCA8_descriptive,0.6587529493237252,0.8,0.16644306170529174,0.9133493879419773,within-condition sample splits,12,400,0.10489510489510491
OSD-101,mouse,actual_flight,skeletal muscle,Left gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-101|Left gastrocnemius|14bf1f06,6,6,0,0,model_mean,0.22808138847054474,0.075,-0.6323229834934929,0.42098140097611525,within-condition sample splits,12,400,0.25874125874125875
OSD-101,mouse,actual_flight,skeletal muscle,Left gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-101|Left gastrocnemius|14bf1f06,6,6,0,0,model_std,0.37152088812229367,0.08,-0.3658696815405972,0.7961538351594177,within-condition sample splits,12,400,-0.055944055944055944
OSD-103,mouse,actual_flight,skeletal muscle,Left quadriceps femoris,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-103|Left quadriceps femoris|14bf1f06,6,6,0,0,raw,0.8318954570154575,1.0,0.38188798079060315,0.9520271064157454,within-condition sample splits,12,400,-0.8741258741258742
OSD-103,mouse,actual_flight,skeletal muscle,Left quadriceps femoris,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-103|Left quadriceps femoris|14bf1f06,6,6,0,0,PCA8_descriptive,0.876060015398196,1.0,0.43029781095639397,0.9520562750863399,within-condition sample splits,12,400,-0.8531468531468532
OSD-103,mouse,actual_flight,skeletal muscle,Left quadriceps femoris,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-103|Left quadriceps femoris|14bf1f06,6,6,0,0,model_mean,1.4350685675266948,1.0,0.8496597802437762,0.9832451489590698,within-condition sample splits,12,400,-0.7552447552447553
OSD-103,mouse,actual_flight,skeletal muscle,Left quadriceps femoris,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,OSD-103|Left quadriceps femoris|14bf1f06,6,6,0,0,model_std,0.6232369861496009,0.685,0.0786821246599208,0.8552078183161567,within-condition sample splits,12,400,-0.8881118881118882
OSD-104,mouse,actual_flight,skeletal muscle,Soleus-both sides,|||c57bl/6j|female|16 {week}||37 {day}||rnalater,OSD-104|Soleus-both sides|8d0b8dc2,6,6,0,0,raw,1.6495416758157702,1.0,0.7842536891441035,0.9918747353251178,within-condition sample splits,12,400,-0.2657342657342658
OSD-104,mouse,actual_flight,skeletal muscle,Soleus-both sides,|||c57bl/6j|female|16 {week}||37 {day}||rnalater,OSD-104|Soleus-both sides|8d0b8dc2,6,6,0,0,PCA8_descriptive,1.770279200393707,1.0,0.8123435790981115,0.9918894942486771,within-condition sample splits,12,400,-0.2657342657342658
