human,human_setting,mouse,representation,response_cosine
GSE113165|old,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,raw,-0.00638458723328522
GSE113165|old,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,model_mean,-0.19928012977676354
GSE113165|old,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,model_std,0.1808496495680976
GSE113165|old,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,raw,0.09836520936119768
GSE113165|old,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,model_mean,0.7446297914563084
GSE113165|old,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,model_std,0.1562846972826508
GSE113165|old,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,raw,0.12570414567998836
GSE113165|old,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,model_mean,0.5781586589584703
GSE113165|old,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,model_std,0.429468422639174
GSE113165|old,bed_rest_analog,OSD-105|Left tibialis anterior|f829a3c1,raw,-0.03599496088850688
GSE113165|old,bed_rest_analog,OSD-105|Left tibialis anterior|f829a3c1,model_mean,0.46722141670013106
GSE113165|old,bed_rest_analog,OSD-105|Left tibialis anterior|f829a3c1,model_std,0.21925386053381177
GSE113165|old,bed_rest_analog,OSD-326|Quadriceps femoris|6a69abe9,raw,0.02374741450326576
GSE113165|old,bed_rest_analog,OSD-326|Quadriceps femoris|6a69abe9,model_mean,0.0554593979556045
GSE113165|old,bed_rest_analog,OSD-326|Quadriceps femoris|6a69abe9,model_std,0.18808598946075464
GSE113165|old,bed_rest_analog,OSD-401|Gastrocnemius|344e21b7,raw,0.10545206158514062
GSE113165|old,bed_rest_analog,OSD-401|Gastrocnemius|344e21b7,model_mean,-0.2793404245988186
GSE113165|old,bed_rest_analog,OSD-401|Gastrocnemius|344e21b7,model_std,0.4266840039866873
GSE113165|old,bed_rest_analog,OSD-401|Quadriceps femoris|344e21b7,raw,0.05420209382182498
GSE113165|old,bed_rest_analog,OSD-401|Quadriceps femoris|344e21b7,model_mean,-0.10963185730916089
GSE113165|old,bed_rest_analog,OSD-401|Quadriceps femoris|344e21b7,model_std,0.24264406261588042
GSE113165|old,bed_rest_analog,OSD-419|Right gastrocnemius|2664dccf,raw,0.07771176835796753
GSE113165|old,bed_rest_analog,OSD-419|Right gastrocnemius|2664dccf,model_mean,0.667205723598754
GSE113165|old,bed_rest_analog,OSD-419|Right gastrocnemius|2664dccf,model_std,-0.008492413035031511
GSE113165|old,bed_rest_analog,OSD-576|Right tibialis anterior|52cb5fea,raw,0.15250690145022747
GSE113165|old,bed_rest_analog,OSD-576|Right tibialis anterior|52cb5fea,model_mean,0.5247497729768742
GSE113165|old,bed_rest_analog,OSD-576|Right tibialis anterior|52cb5fea,model_std,0.2983068321854786
GSE113165|old,bed_rest_analog,OSD-665|Right extensor digitorum longus|52cb5fea,raw,0.13610050175290864
GSE113165|old,bed_rest_analog,OSD-665|Right extensor digitorum longus|52cb5fea,model_mean,-0.15355029057618544
GSE113165|old,bed_rest_analog,OSD-665|Right extensor digitorum longus|52cb5fea,model_std,0.2843698817913034
GSE113165|old,bed_rest_analog,OSD-666|Right quadriceps femoris|52cb5fea,raw,0.1628407839233179
GSE113165|old,bed_rest_analog,OSD-666|Right quadriceps femoris|52cb5fea,model_mean,0.8332330456336323
GSE113165|old,bed_rest_analog,OSD-666|Right quadriceps femoris|52cb5fea,model_std,0.3004398305770343
GSE113165|old,bed_rest_analog,OSD-770|Right soleus|df447f03,raw,-0.14033417048572838
GSE113165|old,bed_rest_analog,OSD-770|Right soleus|df447f03,model_mean,-0.6499411761086523
GSE113165|old,bed_rest_analog,OSD-770|Right soleus|df447f03,model_std,0.4000098538082811
GSE113165|old,bed_rest_analog,OSD-99|Extensor digitorum longus- both sides|2664dccf,raw,-0.1368868373307968
GSE113165|old,bed_rest_analog,OSD-99|Extensor digitorum longus- both sides|2664dccf,model_mean,-0.336720457670138
GSE113165|old,bed_rest_analog,OSD-99|Extensor digitorum longus- both sides|2664dccf,model_std,0.2619309768663775
GSE113165|young,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,raw,-0.022563714846158912
GSE113165|young,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,model_mean,0.007235024990361447
GSE113165|young,bed_rest_analog,OSD-101|Left gastrocnemius|14bf1f06,model_std,0.09646306010206028
GSE113165|young,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,raw,0.05495176320230294
GSE113165|young,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,model_mean,0.5266865252457161
GSE113165|young,bed_rest_analog,OSD-103|Left quadriceps femoris|14bf1f06,model_std,0.04819747341873987
GSE113165|young,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,raw,0.11207824189548632
GSE113165|young,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,model_mean,0.701012257868075
GSE113165|young,bed_rest_analog,OSD-104|Soleus-both sides|8d0b8dc2,model_std,0.2941725011295684
