contrast,setting,gene,shift
GSE113165|old,bed_rest_analog,MT1X,0.6267251968383789
GSE113165|old,bed_rest_analog,CDKN1A,0.7412028312683105
GSE113165|old,bed_rest_analog,DBP,0.0820920467376709
GSE113165|old,bed_rest_analog,MMP14,0.2769479751586914
GSE113165|old,bed_rest_analog,PFKFB3,1.2775964736938477
GSE113165|old,bed_rest_analog,MYH1,0.6173338890075684
GSE113165|old,bed_rest_analog,ANKRD2,-1.1328811645507812
GSE113165|old,bed_rest_analog,NMRK2,-0.627253532409668
GSE113165|old,bed_rest_analog,PDK4,-0.6706891059875488
GSE113165|old,bed_rest_analog,ACTN3,-0.044686317443847656
GSE113165|young,bed_rest_analog,MT1X,0.035597801208496094
GSE113165|young,bed_rest_analog,CDKN1A,0.03709685802459717
GSE113165|young,bed_rest_analog,DBP,0.024441003799438477
GSE113165|young,bed_rest_analog,MMP14,-0.009958744049072266
GSE113165|young,bed_rest_analog,PFKFB3,0.7344388961791992
GSE113165|young,bed_rest_analog,MYH1,1.123642921447754
GSE113165|young,bed_rest_analog,ANKRD2,-0.594944953918457
GSE113165|young,bed_rest_analog,NMRK2,-0.8997373580932617
GSE113165|young,bed_rest_analog,PDK4,-0.8142509460449219
GSE113165|young,bed_rest_analog,ACTN3,0.6406211853027344
GSE126865|all_subjects,bed_rest_analog,MT1X,0.15546894073486328
GSE126865|all_subjects,bed_rest_analog,CDKN1A,0.3283705711364746
GSE126865|all_subjects,bed_rest_analog,DBP,0.05712437629699707
GSE126865|all_subjects,bed_rest_analog,MMP14,-0.1292128562927246
GSE126865|all_subjects,bed_rest_analog,PFKFB3,0.8840174674987793
GSE126865|all_subjects,bed_rest_analog,MYH1,0.8910036087036133
GSE126865|all_subjects,bed_rest_analog,ANKRD2,-0.994664192199707
GSE126865|all_subjects,bed_rest_analog,NMRK2,-1.3514621257781982
GSE126865|all_subjects,bed_rest_analog,PDK4,-0.2284231185913086
GSE126865|all_subjects,bed_rest_analog,ACTN3,0.3226947784423828
GSE137081|all_lines,actual_flight,MT1X,0.4906504154205322
GSE137081|all_lines,actual_flight,CDKN1A,0.1906113624572754
GSE137081|all_lines,actual_flight,DBP,0.12661218643188477
GSE137081|all_lines,actual_flight,MMP14,-0.16741132736206055
GSE137081|all_lines,actual_flight,PFKFB3,0.29910778999328613
GSE137081|all_lines,actual_flight,MYH1,-0.00353454053401947
GSE137081|all_lines,actual_flight,ANKRD2,0.23639412224292755
GSE137081|all_lines,actual_flight,NMRK2,0.49475979804992676
GSE137081|all_lines,actual_flight,PDK4,0.44952893257141113
GSE137081|all_lines,actual_flight,ACTN3,0.11836521327495575
GSE234465|OS,actual_flight,MT1X,0.21376967430114746
GSE234465|OS,actual_flight,CDKN1A,-0.45797300338745117
GSE234465|OS,actual_flight,DBP,0.7020237445831299
GSE234465|OS,actual_flight,MMP14,0.03369331359863281
GSE234465|OS,actual_flight,PFKFB3,0.20980286598205566
GSE234465|OS,actual_flight,MYH1,-1.7600328922271729
GSE234465|OS,actual_flight,ANKRD2,-0.6223033666610718
GSE234465|OS,actual_flight,NMRK2,1.069068431854248
GSE234465|OS,actual_flight,PDK4,-1.7843337059020996
GSE234465|OS,actual_flight,ACTN3,-1.6308948993682861
GSE234465|YA,actual_flight,MT1X,-0.8663191795349121
GSE234465|YA,actual_flight,CDKN1A,-0.22604656219482422
GSE234465|YA,actual_flight,DBP,0.3286261558532715
GSE234465|YA,actual_flight,MMP14,0.35698938369750977
GSE234465|YA,actual_flight,PFKFB3,-0.4925720691680908
GSE234465|YA,actual_flight,MYH1,-0.4310115575790405
GSE234465|YA,actual_flight,ANKRD2,-0.5821123123168945
GSE234465|YA,actual_flight,NMRK2,0.7097883224487305
GSE234465|YA,actual_flight,PDK4,-2.157367467880249
GSE234465|YA,actual_flight,ACTN3,-1.3738646507263184
