gene,source_row,method
A1CF,1,exact_symbol
A2M,2,exact_symbol
A3GALT2,5,exact_symbol
A4GALT,6,exact_symbol
A4GNT,7,exact_symbol
AAAS,8,exact_symbol
AACS,9,exact_symbol
AADAC,11,exact_symbol
AADACL2,12,exact_symbol
AADACL3,13,exact_symbol
AADAT,16,exact_symbol
AAGAB,18,exact_symbol
AAK1,19,exact_symbol
AAMDC,20,exact_symbol
AAMP,21,exact_symbol
AANAT,22,exact_symbol
AAR2,23,exact_symbol
AARD,24,exact_symbol
AARS2,26,exact_symbol
AARSD1,27,exact_symbol
AASDH,29,exact_symbol
AASDHPPT,30,exact_symbol
AASS,31,exact_symbol
AATF,32,exact_symbol
AATK,33,exact_symbol
ABAT,37,exact_symbol
ABCA1,52,exact_symbol
ABCA12,55,exact_symbol
ABCA13,56,exact_symbol
ABCA2,58,exact_symbol
ABCA3,59,exact_symbol
ABCA4,60,exact_symbol
ABCA5,61,exact_symbol
ABCA6,62,exact_symbol
ABCA7,63,exact_symbol
ABCA8,64,exact_symbol
ABCA9,65,exact_symbol
ABCB10,67,exact_symbol
ABCB11,71,exact_symbol
ABCB4,72,exact_symbol
ABCB5,73,exact_symbol
ABCB6,74,exact_symbol
ABCB7,75,exact_symbol
ABCB8,76,exact_symbol
ABCB9,77,exact_symbol
ABCC1,78,exact_symbol
ABCC10,79,exact_symbol
ABCC12,81,exact_symbol
ABCC2,83,exact_symbol
ABCC3,84,exact_symbol
ABCC4,85,exact_symbol
ABCC5,86,exact_symbol
ABCC6,87,exact_symbol
ABCC8,90,exact_symbol
ABCC9,91,exact_symbol
ABCD1,92,exact_symbol
ABCD2,97,exact_symbol
ABCD3,98,exact_symbol
ABCD4,99,exact_symbol
ABCE1,100,exact_symbol
ABCF1,101,exact_symbol
ABCF2,102,exact_symbol
ABCF3,105,exact_symbol
ABCG1,106,exact_symbol
ABCG4,108,exact_symbol
ABCG5,109,exact_symbol
ABCG8,110,exact_symbol
ABHD1,111,exact_symbol
ABHD10,112,exact_symbol
ABHD11,113,exact_symbol
ABHD12,114,exact_symbol
ABHD12B,115,exact_symbol
ABHD13,116,exact_symbol
ABHD14A,117,exact_symbol
ABHD14B,119,exact_symbol
ABHD15,120,exact_symbol
ABHD16A,121,exact_symbol
ABHD16B,122,exact_symbol
ABHD17A,123,exact_symbol
ABHD17B,132,exact_symbol
ABHD17C,133,exact_symbol
ABHD18,134,exact_symbol
ABHD2,135,exact_symbol
ABHD3,136,exact_symbol
ABHD4,137,exact_symbol
ABHD5,138,exact_symbol
ABHD6,139,exact_symbol
ABHD8,140,exact_symbol
ABI1,141,exact_symbol
ABI2,142,exact_symbol
ABI3,143,exact_symbol
ABI3BP,144,exact_symbol
ABITRAM,9294,hgnc_previous_symbol
ABL1,145,exact_symbol
ABL2,146,exact_symbol
ABLIM1,147,exact_symbol
ABLIM2,148,exact_symbol
ABLIM3,149,exact_symbol
ABO,150,exact_symbol
ABR,151,exact_symbol
ABRA,152,exact_symbol
ABRACL,153,exact_symbol
ABRAXAS1,9234,hgnc_previous_symbol
ABRAXAS2,9235,hgnc_previous_symbol
ABT1,154,exact_symbol
ABTB1,156,exact_symbol
ABTB2,157,exact_symbol
ACAA2,1365,exact_symbol
ACACA,1366,exact_symbol
ACACB,1367,exact_symbol
ACAD11,1369,exact_symbol
ACAD8,1370,exact_symbol
ACAD9,1371,exact_symbol
ACADL,1372,exact_symbol
ACADM,1373,exact_symbol
ACADS,1374,exact_symbol
ACADSB,1375,exact_symbol
ACADVL,1376,exact_symbol
ACAN,1377,exact_symbol
ACAP1,1378,exact_symbol
ACAP2,1379,exact_symbol
ACAP3,1380,exact_symbol
ACAT1,1381,exact_symbol
ACBD3,1383,exact_symbol
ACBD4,1384,exact_symbol
ACBD5,1385,exact_symbol
ACBD6,1386,exact_symbol
ACBD7,1387,exact_symbol
ACCS,1388,exact_symbol
ACCSL,1389,exact_symbol
ACD,1390,exact_symbol
ACE,1391,exact_symbol
ACE2,1392,exact_symbol
ACER1,1394,exact_symbol
ACER2,1395,exact_symbol
ACER3,1396,exact_symbol
ACHE,1397,exact_symbol
ACIN1,1398,exact_symbol
ACKR1,1399,exact_symbol
ACKR2,1400,exact_symbol
ACKR3,1401,exact_symbol
ACKR4,1402,exact_symbol
ACLY,1403,exact_symbol
ACMSD,1404,exact_symbol
ACO1,1405,exact_symbol
ACO2,1406,exact_symbol
ACOD1,1407,exact_symbol
ACOT11,1409,exact_symbol
ACOT12,1410,exact_symbol
ACOT13,1411,exact_symbol
ACOT4,1413,exact_symbol
ACOT6,1414,exact_symbol
ACOT7,1415,exact_symbol
ACOT8,1416,exact_symbol
ACOX1,1418,exact_symbol
ACOX2,1419,exact_symbol
ACOX3,1420,exact_symbol
ACOXL,1421,exact_symbol
ACP1,1422,exact_symbol
ACP2,1423,exact_symbol
ACP4,1428,hgnc_previous_symbol
ACP5,1424,exact_symbol
ACP6,1425,exact_symbol
ACP7,1426,exact_symbol
ACR,1429,exact_symbol
ACRBP,1430,exact_symbol
ACRV1,1432,exact_symbol
ACSBG1,1433,exact_symbol
ACSBG2,1434,exact_symbol
ACSF2,1435,exact_symbol
ACSF3,1436,exact_symbol
ACSL1,1437,exact_symbol
ACSL3,1438,exact_symbol
ACSL4,1439,exact_symbol
ACSL5,1440,exact_symbol
ACSL6,1441,exact_symbol
ACSM1,1442,exact_symbol
ACSM3,1445,exact_symbol
ACSM4,1446,exact_symbol
ACSM5,1447,exact_symbol
ACSS1,1450,exact_symbol
ACSS2,1451,exact_symbol
ACSS3,1452,exact_symbol
ACTA1,1453,exact_symbol
ACTA2,1454,exact_symbol
ACTB,1455,exact_symbol
ACTBL2,1456,exact_symbol
ACTC1,1467,exact_symbol
ACTG1,1468,exact_symbol
ACTG2,1489,exact_symbol
ACTL10,1490,exact_symbol
ACTL6A,1491,exact_symbol
ACTL6B,1492,exact_symbol
ACTL7A,1493,exact_symbol
ACTL7B,1494,exact_symbol
ACTL9,1496,exact_symbol
ACTN1,1497,exact_symbol
ACTN2,1498,exact_symbol
ACTN3,1499,exact_symbol
ACTN4,1500,exact_symbol
ACTR10,1504,exact_symbol
ACTR1A,1505,exact_symbol
ACTR1B,1506,exact_symbol
ACTR2,1507,exact_symbol
ACTR3,1508,exact_symbol
ACTR5,1519,exact_symbol
ACTR6,1520,exact_symbol
ACTR8,1522,exact_symbol
ACTRT1,1523,exact_symbol
ACTRT2,1524,exact_symbol
ACTRT3,1525,exact_symbol
ACVR1,1526,exact_symbol
ACVR1B,1527,exact_symbol
ACVR1C,1528,exact_symbol
ACVR2A,1529,exact_symbol
ACVR2B,1530,exact_symbol
ACVRL1,1531,exact_symbol
ACY1,1532,exact_symbol
ACY3,1533,exact_symbol
ACYP2,1535,exact_symbol
ADA,1538,exact_symbol
ADAD1,1539,exact_symbol
ADAD2,1541,exact_symbol
ADAM10,1543,exact_symbol
ADAM11,1544,exact_symbol
ADAM12,1545,exact_symbol
ADAM15,1546,exact_symbol
