study,mission,contrast,gene,shift,leave_one_sample_out_same_sign_fraction,minimum_abs_leave_one_sample_out_shift
OSD-101,RR-1,OSD-101|Left gastrocnemius|14bf1f06,MT1X,0.9684817790985107,1.0,0.8728969097137451
OSD-101,RR-1,OSD-101|Left gastrocnemius|14bf1f06,CDKN1A,0.43413448333740234,1.0,0.31301450729370117
OSD-101,RR-1,OSD-101|Left gastrocnemius|14bf1f06,DBP,-1.2636258602142334,1.0,1.0872902870178223
OSD-101,RR-1,OSD-101|Left gastrocnemius|14bf1f06,MMP14,0.19178318977355957,1.0,0.14322853088378906
OSD-103,RR-1,OSD-103|Left quadriceps femoris|14bf1f06,MT1X,1.061469316482544,1.0,0.9270288944244385
OSD-103,RR-1,OSD-103|Left quadriceps femoris|14bf1f06,CDKN1A,0.7084681987762451,1.0,0.574876070022583
OSD-103,RR-1,OSD-103|Left quadriceps femoris|14bf1f06,DBP,-1.4915740489959717,1.0,1.3359227180480957
OSD-103,RR-1,OSD-103|Left quadriceps femoris|14bf1f06,MMP14,0.214158296585083,1.0,0.14942169189453125
OSD-104,RR-1,OSD-104|Soleus-both sides|8d0b8dc2,MT1X,0.8630354404449463,1.0,0.7649359703063965
OSD-104,RR-1,OSD-104|Soleus-both sides|8d0b8dc2,CDKN1A,0.48547935485839844,1.0,0.3812065124511719
OSD-104,RR-1,OSD-104|Soleus-both sides|8d0b8dc2,DBP,-1.2607457637786865,1.0,1.1637225151062012
OSD-104,RR-1,OSD-104|Soleus-both sides|8d0b8dc2,MMP14,0.32361721992492676,1.0,0.28812551498413086
OSD-105,RR-1,OSD-105|Left tibialis anterior|f829a3c1,MT1X,1.2269818782806396,1.0,1.104659080505371
OSD-105,RR-1,OSD-105|Left tibialis anterior|f829a3c1,CDKN1A,0.8425440788269043,1.0,0.7216320037841797
OSD-105,RR-1,OSD-105|Left tibialis anterior|f829a3c1,DBP,-1.6152052879333496,1.0,1.5006928443908691
OSD-105,RR-1,OSD-105|Left tibialis anterior|f829a3c1,MMP14,0.1422276496887207,1.0,0.09864187240600586
OSD-326,RR-4,OSD-326|Quadriceps femoris|6a69abe9,MT1X,0.5008740425109863,1.0,0.05158519744873047
OSD-326,RR-4,OSD-326|Quadriceps femoris|6a69abe9,CDKN1A,0.9497177600860596,1.0,0.6873960494995117
OSD-326,RR-4,OSD-326|Quadriceps femoris|6a69abe9,DBP,-0.27515172958374023,1.0,0.2062544822692871
OSD-326,RR-4,OSD-326|Quadriceps femoris|6a69abe9,MMP14,0.24729883670806885,1.0,0.05179798603057861
OSD-401,RR-5,OSD-401|Gastrocnemius|344e21b7,MT1X,0.2890596389770508,0.6666666666666666,0.018743038177490234
OSD-401,RR-5,OSD-401|Gastrocnemius|344e21b7,CDKN1A,0.2669053077697754,1.0,0.07256293296813965
OSD-401,RR-5,OSD-401|Gastrocnemius|344e21b7,DBP,-0.139556884765625,1.0,0.08341789245605469
OSD-401,RR-5,OSD-401|Gastrocnemius|344e21b7,MMP14,0.15852689743041992,1.0,0.07874536514282227
OSD-401,RR-5,OSD-401|Quadriceps femoris|344e21b7,MT1X,0.7318887710571289,1.0,0.17097091674804688
OSD-401,RR-5,OSD-401|Quadriceps femoris|344e21b7,CDKN1A,0.32942938804626465,1.0,0.23265290260314941
OSD-401,RR-5,OSD-401|Quadriceps femoris|344e21b7,DBP,-0.16007041931152344,1.0,0.09172534942626953
