mission,gene,shift
RR-1,CDKN1A,0.56839386622111
RR-1,DBP,-1.3825923601786296
RR-1,MMP14,0.34604358673095703
RR-1,MT1X,0.9908595085144043
RR-23,CDKN1A,1.6055790781974792
RR-23,DBP,-1.2194693386554718
RR-23,MMP14,0.4538886845111847
RR-23,MT1X,0.5535751581192017
RR-4,CDKN1A,0.9497177600860596
RR-4,DBP,-0.27515172958374023
RR-4,MMP14,0.24729883670806885
RR-4,MT1X,0.5008740425109863
RR-5,CDKN1A,0.29816734790802
RR-5,DBP,-0.14981365203857422
RR-5,MMP14,0.14882957935333252
RR-5,MT1X,0.5104742050170898
