id.accession,study.characteristics.material type,counts_file,Ground Control,Ground control,Space Flight
OSD-100,left eye,GLDS-100_rna_seq_Unnormalized_Counts.csv,6,0,6
OSD-101,Left gastrocnemius,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-102,Left kidney,GLDS-102_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-103,Left quadriceps femoris,GLDS-103_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-104,Soleus-both sides,GLDS-104_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-105,Left tibialis anterior,GLDS-105_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-137,Liver,GLDS-137_rna_seq_Unnormalized_Counts.csv,6,0,6
OSD-161,Adrenal gland,GLDS-161_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,5,0,5
OSD-162,eye,GLDS-162_rna_seq_Unnormalized_Counts.csv,5,0,5
OSD-163,Left kidney,GLDS-163_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
OSD-164,Liver,GLDS-164_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-164,Spleen,GLDS-164_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-168,Liver,GLDS-168_rna_seq_Unnormalized_Counts.csv,14,0,14
OSD-173,liver,GLDS-173_rna_seq_Unnormalized_Counts.csv,2,0,2
OSD-194,Left retina,GLDS-194_rna_seq_Unnormalized_Counts.csv,3,0,5
OSD-194,Right retina,GLDS-194_rna_seq_Unnormalized_Counts.csv,1,0,0
OSD-238,dorsal skin,GLDS-238_rna_seq_Unnormalized_Counts.csv,6,0,12
OSD-239,femoral skin,GLDS-239_rna_seq_Unnormalized_Counts.csv,6,0,11
OSD-240,dorsal skin,GLDS-240_rna_seq_Unnormalized_Counts.csv,10,0,10
OSD-241,femoral lateral skin,GLDS-241_rna_seq_Unnormalized_Counts.csv,10,0,9
OSD-242,Liver,GLDS-242_rna_seq_Unnormalized_Counts.csv,4,0,5
OSD-243,dorsal skin,GLDS-243_rna_seq_Unnormalized_Counts.csv,19,0,18
OSD-244,Thymus,GLDS-244_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,19,0,19
OSD-245,Liver,GLDS-245_rna_seq_Unnormalized_Counts.csv,19,0,20
OSD-246,Spleen,GLDS-246_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,16,0,15
OSD-247,descending colon,GLDS-247_rna_seq_Unnormalized_Counts.csv,17,0,19
OSD-248,Left Lung,GLDS-248_rna_seq_Unnormalized_Counts.csv,19,0,20
OSD-253,Left kidney,GLDS-253_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,19,0,20
OSD-254,dorsal skin,GLDS-254_rna_seq_Unnormalized_Counts.csv,20,0,20
OSD-255,Right retina,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,8,0,8
OSD-270,Heart,GLDS-270_rna_seq_STAR_Unnormalized_Counts.csv,2,0,3
OSD-288,Spleen,GLDS-288_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,6
OSD-289,thymus,GLDS-289_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,12
OSD-326,Quadriceps femoris,GLDS-326_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,4,0,4
OSD-352,Brain,GLDS-352_rna_seq_STAR_Unnormalized_Counts.csv,3,0,3
OSD-379,Left Lobe of the Liver,GLDS-379_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,35,0,35
OSD-397,Left retina,GLDS-397_rna_seq_STAR_Unnormalized_Counts.csv,2,0,4
OSD-397,Right retina,GLDS-397_rna_seq_STAR_Unnormalized_Counts.csv,5,0,5
OSD-401,Gastrocnemius,GLDS-401_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-401,Quadriceps femoris,GLDS-401_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-419,Right gastrocnemius,GLDS-419_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,8,0,4
OSD-420,Spleen-distal,GLDS-420_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-421,thymus,GLDS-421_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-426,Cells,GLDS-426_rna_seq_STAR_Unnormalized_Counts.csv,6,0,12
OSD-457,Cerebrum,GLDS-457_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,0,12,12
OSD-457,Kidney,GLDS-457_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,0,6,6
OSD-457,Liver,GLDS-457_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,0,12,12
