species,setting,tissue,gene,n_studies,same_direction_fraction,median_shift,minimum_abs_study_shift,GSE113165,GSE126865,OSD-457,OSD-562,OSD-564,OSD-580,OSD-599,OSD-245,OSD-379,OSD-463,OSD-48,OSD-686,OSD-101,OSD-103,OSD-104,OSD-105,OSD-326,OSD-401,OSD-419,OSD-576,OSD-665,OSD-666,OSD-770,OSD-99
human,bed_rest_analog,skeletal muscle,PFKFB3,2,1.0,0.9450171589851379,0.8840173880259196,1.0060169299443564,0.8840173880259196,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,MYH1,2,1.0,0.8807459870974224,0.8704888423283895,0.8704888423283895,0.8910031318664551,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,ANKRD2,2,1.0,-0.9292886952559153,0.8639129598935444,-0.8639129598935444,-0.9946644306182861,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,NMRK2,2,1.0,-1.057478735844294,0.7634955048561096,-0.7634955048561096,-1.3514619668324788,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,CHRNA1,2,1.0,0.8549814571936925,0.7509632011254628,0.7509632011254628,0.9589997132619222,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,FABP3,2,1.0,-0.7442845900853474,0.7206385135650635,-0.7206385135650635,-0.7679306666056315,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,CHRND,2,1.0,0.8868505358695984,0.7116823593775432,0.7116823593775432,1.0620187123616536,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,TPPP3,2,1.0,-0.8433436254660289,0.7005206346511841,-0.9861666162808737,-0.7005206346511841,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,CASQ2,2,1.0,-0.72633096575737,0.676478385925293,-0.776183545589447,-0.676478385925293,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,CSRP3,2,1.0,-0.7194927732149761,0.663318951924642,-0.7756665945053101,-0.663318951924642,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,TYRP1,2,1.0,-0.6583890070517858,0.6561424732208252,-0.6606355408827465,-0.6561424732208252,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,MSTN,2,1.0,0.7036183973153433,0.6530837814013164,0.6530837814013164,0.7541530132293701,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,MYL12A,2,1.0,-0.8686219453811646,0.640178362528483,-1.097065528233846,-0.640178362528483,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,MFAP5,2,1.0,-0.6604917546113331,0.6296119093894958,-0.6296119093894958,-0.6913715998331705,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,THRSP,2,1.0,0.7419655521710714,0.6189173460006714,0.8650137583414714,0.6189173460006714,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,DNAJA4,2,1.0,-0.6477399071057638,0.6127402782440186,-0.682739535967509,-0.6127402782440186,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,GREM2,2,1.0,0.6082113360365232,0.597036694486936,0.597036694486936,0.6193859775861105,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,SMCO1,2,1.0,-0.6137404342492421,0.5883730252583822,-0.6391078432401021,-0.5883730252583822,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,HMGCS2,2,1.0,-0.7004207943876584,0.5502819418907166,-0.8505596468846003,-0.5502819418907166,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,XPO4,2,1.0,-0.5702234407265981,0.539460023244222,-0.6009868582089742,-0.539460023244222,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,RGS10,2,1.0,0.5668269842863083,0.5269081195195516,0.606745849053065,0.5269081195195516,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,DDIT4,2,1.0,0.5955790380636851,0.5249130924542744,0.5249130924542744,0.6662449836730957,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,ARRDC2,2,1.0,0.7387834091981252,0.5239241321881613,0.5239241321881613,0.9536426862080892,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,LBP,2,1.0,-0.7507779294004042,0.518624464670817,-0.9829313941299915,-0.518624464670817,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,TSPYL2,2,1.0,0.5287952224413555,0.518506129582723,0.5390843152999878,0.518506129582723,,,,,,,,,,,,,,,,,,,,,,
human,bed_rest_analog,skeletal muscle,GADD45A,2,1.0,0.5913109183311462,0.5150848229726156,0.6675370136896769,0.5150848229726156,,,,,,,,,,,,,,,,,,,,,,
