id,source_nonzero,source_total,coverage
OSD-101:Mmus_C57-6J_GST_GC_Rep6_M38,14013,37738964.0,1.0
OSD-101:Mmus_C57-6J_GST_GC_Rep3_M35,13844,41353760.0,1.0
OSD-101:Mmus_C57-6J_GST_GC_Rep5_M37,13874,38465146.0,1.0
OSD-101:Mmus_C57-6J_GST_GC_Rep4_M36,13993,37678615.0,1.0
OSD-101:Mmus_C57-6J_GST_GC_Rep1_M33,13917,43248588.0,1.0
OSD-101:Mmus_C57-6J_GST_GC_Rep2_M34,13831,36919155.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep2_M24,14105,40180612.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep3_M25,13861,40816535.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep5_M27,13853,32814577.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep4_M26,14029,37988314.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep6_M28,13859,32725010.0,1.0
OSD-101:Mmus_C57-6J_GST_FLT_Rep1_M23,13974,37027707.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep3_M35,13603,40100557.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep6_M38,13846,38249159.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep4_M36,13778,39156644.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep1_M33,13686,38988905.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep2_M34,13755,42629808.0,1.0
OSD-103:Mmus_C57-6J_Quad_GC_Rep5_M37,13766,40149171.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep5_M27,13679,38530773.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep6_M28,13869,35183572.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep4_M26,13682,33786150.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep3_M25,13682,38123748.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep1_M23,13843,34777922.0,1.0
OSD-103:Mmus_C57-6J_Quad_FLT_Rep2_M24,13726,35795472.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep1_M33,13638,56785156.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep6_M38,13512,47378746.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep3_M35,13550,56071805.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep2_M34,13426,48712711.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep4_M36,13574,49103253.0,1.0
OSD-104:Mmus_C57-6J_SLS_GC_Rep5_M37,13636,49390701.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep1_M23,13613,43927597.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep2_M24,13679,42726785.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep3_M25,13808,50778751.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep5_M27,13718,54471329.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep6_M28,13371,44079684.0,1.0
OSD-104:Mmus_C57-6J_SLS_FLT_Rep4_M26,13674,51236821.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep5_M37,13521,39395794.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep1_M33,13560,49191937.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep6_M38,13454,44234894.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep4_M36,13509,40316591.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep2_M34,13397,44283366.0,1.0
OSD-105:Mmus_C57-6J_TA_GC_Rep3_M35,13442,42985401.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep1_M23,13495,46978672.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep3_M25,13574,45539122.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep2_M24,13517,42153288.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep4_M26,13646,48348174.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep5_M27,13543,42058578.0,1.0
OSD-105:Mmus_C57-6J_TA_FLT_Rep6_M28,13527,43173325.0,1.0
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9,12943,33670750.20999999,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5,12569,28488355.49,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6,12715,34974935.61,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3,12681,36747235.91,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4,13133,40000814.01,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10,13050,36470840.24,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8,13083,43013557.019999996,0.9993405868776789
OSD-245:Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1,12909,40624172.34,0.9993405868776789
