id,study,contrast,tissue,material,species,setting,condition,condition_name,unit,stratum,sample,source_file,source_kind,split,study_exposure,title
OSD-101:Mmus_C57-6J_GST_GC_Rep6_M38,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep6_M38,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep6_M38,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_GC_Rep3_M35,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep3_M35,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep3_M35,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_GC_Rep5_M37,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep5_M37,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep5_M37,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_GC_Rep4_M36,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep4_M36,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep4_M36,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_GC_Rep1_M33,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep1_M33,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep1_M33,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_GC_Rep2_M34,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,0,ground,Mmus_C57-6J_GST_GC_Rep2_M34,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_GC_Rep2_M34,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_FLT_Rep2_M24,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,1,flight,Mmus_C57-6J_GST_FLT_Rep2_M24,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_FLT_Rep2_M24,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_FLT_Rep3_M25,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,1,flight,Mmus_C57-6J_GST_FLT_Rep3_M25,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_FLT_Rep3_M25,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_FLT_Rep5_M27,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,1,flight,Mmus_C57-6J_GST_FLT_Rep5_M27,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_FLT_Rep5_M27,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
OSD-101:Mmus_C57-6J_GST_FLT_Rep4_M26,OSD-101,OSD-101|Left gastrocnemius|14bf1f06,skeletal muscle,Left gastrocnemius,mouse,actual_flight,1,flight,Mmus_C57-6J_GST_FLT_Rep4_M26,|||c57bl/6j|female|16 {week}||37 {day}||liquid nitrogen,Mmus_C57-6J_GST_FLT_Rep4_M26,GLDS-101_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,osdr_counts,unknown,unknown,
