contrast_a,contrast_b,study_a,study_b,species,setting,tissue,representation,response_cosine
OSD-101|Left gastrocnemius|14bf1f06,OSD-103|Left quadriceps femoris|14bf1f06,OSD-101,OSD-103,mouse,actual_flight,skeletal muscle,raw,0.3777777387224838
OSD-101|Left gastrocnemius|14bf1f06,OSD-103|Left quadriceps femoris|14bf1f06,OSD-101,OSD-103,mouse,actual_flight,skeletal muscle,model_mean,-0.31872004955058625
OSD-101|Left gastrocnemius|14bf1f06,OSD-103|Left quadriceps femoris|14bf1f06,OSD-101,OSD-103,mouse,actual_flight,skeletal muscle,model_std,0.18801509548443698
OSD-101|Left gastrocnemius|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-101,OSD-104,mouse,actual_flight,skeletal muscle,raw,0.3910048421025582
OSD-101|Left gastrocnemius|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-101,OSD-104,mouse,actual_flight,skeletal muscle,model_mean,0.3800720015327065
OSD-101|Left gastrocnemius|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-101,OSD-104,mouse,actual_flight,skeletal muscle,model_std,0.42954637119509254
OSD-101|Left gastrocnemius|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-101,OSD-105,mouse,actual_flight,skeletal muscle,raw,0.4628812382584177
OSD-101|Left gastrocnemius|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-101,OSD-105,mouse,actual_flight,skeletal muscle,model_mean,0.08237818328696402
OSD-101|Left gastrocnemius|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-101,OSD-105,mouse,actual_flight,skeletal muscle,model_std,0.5283505018151287
OSD-101|Left gastrocnemius|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-101,OSD-326,mouse,actual_flight,skeletal muscle,raw,0.19484031153013537
OSD-101|Left gastrocnemius|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-101,OSD-326,mouse,actual_flight,skeletal muscle,model_mean,0.20924640955697002
OSD-101|Left gastrocnemius|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-101,OSD-326,mouse,actual_flight,skeletal muscle,model_std,0.1716305772676854
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.06338527896320895
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,0.18554692319695062
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,model_std,0.07515910725313901
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.050917823615222305
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,0.24793936370816716
OSD-101|Left gastrocnemius|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-101,OSD-401,mouse,actual_flight,skeletal muscle,model_std,0.09106178906044583
OSD-101|Left gastrocnemius|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-101,OSD-419,mouse,actual_flight,skeletal muscle,raw,0.19014613734642985
OSD-101|Left gastrocnemius|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-101,OSD-419,mouse,actual_flight,skeletal muscle,model_mean,0.08901380598900378
OSD-101|Left gastrocnemius|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-101,OSD-419,mouse,actual_flight,skeletal muscle,model_std,0.3253770395835028
OSD-101|Left gastrocnemius|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-101,OSD-576,mouse,actual_flight,skeletal muscle,raw,-0.0009260849011609892
OSD-101|Left gastrocnemius|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-101,OSD-576,mouse,actual_flight,skeletal muscle,model_mean,-0.13962745672813065
OSD-101|Left gastrocnemius|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-101,OSD-576,mouse,actual_flight,skeletal muscle,model_std,0.03593253517735381
OSD-101|Left gastrocnemius|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-101,OSD-665,mouse,actual_flight,skeletal muscle,raw,-0.026886327100289254
OSD-101|Left gastrocnemius|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-101,OSD-665,mouse,actual_flight,skeletal muscle,model_mean,0.33555302379276375
OSD-101|Left gastrocnemius|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-101,OSD-665,mouse,actual_flight,skeletal muscle,model_std,0.10589269323709226
OSD-101|Left gastrocnemius|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-101,OSD-666,mouse,actual_flight,skeletal muscle,raw,-0.15792269166105657
OSD-101|Left gastrocnemius|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-101,OSD-666,mouse,actual_flight,skeletal muscle,model_mean,-0.3351298774588827
OSD-101|Left gastrocnemius|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-101,OSD-666,mouse,actual_flight,skeletal muscle,model_std,-0.09273063104871247
OSD-101|Left gastrocnemius|14bf1f06,OSD-770|Right soleus|df447f03,OSD-101,OSD-770,mouse,actual_flight,skeletal muscle,raw,0.025526358083114764
OSD-101|Left gastrocnemius|14bf1f06,OSD-770|Right soleus|df447f03,OSD-101,OSD-770,mouse,actual_flight,skeletal muscle,model_mean,0.37434005892762534
OSD-101|Left gastrocnemius|14bf1f06,OSD-770|Right soleus|df447f03,OSD-101,OSD-770,mouse,actual_flight,skeletal muscle,model_std,0.21977287828217779
OSD-101|Left gastrocnemius|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-101,OSD-99,mouse,actual_flight,skeletal muscle,raw,0.2868543415106056
OSD-101|Left gastrocnemius|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-101,OSD-99,mouse,actual_flight,skeletal muscle,model_mean,-0.24313704290593144
OSD-101|Left gastrocnemius|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-101,OSD-99,mouse,actual_flight,skeletal muscle,model_std,0.017359030646756524
OSD-103|Left quadriceps femoris|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-103,OSD-104,mouse,actual_flight,skeletal muscle,raw,0.21328976908224756
OSD-103|Left quadriceps femoris|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-103,OSD-104,mouse,actual_flight,skeletal muscle,model_mean,0.2375405634354636
OSD-103|Left quadriceps femoris|14bf1f06,OSD-104|Soleus-both sides|8d0b8dc2,OSD-103,OSD-104,mouse,actual_flight,skeletal muscle,model_std,0.16437952269798642
OSD-103|Left quadriceps femoris|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-103,OSD-105,mouse,actual_flight,skeletal muscle,raw,0.4992402892434071
OSD-103|Left quadriceps femoris|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-103,OSD-105,mouse,actual_flight,skeletal muscle,model_mean,0.7129036400855006
OSD-103|Left quadriceps femoris|14bf1f06,OSD-105|Left tibialis anterior|f829a3c1,OSD-103,OSD-105,mouse,actual_flight,skeletal muscle,model_std,0.35927272156812273
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,raw,-0.0010037412237353205
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,model_mean,-0.22536868735935822
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,model_std,-0.12798424877351677
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,raw,-0.05081340999721344
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.5680427513021726
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.03843180386139994
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.03106199244815841
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.27300817650187903
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.04315291050974069
