pool,gene,first_flight_FPKM_shift
YA,PDK4,-2.0513693160390023
YA,ACTN3,-1.406322287483417
YA,MYH1,-0.44488175163113586
YA,ANKRD2,-0.5836449749891492
YA,NMRK2,0.70212041177267
YA,CDKN1A,-0.2606385434532754
YA,DBP,0.25186096374006883
YA,MMP14,0.21944141860687694
YA,MT1X,-0.7673619665523628
OS,PDK4,-1.561139773096862
OS,ACTN3,-1.5822899836750297
OS,MYH1,-1.623917646265348
OS,ANKRD2,-0.5371621451477793
OS,NMRK2,1.0916578820400993
OS,CDKN1A,-0.4471135897161087
OS,DBP,0.7124384608401593
OS,MMP14,-0.21334588121997022
OS,MT1X,0.1803850521305428
