canonical_gene,source_row,source_symbol
A1CF,9113,A1CF
A2M,13991,A2M
A3GALT2,15751,A3GALT2
A4GALT,6004,A4GALT
A4GNT,4772,A4GNT
AAAS,2009,AAAS
AACS,1542,AACS
AADAC,4324,AADAC
AADACL2,17626,AADACL2
AADACL3,16883,AADACL3
AADAT,3679,AADAT
AAGAB,2841,AAGAB
AAK1,4511,AAK1
AAMDC,1755,AAMDC
AAMP,5955,AAMP
AANAT,6169,AANAT
AAR2,6389,AAR2
AARD,20155,AARD
AARS2,5557,AARS2
AARSD1,51058,AARSD1
AASDH,10105,AASDH
AASDHPPT,9200,AASDHPPT
AASS,213,AASS
AATF,56009,AATF
AATK,15062,AATK
ABAT,15412,ABAT
ABCA1,11511,ABCA1
ABCA12,8568,ABCA12
ABCA13,14768,ABCA13
ABCA2,3410,ABCA2
ABCA3,12249,ABCA3
ABCA4,17860,ABCA4
ABCA5,9752,ABCA5
ABCA6,9750,ABCA6
ABCA7,894,ABCA7
ABCA8,8091,ABCA8
ABCA9,9749,ABCA9
ABCB10,7152,ABCB10
ABCB11,1237,ABCB11
ABCB4,99,ABCB4
ABCB5,63,ABCB5
ABCB6,4467,ABCB6
ABCB7,6430,ABCB7
ABCB8,17369,ABCB8
ABCB9,9349,ABCB9
ABCC1,2781,ABCC1
ABCC10,5550,ABCC10
ABCC12,8020,ABCC12
ABCC2,434,ABCC2
ABCC3,3600,ABCC3
ABCC4,5625,ABCC4
ABCC5,4323,ABCC5
ABCC6,1922,ABCC6
ABCC8,122,ABCC8
ABCC9,1074,ABCC9
ABCD1,2605,ABCD1
ABCD2,13475,ABCD2
ABCD3,4726,ABCD3
ABCD4,4942,ABCD4
ABCE1,11276,ABCE1
ABCF1,19991,ABCF1
ABCF2,498,ABCF2
ABCF3,10595,ABCF3
ABCG1,10435,ABCG1
ABCG4,13296,ABCG4
ABCG5,7603,ABCG5
ABCG8,8492,ABCG8
ABHD1,8503,ABHD1
ABHD10,8628,ABHD10
ABHD11,3255,ABHD11
ABHD12,2422,ABHD12
ABHD12B,6525,ABHD12B
ABHD13,7886,ABHD13
ABHD14A,38861,ABHD14A
ABHD14B,4325,ABHD14B
ABHD15,12444,ABHD15
ABHD16A,19931,ABHD16A
ABHD16B,15465,ABHD16B
ABHD17A,6193,ABHD17A
ABHD17B,3413,ABHD17B
ABHD17C,7273,ABHD17C
ABHD18,11234,ABHD18
ABHD2,7989,ABHD2
ABHD3,10197,ABHD3
ABHD4,2311,ABHD4
ABHD5,284,ABHD5
ABHD6,11105,ABHD6
ABHD8,5896,ABHD8
ABI1,7333,ABI1
ABI2,7674,ABI2
ABI3,3587,ABI3
ABI3BP,9739,ABI3BP
ABITRAM,4890,FAM206A
ABL1,2071,ABL1
ABL2,8365,ABL2
ABLIM1,2079,ABLIM1
ABLIM2,11203,ABLIM2
ABLIM3,13477,ABLIM3
ABO,13845,ABO
ABR,10398,ABR
ABRA,13703,ABRA
ABRACL,8842,ABRACL
ABRAXAS1,10978,ABRAXAS1
ABRAXAS2,11657,ABRAXAS2
ABT1,8806,ABT1
ABTB1,4303,ABTB1
ABTB2,11747,ABTB2
ACAA2,12076,ACAA2
ACACA,57816,ACACA
ACACB,1348,ACACB
ACAD11,36507,ACAD11
ACAD8,9419,ACAD8
ACAD9,14355,ACAD9
ACADL,4414,ACADL
ACADM,4663,ACADM
ACADS,5333,ACADS
ACADSB,17047,ACADSB
ACADVL,1203,ACADVL
ACAN,10141,ACAN
ACAP1,1206,ACAP1
ACAP2,4273,ACAP2
ACAP3,6472,ACAP3
ACAT1,1295,ACAT1
ACBD3,15357,ACBD3
ACBD4,15074,ACBD4
ACBD5,3468,ACBD5
ACBD6,30041,ACBD6
ACBD7,14058,ACBD7
ACCS,3783,ACCS
ACCSL,20186,ACCSL
ACD,2736,ACD
ACE,10377,ACE
ACE2,6234,ACE2
ACER1,12198,ACER1
ACER2,14232,ACER2
ACER3,1411,ACER3
ACHE,1718,ACHE
ACIN1,2388,ACIN1
ACKR1,22357,ACKR1
ACKR2,8598,ACKR2
ACKR3,8572,ACKR3
ACKR4,6099,ACKR4
ACLY,6458,ACLY
ACMSD,9622,ACMSD
ACO1,5305,ACO1
ACO2,2300,ACO2
ACOD1,2703,ACOD1
ACOT11,10723,ACOT11
ACOT12,13337,ACOT12
ACOT13,4043,ACOT13
ACOT4,14318,ACOT4
ACOT6,20317,ACOT6
ACOT7,2072,ACOT7
ACOT8,2543,ACOT8
ACOX1,10612,ACOX1
ACOX2,12339,ACOX2
ACOX3,1713,ACOX3
ACOXL,9623,ACOXL
ACP1,8454,ACP1
ACP2,6931,ACP2
ACP4,8242,ACP4
ACP5,2686,ACP5
ACP6,10847,ACP6
ACP7,15596,ACP7
ACR,2259,ACR
ACRBP,3917,ACRBP
ACRV1,6990,ACRV1
ACSBG1,2851,ACSBG1
ACSBG2,6260,ACSBG2
ACSF2,12031,ACSF2
ACSF3,14144,ACSF3
ACSL1,9454,ACSL1
ACSL3,5438,ACSL3
ACSL4,1039,ACSL4
ACSL5,17366,ACSL5
ACSL6,11348,ACSL6
ACSM1,11928,ACSM1
ACSM3,84,ACSM3
ACSM4,23215,ACSM4
ACSM5,15530,ACSM5
ACSS1,9828,ACSS1
ACSS2,6398,ACSS2
ACSS3,3844,ACSS3
ACTA1,8446,ACTA1
ACTA2,3449,ACTA2
ACTB,1316,ACTB
ACTBL2,12515,ACTBL2
ACTC1,10332,ACTC1
ACTG1,15657,ACTG1
ACTG2,10902,ACTG2
ACTL10,-1,
ACTL6A,7294,ACTL6A
ACTL6B,1366,ACTL6B
ACTL7A,16408,ACTL7A
ACTL7B,9055,ACTL7B
ACTL9,15122,ACTL9
ACTN1,1176,ACTN1
ACTN2,1390,ACTN2
ACTN3,39029,ACTN3
ACTN4,6265,ACTN4
ACTR10,6524,ACTR10
ACTR1A,7614,ACTR1A
ACTR1B,4358,ACTR1B
ACTR2,7600,ACTR2
ACTR3,4361,ACTR3
ACTR5,2530,ACTR5
ACTR6,1286,ACTR6
ACTR8,4233,ACTR8
ACTRT1,5355,ACTRT1
ACTRT2,12663,ACTRT2
ACTRT3,15746,ACTRT3
ACVR1,4374,ACVR1
ACVR1B,7101,ACVR1B
ACVR1C,5415,ACVR1C
ACVR2A,5222,ACVR2A
ACVR2B,4317,ACVR2B
ACVRL1,7844,ACVRL1
ACY1,38041,ACY1
ACY3,6653,ACY3
ACYP2,12883,ACYP2
ADA,17271,ADA
ADAD1,11257,ADAD1
ADAD2,8044,ADAD2
ADAM10,7557,ADAM10
ADAM11,1234,ADAM11
ADAM12,9149,ADAM12
ADAM15,8422,ADAM15
ADAM17,9448,ADAM17
ADAM18,12408,ADAM18
ADAM2,2956,ADAM2
ADAM21,7907,ADAM21
ADAM22,208,ADAM22
ADAM23,4345,ADAM23
ADAM28,592,ADAM28
ADAM29,12404,ADAM29
ADAM30,6866,ADAM30
ADAM32,17365,ADAM32
ADAM33,9210,ADAM33
ADAM7,1067,ADAM7
ADAM8,9439,ADAM8
ADAM9,12407,ADAM9
ADAMDEC1,6825,ADAMDEC1
ADAMTS1,9804,ADAMTS1
ADAMTS10,8224,ADAMTS10
ADAMTS12,9403,ADAMTS12
ADAMTS13,10480,ADAMTS13
ADAMTS14,7646,ADAMTS14
ADAMTS15,11763,ADAMTS15
ADAMTS16,8715,ADAMTS16
ADAMTS17,7974,ADAMTS17
ADAMTS18,8032,ADAMTS18
ADAMTS19,8751,ADAMTS19
ADAMTS2,1724,ADAMTS2
ADAMTS20,13466,ADAMTS20
ADAMTS3,9952,ADAMTS3
ADAMTS4,10280,ADAMTS4
ADAMTS5,9805,ADAMTS5
ADAMTS6,654,ADAMTS6
ADAMTS7,7272,ADAMTS7
ADAMTS8,6989,ADAMTS8
ADAMTS9,11091,ADAMTS9
ADAMTSL1,14430,ADAMTSL1
ADAMTSL2,17591,ADAMTSL2
ADAMTSL3,9960,ADAMTSL3
ADAMTSL4,8384,ADAMTSL4
ADAMTSL5,16090,ADAMTSL5
ADAP1,3224,ADAP1
ADAP2,15668,ADAP2
ADAR,10524,ADAR
ADARB1,17442,ADARB1
