gene,contrast,shift,leave_one_min,leave_one_max,leave_one_sign_retention
PDK4,GSE234465|OS,-1.7843337059020996,-1.9777343273162842,-1.609232783317566,1.0
ACTN3,GSE234465|OS,-1.6308948993682861,-1.817075490951538,-1.5330607891082764,1.0
MYH1,GSE234465|OS,-1.7600328922271729,-1.8253027200698853,-1.674189567565918,1.0
ANKRD2,GSE234465|OS,-0.6223033666610718,-0.7651822566986084,-0.45406877994537354,1.0
NMRK2,GSE234465|OS,1.069068431854248,0.985600471496582,1.1675081253051758,1.0
CDKN1A,GSE234465|OS,-0.45797300338745117,-0.5360021591186523,-0.38417863845825195,1.0
DBP,GSE234465|OS,0.7020237445831299,0.5241262912750244,0.8264875411987305,1.0
MMP14,GSE234465|OS,0.03369331359863281,-0.1193685531616211,0.20249366760253906,0.5
MT1X,GSE234465|OS,0.21376967430114746,0.06579422950744629,0.3598334789276123,1.0
PDK4,GSE234465|YA,-2.157367467880249,-2.438535690307617,-1.7808582782745361,1.0
ACTN3,GSE234465|YA,-1.3738646507263184,-1.607224464416504,-0.9953937530517578,1.0
MYH1,GSE234465|YA,-0.4310115575790405,-0.652800440788269,-0.12508785724639893,1.0
ANKRD2,GSE234465|YA,-0.5821123123168945,-1.0319492816925049,-0.11751341819763184,1.0
NMRK2,GSE234465|YA,0.7097883224487305,0.5972743034362793,0.8083090782165527,1.0
CDKN1A,GSE234465|YA,-0.22604656219482422,-0.32471227645874023,-0.12368392944335938,1.0
DBP,GSE234465|YA,0.3286261558532715,0.08300495147705078,0.515878438949585,1.0
MMP14,GSE234465|YA,0.35698938369750977,0.17017126083374023,0.6526832580566406,1.0
MT1X,GSE234465|YA,-0.8663191795349121,-1.067708969116211,-0.6669454574584961,1.0
PDK4,GSE298393|OS,0.17362594604492188,-0.05142247676849365,0.3219183683395386,0.8333333333333334
ACTN3,GSE298393|OS,0.322023868560791,0.11220645904541016,0.43976449966430664,1.0
MYH1,GSE298393|OS,-0.4885929822921753,-0.5587102174758911,-0.3940201997756958,1.0
ANKRD2,GSE298393|OS,0.6382864117622375,0.5757783055305481,0.7501252293586731,1.0
NMRK2,GSE298393|OS,-0.7182722091674805,-0.8276815414428711,-0.6273479461669922,1.0
CDKN1A,GSE298393|OS,0.18448877334594727,0.10129976272583008,0.3135647773742676,1.0
DBP,GSE298393|OS,0.011365652084350586,-0.1680138111114502,0.1173255443572998,0.6666666666666666
MMP14,GSE298393|OS,0.3892989158630371,0.29798030853271484,0.5127778053283691,1.0
MT1X,GSE298393|OS,0.3264131546020508,0.14415240287780762,0.4551095962524414,1.0
PDK4,GSE298393|YA,-0.4124486446380615,-0.7540590763092041,-0.0071258544921875,1.0
ACTN3,GSE298393|YA,0.4507303237915039,0.3456535339355469,0.5205779075622559,1.0
MYH1,GSE298393|YA,-0.7522132396697998,-0.8603591918945312,-0.5600070953369141,1.0
ANKRD2,GSE298393|YA,1.0154953002929688,0.7626678943634033,1.187159538269043,1.0
NMRK2,GSE298393|YA,-0.11278080940246582,-0.15578031539916992,-0.056189537048339844,1.0
CDKN1A,GSE298393|YA,0.3124408721923828,0.1989140510559082,0.43267822265625,1.0
DBP,GSE298393|YA,-0.11452054977416992,-0.20949912071228027,-0.017532825469970703,1.0
MMP14,GSE298393|YA,-0.39796924591064453,-0.47230005264282227,-0.2791428565979004,1.0
MT1X,GSE298393|YA,0.7469768524169922,0.44285106658935547,0.9286270141601562,1.0
