id,sample,study,contrast,stratum,species,setting,tissue,material,condition,unit,title,source_column,split,source_kind
GSE298393:GSM9013395,GSM9013395,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,0,YA-NoEstim-TOCO2GC--Chip-9,"No E-stim YA myobudles, ground control, Day 21 Rep1",YA-NoEstim-TOCO2GC--Chip-9,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013396,GSM9013396,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,0,YA-NoEstim-TOCO2GC--Chip-11,"No E-stim YA myobudles, ground control, Day 21 Rep2",YA-NoEstim-TOCO2GC--Chip-11,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013397,GSM9013397,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,0,YA-NoEstim-TOCO2GC--Chip-12,"No E-stim YA myobudles, ground control, Day 21 Rep3",YA-NoEstim-TOCO2GC--Chip-12,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013398,GSM9013398,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,0,OS-NoEstim-TOCO2GC--Chip-13,"No E-stim OS myobudles, ground control, Day 21 Rep1",OS-NoEstim-TOCO2GC--Chip-13,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013399,GSM9013399,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,0,OS-NoEstim-TOCO2GC--Chip-15,"No E-stim OS myobudles, ground control, Day 21 Rep2",OS-NoEstim-TOCO2GC--Chip-15,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013400,GSM9013400,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,0,OS-NoEstim-TOCO2GC--Chip-16,"No E-stim OS myobudles, ground control, Day 21 Rep3",OS-NoEstim-TOCO2GC--Chip-16,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013404,GSM9013404,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,1,YA-NoEstim-SpX25-Chip-9,"No E-stim YA myobudles, microgravity, Day 21 Rep1",YA-NoEstim-SpX25-Chip-9,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013405,GSM9013405,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,1,YA-NoEstim-SpX25-Chip-10,"No E-stim YA myobudles, microgravity, Day 21 Rep2",YA-NoEstim-SpX25-Chip-10,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013406,GSM9013406,GSE298393,GSE298393|YA,YA,human,actual_flight,skeletal muscle,human muscle chip,1,YA-NoEstim-SpX25-Chip-11,"No E-stim YA myobudles, microgravity, Day 21 Rep3",YA-NoEstim-SpX25-Chip-11,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013410,GSM9013410,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,1,OS-NoEstim-SpX25-Chip-13,"No E-stim OS myobudles, microgravity, Day 21 Rep1",OS-NoEstim-SpX25-Chip-13,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013411,GSM9013411,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,1,OS-NoEstim-SpX25-Chip-14,"No E-stim OS myobudles, microgravity, Day 21 Rep2",OS-NoEstim-SpX25-Chip-14,not_in_supplied_catalog,source_annotated_FPKM
GSE298393:GSM9013412,GSM9013412,GSE298393,GSE298393|OS,OS,human,actual_flight,skeletal muscle,human muscle chip,1,OS-NoEstim-SpX25-Chip-15,"No E-stim OS myobudles, microgravity, Day 21 Rep3",OS-NoEstim-SpX25-Chip-15,not_in_supplied_catalog,source_annotated_FPKM
