gene,contrast,expression_shift
PDK4,GSE234465|OS,-1.7843336462974548
PDK4,GSE234465|YA,-2.1573671102523804
PDK4,GSE298393|OS,0.17362598578135158
PDK4,GSE298393|YA,-0.412448803583781
ACTN3,GSE234465|OS,-1.6308947404225669
ACTN3,GSE234465|YA,-1.3738640149434405
ACTN3,GSE298393|OS,0.3220237096150713
ACTN3,GSE298393|YA,0.4507303237915039
MYH1,GSE234465|OS,-1.7600328922271729
MYH1,GSE234465|YA,-0.43101135889689135
MYH1,GSE298393|OS,-0.4885930617650349
MYH1,GSE298393|YA,-0.7522130012512209
ANKRD2,GSE234465|OS,-0.6223032077153523
ANKRD2,GSE234465|YA,-0.5821124315261841
ANKRD2,GSE298393|OS,0.6382864117622374
ANKRD2,GSE298393|YA,1.0154952605565388
NMRK2,GSE234465|OS,1.069068193435669
NMRK2,GSE234465|YA,0.7097876866658535
NMRK2,GSE298393|OS,-0.7182722091674805
NMRK2,GSE298393|YA,-0.11278088887532522
CDKN1A,GSE234465|OS,-0.45797252655029297
CDKN1A,GSE234465|YA,-0.22604688008626272
CDKN1A,GSE298393|OS,0.18448877334594727
CDKN1A,GSE298393|YA,0.3124410311381025
DBP,GSE234465|OS,0.7020239035288491
DBP,GSE234465|YA,0.32862627506256104
DBP,GSE298393|OS,0.011365572611490737
DBP,GSE298393|YA,-0.11452062924702933
MMP14,GSE234465|OS,0.03369347254435251
MMP14,GSE234465|YA,0.35698922475179007
MMP14,GSE298393|OS,0.3892993927001953
MMP14,GSE298393|YA,-0.39796908696492483
MT1X,GSE234465|OS,0.21376959482828806
MT1X,GSE234465|YA,-0.8663194179534908
MT1X,GSE298393|OS,0.3264133930206299
MT1X,GSE298393|YA,0.7469768524169922
