id,source_nonzero,source_total,source_total_units,coverage
GSE298393:GSM9013395,12829,626506.73,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013396,12913,621986.49,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013397,12834,642835.3300000001,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013398,12863,682045.54,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013399,12999,697475.0800000001,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013400,12932,656289.05,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013404,12988,625744.8999999999,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013405,12993,618739.1900000001,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013406,13040,650814.16,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013410,13023,619422.3,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013411,13006,623788.62,"sum of source FPKM, not read depth",0.9981536432575008
GSE298393:GSM9013412,12856,625691.37,"sum of source FPKM, not read depth",0.9981536432575008
