contrast,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits
GSE234465|OS,raw,2.51857163662549,1.0,0.8365301762678788,0.9833903667211791,within-condition sample splits,6,9
GSE234465|OS,model_mean,2.581110247077921,1.0,0.9848673435038415,0.9946118854691008,within-condition sample splits,6,9
GSE234465|OS,model_std,2.3683551161679888,1.0,0.8800878461064303,0.9819204423729967,within-condition sample splits,6,9
GSE234465|YA,raw,1.643214098924669,1.0,0.5702640883709086,0.9605211136783636,within-condition sample splits,6,9
GSE234465|YA,model_mean,1.610361360037052,1.0,0.6769196813102245,0.9612662037397188,within-condition sample splits,6,9
GSE234465|YA,model_std,1.2295284665114743,1.0,0.41314046044839703,0.8515472221776662,within-condition sample splits,6,9
GSE298393|OS,raw,2.2963084108619105,1.0,0.7688456180633504,0.9803882370944194,within-condition sample splits,6,9
GSE298393|OS,model_mean,3.7930268371956486,1.0,0.9830878275909979,0.9978436791396499,within-condition sample splits,6,9
GSE298393|OS,model_std,3.70975304208951,1.0,0.9260699518660888,0.9915761641573803,within-condition sample splits,6,9
GSE298393|YA,raw,1.62508245310403,1.0,0.5791458384811985,0.958650142964342,within-condition sample splits,6,9
GSE298393|YA,model_mean,1.2682011423287276,0.7777777777777778,0.8136510407381734,0.9317119686361568,within-condition sample splits,6,9
GSE298393|YA,model_std,2.338283112122116,1.0,0.8292262282497603,0.9826079225869513,within-condition sample splits,6,9
