gene,study,observed_shift,resample_q025,resample_q975
CDKN1A,OSD-48,2.0935043334960937,1.610196810364723,2.497287220954895
RNF186,OSD-48,-1.1169257640838623,-1.5571089309453963,-0.6032408040761953
SULT1E1,OSD-48,0.6670985758304595,-0.6367510998249052,1.9732930326461784
PCSK9,OSD-48,-0.4851628780364989,-1.0310401463508607,0.12886951088905324
PER2,OSD-48,-0.7213085412979123,-1.437348377108574,0.099025666117668
LDLR,OSD-48,-0.4698872089385983,-0.73909463763237,-0.13022691249847396
AACS,OSD-48,-0.4465522766113281,-1.1090177583694454,0.26176329374313345
DUSP1,OSD-48,0.5504593849182133,0.16290017604827936,0.8365128672122957
CDKN1A,OSD-379,1.0900778472423556,0.41818079104026157,1.793327068040768
RNF186,OSD-379,-0.8273376921812692,-1.390862256040176,-0.24688195313016598
SULT1E1,OSD-379,0.5708053509394326,-0.015466292699177864,1.0718431269129116
PCSK9,OSD-379,-0.5454656680425005,-0.916108581920465,-0.07907033860683459
PER2,OSD-379,-0.5469984213511148,-1.0202759370207786,0.007404466966787336
LDLR,OSD-379,-0.4640783866246538,-0.7167810897032417,-0.14617949028809896
AACS,OSD-379,-0.4930872718493146,-1.1115939160188038,0.2301413734753919
DUSP1,OSD-379,0.7662752866745,0.2615098228057223,1.2467564195394516
CDKN1A,OSD-463,1.2822816918293634,0.4871401636550824,1.9573992590109506
RNF186,OSD-463,-0.821586608886719,-1.2203684737284979,-0.39156419634819123
SULT1E1,OSD-463,1.7621049682299297,1.2040171548724172,2.475171294311682
PCSK9,OSD-463,-1.9123802383740744,-2.434891327967246,-1.2733940777679291
PER2,OSD-463,-0.4785416920979819,-0.8437676320473355,-0.08006915648778287
LDLR,OSD-463,-0.5668601592381792,-0.8959269712368645,-0.25074349145094627
AACS,OSD-463,-0.459935386975606,-0.8387418925762175,-0.058559735616047964
DUSP1,OSD-463,0.4172943830490108,0.15477651556332897,0.7262509892384212
