gene,direction_consistent_all_studies,min_abs_shift,mean_shift,OSD-48_flight_minus_ground,OSD-379_flight_minus_ground,OSD-463_flight_minus_ground
CDKN1A,True,1.0900778472423556,1.4886212908559375,2.0935043334960937,1.0900778472423556,1.2822816918293634
RNF186,True,0.821586608886719,-0.9219500217172835,-1.1169257640838623,-0.8273376921812692,-0.821586608886719
SULT1E1,True,0.5708053509394326,1.0000029649999405,0.6670985758304595,0.5708053509394326,1.7621049682299295
PCSK9,True,0.48516287803649893,-0.9810029281510246,-0.48516287803649893,-0.5454656680425005,-1.9123802383740742
PER2,True,0.4785416920979819,-0.5822828849156697,-0.7213085412979123,-0.5469984213511148,-0.4785416920979819
LDLR,True,0.46407838662465384,-0.5002752516004771,-0.46988720893859837,-0.46407838662465384,-0.5668601592381792
AACS,True,0.4465522766113281,-0.4665249784787496,-0.4465522766113281,-0.49308727184931467,-0.459935386975606
DUSP1,True,0.4172943830490108,0.5780096848805747,0.5504593849182133,0.7662752866745,0.4172943830490108
EFNA1,True,0.4013113975524907,-0.6115701066123115,-0.4013113975524907,-0.557882865269979,-0.8755160570144649
POLR2H,True,0.39973517258961966,-0.4360143926408555,-0.4959496021270753,-0.4123584032058716,-0.39973517258961966
INMT,True,0.3800041675567627,-0.5484700997670492,-0.8463015556335449,-0.41910457611083984,-0.3800041675567627
JUNB,True,0.37871795892715454,-0.4829422348075443,-0.508410358428955,-0.5616983870665233,-0.37871795892715454
BMF,True,0.37080395221710205,-0.4923847198486328,-0.5061183214187622,-0.6002318859100342,-0.37080395221710205
ID3,True,0.3647069931030278,-0.6838764018482634,-0.3647069931030278,-1.1340433359146118,-0.5528788765271506
ITM2C,True,0.3390023310979209,-0.3665435075759887,-0.35307197570800763,-0.3390023310979209,-0.4075562159220376
IRF1,True,0.33433337211608904,-0.48698515097300205,-0.33433337211608904,-0.36393872896830226,-0.7626833518346148
PNKD,True,0.33285121917724636,0.422890387641059,0.33285121917724636,0.3495093981424966,0.5863105456034341
OAF,True,0.32951943079630563,-0.344664600160387,-0.3536648750305176,-0.35080949465433786,-0.32951943079630563
DDC,True,0.3222097873687746,0.42480471134185765,0.3222097873687746,0.3660955826441441,0.5861087640126543
GPR146,True,0.3152248064676919,-0.48707090748680953,-0.7738693237304686,-0.37211859226226807,-0.3152248064676919
AZIN1,True,0.31125040849049856,-0.36091315216488296,-0.4440475940704345,-0.3274414539337158,-0.31125040849049856
SLC34A2,True,0.30572869504491484,0.4897440513802899,0.835230229794979,0.32827322930097586,0.30572869504491484
LPIN1,True,0.30502386093139666,0.42356916003757056,0.30502386093139666,0.5576232274373374,0.40806039174397757
GATM,True,0.3009442488352456,-0.367156868510776,-0.3241293191909791,-0.3009442488352456,-0.4763970375061033
DTX4,True,0.30014369885126735,0.47621013985739813,0.543602991104126,0.30014369885126735,0.584883729616801
SLC45A3,True,0.29893537362416556,0.463391547732883,0.7364097595214845,0.354829510052999,0.29893537362416556
TSPAN4,True,0.29877891540527335,-0.5187525894906786,-0.29877891540527335,-0.6681434909502664,-0.5893353621164961
ATP6V0B,True,0.29781134923299124,-0.30329996744791615,-0.30729360580444265,-0.3047949473063145,-0.29781134923299124
MT-ND1,True,0.2964969635009762,0.3223823229471847,0.2964969635009762,0.3560331662495937,0.31461683909098426
ATG14,True,0.2952400048573809,-0.36757381227281355,-0.42225410938262953,-0.2952400048573809,-0.3852273225784302
MCU,True,0.2912097930908204,0.33698020246293797,0.2912097930908204,0.33498581250508597,0.3847450017929075
LRTM1,True,0.28676442305246974,0.5984754698144065,0.6025993585586549,0.28676442305246974,0.9060626278320948
RIPK2,True,0.2855889995892844,-0.47757611407174005,-0.7781415700912475,-0.2855889995892844,-0.36899777253468824
SERPINE1,True,0.28476855655511224,-0.6028931882646349,-0.5903630346059799,-0.28476855655511224,-0.9335479736328124
TMIE,True,0.28469328085581447,0.4103913280698988,0.44749422073364276,0.28469328085581447,0.49898648262023926
SLC38A3,True,0.2840899626413984,-0.4204862912495931,-0.6131677627563477,-0.2840899626413984,-0.36420114835103323
OGFOD2,True,0.2813965479532876,-0.30823442803488826,-0.293031358718872,-0.35027537743250514,-0.2813965479532876
LEPR,True,0.2804434895515444,-0.4106592032644485,-0.36463235616683964,-0.2804434895515444,-0.5869017640749614
PAMR1,True,0.2804237802823384,-0.37068754567040346,-0.4031952261924744,-0.2804237802823384,-0.42844363053639745
HTRA1,True,0.2783564726511636,-0.33671677973535324,-0.34073472619056705,-0.2783564726511636,-0.3910591403643291
PAM,True,0.2780794699986777,-0.3113620705074734,-0.3364414453506468,-0.2780794699986777,-0.3195652961730957
HCST,True,0.27755517760912574,-0.31498945454756416,-0.28832957744598375,-0.37908360858758294,-0.27755517760912574
TGFBI,True,0.2772767146428423,-0.3057938655217489,-0.3336545944213869,-0.2772767146428423,-0.30645028750101755
NOTUM,True,0.2743335167566934,-0.2907974110709297,-0.3158372402191163,-0.28222147623697946,-0.2743335167566934
INSIG1,True,0.27020826339721715,-0.7389901426103384,-0.27020826339721715,-0.5327161153157558,-1.414046049118042
TMEM51,True,0.2701989710330963,-0.3304895142714183,-0.3226944446563722,-0.2701989710330963,-0.3985751271247864
SEL1L3,True,0.268900990486145,-0.35373291174570726,-0.37232222557067884,-0.268900990486145,-0.41997551918029785
POLD2,True,0.26802486181259155,-0.2921926630867853,-0.294113850593567,-0.3144392768541975,-0.26802486181259155
HSPG2,True,0.2649449507395427,-0.3832296172777813,-0.4274696826934816,-0.45727421840031957,-0.2649449507395427
RPS21,True,0.26360281308492084,-0.3844250520070395,-0.3942555427551264,-0.49541680018107126,-0.26360281308492084
DLL4,True,0.26351293325424185,-0.2937984446684519,-0.26351293325424185,-0.27729003628094984,-0.34059236447016394
TUBB2A,True,0.26000742117563913,0.7014355765448678,1.116121006011963,0.26000742117563913,0.728178302447001
ABCG8,True,0.25724077224731445,-0.3635610183080038,-0.5302314281463625,-0.25724077224731445,-0.3032108545303345
TRIM47,True,0.2565126657485961,-0.3616861879825592,-0.2565126657485961,-0.35662592450777697,-0.47191997369130445
TGM1,True,0.2526284257570903,-0.34879724184672045,-0.5162880420684814,-0.2526284257570903,-0.2774752577145896
TNXB,True,0.2518705844879151,-0.350999504990048,-0.2518705844879151,-0.42080332835515355,-0.3803246021270752
SOCS3,True,0.2516765892505646,-0.6215897089905208,-0.4744266033172606,-0.2516765892505646,-1.1386659344037373
TM2D3,True,0.25073818365732814,-0.28368808428446446,-0.3326411724090579,-0.25073818365732814,-0.26768489678700735
ID2,True,0.2506221135457354,-0.323514127731323,-0.3428959369659417,-0.37702433268229196,-0.2506221135457354
PRKAR2A,True,0.25010709762573224,0.27470559808942996,0.25010709762573224,0.29178090890248587,0.28222878774007176
ARL4D,True,0.249623489379883,0.3795333147048951,0.249623489379883,0.6368331909179688,0.2521432638168335
RFX4,True,0.2484622597694397,0.4717344455420971,0.2484622597694397,0.34736527005831386,0.8193758067985377
SLC8B1,True,0.2480865716934204,-0.3290508031845092,-0.40282387733459446,-0.3362419605255127,-0.2480865716934204
UGP2,True,0.24798202514648438,-0.2901293701595729,-0.24798202514648438,-0.26051759719848633,-0.3618884881337481
SPCS1,True,0.2468719482421875,-0.39213050736321353,-0.5938458442687988,-0.2468719482421875,-0.33567372957865427
TUBA8,True,0.246369194984436,0.45598553890983257,0.246369194984436,0.48975109681487083,0.6318363249301909
VKORC1,True,0.2455148696899414,-0.5138476822111341,-0.2455148696899414,-0.7602669397989907,-0.5357612371444702
ABCC3,True,0.24549166361490915,-0.3891518804762099,-0.5750670909881594,-0.24549166361490915,-0.3468968868255611
SIGMAR1,True,0.24490626653035452,0.332112545437283,0.3132933616638187,0.24490626653035452,0.4381380081176758
SERTAD1,True,0.2448902726173401,-0.2957723206943936,-0.26590538024902344,-0.37652130921681715,-0.2448902726173401
JUN,True,0.24470648765563974,0.3287639670901828,0.24470648765563974,0.38965630531311035,0.35192910830179835
GYS2,True,0.24402507146199603,-0.5876661671532529,-1.1292839050292969,-0.38968952496846576,-0.24402507146199603
GPX3,True,0.2420522769292197,0.2480095638169182,0.2538578748703002,0.2420522769292197,0.24811853965123465
B4GALT5,True,0.24186096588770578,-0.5051749110221865,-0.664302396774292,-0.24186096588770578,-0.6093613704045615
GADD45A,True,0.24112312793731672,-0.5810799029138353,-0.24112312793731672,-0.6310158173243203,-0.8711007634798686
NPDC1,True,0.24090731143951416,-0.28195663425657486,-0.28985443115234366,-0.3151081601778667,-0.24090731143951416
UPP1,True,0.24024172623952234,-0.3402106126149495,-0.32847170829772954,-0.24024172623952234,-0.4519184033075967
LAPTM4B,True,0.2396390438079834,-0.2914012167188855,-0.36854510307311994,-0.26601950327555324,-0.2396390438079834
TMEM208,True,0.23902387619018528,-0.3883259799745349,-0.23902387619018528,-0.5686889489491782,-0.35726511478424117
TEF,True,0.23663846651713083,-0.9239635494020252,-1.5497534751892088,-0.9854987064997358,-0.23663846651713083
FLNA,True,0.23546743392944336,-0.37867340776655406,-0.23546743392944336,-0.3695310354232788,-0.53102175394694
SLC35A2,True,0.23544552326202384,-0.2804747170872159,-0.23544552326202384,-0.29719511667887377,-0.30878351132075
RPL10,True,0.23371561368306448,-0.33430007298787406,-0.3103869915008546,-0.4587976137797032,-0.23371561368306448
TSPYL4,True,0.23278974493344617,0.2583400401804182,0.24157266616821294,0.30065770943959547,0.23278974493344617
MRPS12,True,0.2327510118484497,-0.3429806060261196,-0.42099885940551784,-0.3751919468243914,-0.2327510118484497
CD207,True,0.23190988103548682,-0.4465581172042423,-0.3809370875358582,-0.23190988103548682,-0.7268273830413818
TEX30,True,0.23151699701944994,-0.3024811969863043,-0.26072816848754865,-0.4151984254519143,-0.23151699701944994
ANGPTL2,True,0.23097681999206543,-0.36318088769912715,-0.4600952029228209,-0.23097681999206543,-0.3984706401824951
STAB1,True,0.23057138919830322,-0.3330182790756225,-0.372327136993408,-0.39615631103515625,-0.23057138919830322
RHOD,True,0.22866952419281006,-0.2866911040412055,-0.2329124450683593,-0.22866952419281006,-0.39849134286244725
PPIC,True,0.22851378917694087,-0.2911797139379713,-0.22851378917694087,-0.26189184188842773,-0.3831335107485454
SAR1A,True,0.22816085815429688,-0.23649574915568028,-0.24497632980346662,-0.23635005950927734,-0.22816085815429688
