id.accession,id.assay name,id.sample name,study.characteristics.organism,study.characteristics.strain,study.characteristics.animal source,study.characteristics.age at launch,study.characteristics.sex,study.characteristics.material type,study.factor value.spaceflight,study.factor value.genotype,investigation.study assays.study assay measurement type,investigation.study assays.study assay technology type,assay.protocol ref,study.parameter value.habitat,study.parameter value.duration,study.parameter value.light cycle,study.parameter value.diet,study.parameter value.feeding schedule,study.parameter value.enrichment material,study.parameter value.euthanasia method,study.parameter value.age at euthanasia,study.parameter value.carcass preservation method,study.parameter value.sample weight,study.parameter value.sample preservation method,study.parameter value.sample storage temperature,study.comment.rfid,study.comment.alsda subject id,study.comment.euthanasia date,study.comment.bsp dissection date,study.comment.source description,investigation.study.comment.Project Identifier,id.assay name_rna,investigation.study assays.study assay measurement type_rna,investigation.study assays.study assay technology type_rna,study.characteristics.organism_rna,library_type,modalities_all,modalities_other,has_other_modalities,has_rna_sequencing_rna_seq,has_single_cell_rna_sequencing,counts_file,counts_path,sample_id,decision,animal_id,study,mission,flight,input_id
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_GC_C_Rep1_M36,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_GC_C_Rep1_M36,OSD-48,RR1,0,OSD-48:Mmus_C57-6J_LVR_GC_C_Rep1_M36
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_GC_C_Rep2_M37,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_GC_C_Rep2_M37,OSD-48,RR1,0,OSD-48:Mmus_C57-6J_LVR_GC_C_Rep2_M37
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_GC_C_Rep3_M38,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_GC_C_Rep3_M38,OSD-48,RR1,0,OSD-48:Mmus_C57-6J_LVR_GC_C_Rep3_M38
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_GC_C_Rep4_M39,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_GC_C_Rep4_M39,OSD-48,RR1,0,OSD-48:Mmus_C57-6J_LVR_GC_C_Rep4_M39
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_GC_C_Rep5_M40,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_GC_C_Rep5_M40,OSD-48,RR1,0,OSD-48:Mmus_C57-6J_LVR_GC_C_Rep5_M40
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,OSD-48,RR1,1,OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep1_M25
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,OSD-48,RR1,1,OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep2_M26
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,OSD-48,RR1,1,OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep3_M27
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,OSD-48,RR1,1,OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep4_M28
OSD-48,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,Mus musculus,C57BL/6J,Jackson Laboratory,16 {week},Female,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,37 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,Euthasol,,Mini Cold Bag to -80C freezer,,RLT buffer homogenized and snap frozen,-80 {degree Celsius},,,,,,,OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,data/osdr/raw/GLDS-48_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,outside_selected_subgroup_or_control,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,OSD-48,RR1,1,OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep5_M30
