input_id,study,flight,canonical_nonzero,canonical_counts,all_counts,input_min,input_max
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep1_M36,OSD-48,0,12690,17790010.0,21642276.0,0.0,11.502237319946289
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep2_M37,OSD-48,0,12517,15181274.0,18029295.0,0.0,11.457327842712402
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep3_M38,OSD-48,0,12689,21501123.0,25538195.0,0.0,11.412727355957031
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep4_M39,OSD-48,0,12723,16892084.0,20344673.0,0.0,11.268664360046387
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep5_M40,OSD-48,0,12570,17524031.0,20788832.0,0.0,11.398012161254883
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep1_M25,OSD-48,1,12451,17552615.0,20812195.0,0.0,11.775355339050293
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep2_M26,OSD-48,1,12684,17041603.0,20431601.0,0.0,11.657161712646484
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep3_M27,OSD-48,1,12517,17399668.0,20529098.0,0.0,11.515633583068848
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep4_M28,OSD-48,1,12605,16750675.0,19932317.0,0.0,11.478270530700684
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep5_M30,OSD-48,1,12480,15780469.0,18879359.0,0.0,11.630894660949707
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI1,OSD-379,0,12851,30295966.0,40715850.0,0.0,11.972749710083008
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI10,OSD-379,0,13091,23330676.0,37072038.0,0.0,11.767236709594727
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI2,OSD-379,0,12988,21811923.0,36711326.0,0.0,11.876118659973145
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI3,OSD-379,0,12914,32567199.0,45499456.0,0.0,11.742338180541992
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI4,OSD-379,0,12900,26185856.0,38901846.0,0.0,11.792482376098633
OSD-379:RR8_LVR_GC_ISS-T_YNG_GI5,OSD-379,0,12981,25145658.0,37640093.0,0.0,11.87153148651123
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI1,OSD-379,1,12834,21564470.0,33724770.0,0.0,11.726698875427246
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI10,OSD-379,1,13247,22298586.0,34870455.0,0.0,11.579361915588379
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI2,OSD-379,1,12278,18080617.0,29403985.0,0.0,11.978620529174805
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI3,OSD-379,1,12891,22585119.0,35091919.0,0.0,11.758437156677246
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI4,OSD-379,1,12810,34367496.0,43067630.0,0.0,11.807330131530762
OSD-379:RR8_LVR_FLT_ISS-T_YNG_FI5,OSD-379,1,12593,25431802.0,43818294.0,0.0,11.863741874694824
OSD-463:RR23_LVR_GC_G1_techrep1,OSD-463,0,12778,57896225.0,83874802.0,0.0,11.358960151672363
OSD-463:RR23_LVR_GC_G2,OSD-463,0,12949,66721354.0,99776427.0,0.0,11.31850814819336
OSD-463:RR23_LVR_GC_G3,OSD-463,0,12982,43373290.0,74202739.0,0.0,12.077451705932617
OSD-463:RR23_LVR_GC_G4,OSD-463,0,12781,57024031.0,84642945.0,0.0,11.187994956970215
OSD-463:RR23_LVR_GC_G5,OSD-463,0,13033,53273259.0,74607720.0,0.0,11.377120971679688
OSD-463:RR23_LVR_GC_G6,OSD-463,0,12905,58708139.0,88654561.0,0.0,11.166593551635742
OSD-463:RR23_LVR_FLT_F1,OSD-463,1,12743,57749271.0,83055066.0,0.0,11.636999130249023
OSD-463:RR23_LVR_FLT_F2,OSD-463,1,13126,72954668.0,105612073.0,0.0,11.122815132141113
OSD-463:RR23_LVR_FLT_F3,OSD-463,1,12749,47955350.0,68709732.0,0.0,11.343395233154297
OSD-463:RR23_LVR_FLT_F4,OSD-463,1,12740,43729446.0,67354640.0,0.0,11.845542907714844
OSD-463:RR23_LVR_FLT_F5,OSD-463,1,13134,60986850.0,89149817.0,0.0,11.673550605773926
OSD-463:RR23_LVR_FLT_F6,OSD-463,1,12771,50988646.0,71032572.0,0.0,11.358132362365723
