gene,source_row,source_identifier
A1CF,20154,29974
A2M,23471,2
A3GALT2,793,127550
A4GALT,37593,53947
A4GNT,8047,51146
AAAS,24036,8086
AACS,25015,65985
AADAC,8191,13
AADACL2,8187,344752
AADACL3,315,126767
AADAT,10193,51166
AAGAB,28451,79719
AAK1,4616,22848
AAMDC,22584,28971
AAMP,6203,14
AANAT,32306,15
AAR2,35740,25980
AARD,17562,441376
AARS2,13311,57505
AARSD1,31641,80755
AASDH,9288,132949
AASDHPPT,22815,60496
AASS,15787,10157
AATF,31382,26574
AATK,32415,9625
ABAT,29315,18
ABCA1,18887,19
ABCA12,6154,26154
ABCA13,15020,154664
ABCA2,19478,20
ABCA3,29167,21
ABCA4,1600,24
ABCA5,32159,23461
ABCA6,32154,23460
ABCA7,33266,10347
ABCA8,32151,10351
ABCA9,32152,10350
ABCB10,3534,23456
ABCB11,5713,8647
ABCB4,15366,5244
ABCB5,14650,340273
ABCB6,6249,10058
ABCB7,38433,22
ABCB8,16274,11194
ABCB9,24963,23457
ABCC1,29442,4363
ABCC10,13274,89845
ABCC12,29866,94160
ABCC2,20682,1244
ABCC3,31894,8714
ABCC4,25832,10257
ABCC5,8459,10057
ABCC6,29443,368
ABCC8,21556,6833
ABCC9,23669,10060
ABCD1,39049,215
ABCD2,23791,225
ABCD3,1605,5825
ABCD4,26932,5826
ABCE1,9992,6059
ABCF1,12873,23
ABCF2,16287,10061
ABCF3,8469,55324
ABCG1,36705,9619
ABCG4,23014,64137
ABCG5,4350,64240
ABCG8,4351,64241
ABHD1,4138,84696
ABHD10,7693,55347
ABHD11,15233,83451
ABHD12,35583,26090
ABHD12B,26634,145447
ABHD13,25959,84945
ABHD14A,7251,25864
ABHD14B,7249,84836
ABHD15,31212,116236
ABHD16A,12948,7920
ABHD16B,36241,140701
ABHD17A,33309,81926
ABHD17B,18501,51104
ABHD17C,28689,58489
ABHD18,9887,80167
ABHD2,28814,11057
ABHD3,32705,171586
ABHD4,26314,63874
ABHD5,7018,51099
ABHD6,7351,57406
ABHD8,33865,79575
ABI1,19867,10006
ABI2,6061,10152
ABI3,31844,51225
ABI3BP,7608,25890
ABITRAM,18928,54942
ABL1,19292,25
ABL2,2871,27
ABLIM1,20884,3983
ABLIM2,8888,84448
ABLIM3,11772,22885
ABO,19338,28
ABR,30585,29
ABRA,17514,137735
ABRACL,14051,58527
ABRAXAS1,9543,84142
ABRAXAS2,21011,23172
ABT1,12625,29777
ABTB1,7910,80325
ABTB2,21718,25841
ACAA2,32945,10449
ACACA,31385,31
ACACB,24723,32
ACAD11,7993,84129
ACAD8,23252,27034
ACAD9,7931,28976
ACADL,6126,33
ACADM,1404,34
ACADS,24908,35
ACADSB,20987,36
ACADVL,30775,37
ACAN,28810,176
ACAP1,30788,9744
ACAP2,8643,23527
ACAP3,61,116983
ACAT1,22831,38
ACBD3,3453,64746
ACBD4,31727,79777
ACBD5,19872,91452
ACBD6,2888,84320
ACBD7,19760,414149
ACCS,21785,84680
ACCSL,21784,390110
ACD,30136,65057
ACE,32054,1636
ACE2,37919,59272
ACER1,33461,125981
ACER2,18059,340485
ACER3,22570,55331
ACHE,15591,43
ACIN1,26338,22985
ACKR1,2528,2532
ACKR2,7004,1238
ACKR3,6468,57007
ACKR4,7994,51554
ACLY,31588,47
ACMSD,5469,130013
ACO1,18151,48
ACO2,37545,50
ACOD1,25714,730249
ACOT11,1204,26027
ACOT12,11099,134526
ACOT13,12529,55856
ACOT4,26913,122970
ACOT6,26914,641372
ACOT7,192,11332
ACOT8,35905,10005
ACOX1,32285,51
ACOX2,7359,8309
ACOX3,8895,8310
ACOXL,5223,55289
ACP1,3831,52
ACP2,21846,53
ACP4,34808,93650
ACP5,33666,54
ACP6,2095,51205
ACP7,34300,390928
ACR,37758,49
ACRBP,23392,84519
ACRV1,23148,56
ACSBG1,28643,23205
ACSBG2,33459,81616
ACSF2,31884,80221
ACSF3,30492,197322
ACSL1,10315,2180
ACSL3,6305,2181
ACSL4,38642,2182
ACSL5,20853,51703
ACSL6,11455,23305
ACSM1,29513,116285
ACSM3,29516,6296
ACSM4,23432,341392
ACSM5,29507,54988
ACSS1,35576,84532
ACSS2,35703,55902
ACSS3,24428,79611
ACTA1,3531,58
ACTA2,20523,59
ACTB,14512,60
ACTBL2,10846,345651
ACTC1,27970,70
ACTG1,32435,71
ACTG2,4690,72
ACTL10,35680,170487
ACTL6A,8410,86
ACTL6B,15576,51412
ACTL7A,18926,10881
ACTL7B,18925,10880
ACTL9,33553,284382
ACTN1,26848,87
ACTN2,3646,88
ACTN3,22333,89
ACTN4,34284,81
ACTR10,26723,55860
ACTR1A,20751,10121
ACTR1B,5039,10120
ACTR2,4562,10097
ACTR3,5285,10096
ACTR5,35790,79913
ACTR6,24605,64431
ACTR8,7308,93973
ACTRT1,38777,139741
ACTRT2,138,140625
ACTRT3,8330,84517
ACVR1,5627,90
ACVR1B,23976,91
ACVR1C,5625,130399
ACVR2A,5541,92
ACVR2B,6942,93
ACVRL1,23975,94
ACY1,7252,95
ACY3,22381,91703
ACYP2,4445,98
ADA,35853,100
ADAD1,9851,132612
ADAD2,30372,161931
ADAM10,28310,102
ADAM11,31711,4185
ADAM12,21037,8038
ADAM15,2383,8751
ADAM17,3937,6868
ADAM18,16902,8749
ADAM2,16903,2515
ADAM21,26875,8747
ADAM22,15371,53616
ADAM23,6081,8745
ADAM28,16727,10863
ADAM29,10240,11086
ADAM30,1934,11085
ADAM32,16898,203102
ADAM33,35338,80332
ADAM7,16730,8756
ADAM8,21119,101
ADAM9,16896,8754
ADAMDEC1,16729,27299
ADAMTS1,36449,9510
ADAMTS10,33550,81794
ADAMTS12,10660,81792
ADAMTS13,19351,11093
ADAMTS14,20299,140766
ADAMTS15,23218,170689
ADAMTS16,10473,170690
ADAMTS17,28966,170691
ADAMTS18,30303,170692
ADAMTS19,11440,171019
ADAMTS2,12156,9509
ADAMTS20,23819,80070
ADAMTS3,9401,9508
ADAMTS4,2601,9507
ADAMTS5,36451,11096
ADAMTS6,10898,11174
ADAMTS7,28660,11173
ADAMTS8,23217,11095
ADAMTS9,7408,56999
ADAMTSL1,18046,92949
ADAMTSL2,19356,9719
ADAMTSL3,28742,57188
ADAMTSL4,2195,54507
ADAMTSL5,33295,339366
ADAP1,14431,11033
ADAP2,31239,55803
ADAR,2367,103
ADARB1,36813,104
ADARB2,19562,105
ADAT1,30289,23536
ADAT2,14086,134637
ADCK1,27005,57143
ADCK2,16007,90956
ADCK5,17882,203054
ADCY1,14994,107
ADCY10,2724,55811
ADCY2,10501,108
ADCY3,4098,109
ADCY4,26408,196883
ADCY5,7843,111
ADCY6,23885,112
ADCY7,29887,113
ADCY8,17699,114
ADCY9,29265,115
ADCYAP1,32534,116
ADCYAP1R1,14802,117
ADD1,8800,118
ADD2,4638,119
ADD3,20822,120
ADGB,14111,79747
ADGRA1,21110,84435
ADGRA2,16871,25960
ADGRA3,9029,166647
ADGRB1,17787,575
ADGRB2,749,576
ADGRB3,13477,577
ADGRD1,25086,283383
ADGRE1,33486,2015
ADGRE5,33778,976
ADGRF1,13342,266977
ADGRF3,4118,165082
ADGRF4,13348,221393
ADGRF5,13339,221395
ADGRG1,30019,9289
ADGRG2,37956,10149
ADGRG3,30020,222487
ADGRG4,38877,139378
ADGRG5,30016,221188
ADGRG6,14079,57211
ADGRG7,7606,84873
ADGRL1,33775,22859
ADGRL2,1444,23266
ADGRL3,9318,23284
ADGRL4,1435,64123
ADGRV1,11169,84059
ADH4,9633,127
ADH5,9631,128
ADH6,9635,130
ADH7,9640,131
ADHFE1,17133,137872
ADI1,3866,55256
ADIG,35787,149685
ADIPOQ,8534,9370
ADIPOR1,3105,51094
ADIPOR2,23299,79602
ADK,20366,132
ADM,21469,133
ADM2,37738,79924
ADNP,36008,23394
ADNP2,33211,22850
ADO,20219,84890
ADORA1,3113,134
ADORA2A,37179,135
ADORA2B,30985,136
ADORA3,1803,140
ADPGK,28532,83440
ADPRH,7784,141
ADPRM,30925,56985
ADPRS,835,54936
ADRA1A,16759,148
ADRA1B,11908,147
ADRA1D,35355,146
ADRA2A,20841,150
ADRA2B,5005,151
ADRA2C,8819,152
ADRB1,20877,153
ADRB2,11768,154
ADRB3,16875,155
ADSL,37515,158
ADTRP,12406,84830
AEBP1,14958,165
AEBP2,23643,121536
AEN,28804,64782
AFAP1,8886,60312
AFAP1L1,11773,134265
AFAP1L2,20882,84632
AFDN,14344,4301
AFF1,9563,4299
AFF2,38960,2334
AFF3,5065,3899
AFF4,11485,27125
AFG1L,13740,246269
AFG3L2,32658,10939
AFM,9410,173
AFMID,32357,125061
AFP,9409,174
AFTPH,4546,54812
AGA,10255,175
AGAP1,6457,116987
AGAP2,24215,116986
AGAP3,16280,116988
AGBL1,28784,123624
AGBL2,21863,79841
AGBL3,15943,340351
AGBL4,1116,84871
AGBL5,4133,60509
AGER,13003,177
AGFG1,6338,3267
AGFG2,15567,3268
AGGF1,11050,55109
AGK,16018,55750
AGL,1652,178
AGMAT,374,79814
AGMO,14601,392636
AGO1,831,26523
AGO2,17761,27161
AGO3,832,192669
AGO4,830,192670
AGPAT1,12999,10554
AGPAT2,19446,10555
AGPAT3,36758,56894
AGPAT4,14261,56895
AGPAT5,16446,55326
AGPS,5829,8540
AGR2,14616,10551
AGR3,14617,155465
AGRN,41,375790
AGRP,30130,181
AGT,3551,183
AGTPBP1,18608,23287
AGTR2,38689,186
AGTRAP,290,57085
AGXT,6549,189
AGXT2,10676,64902
AHCTF1,3734,25909
AHCYL1,1760,10768
AHCYL2,15874,23382
AHDC1,669,27245
AHI1,14005,54806
AHNAK,22113,79026
AHR,14621,196
AHRR,10396,57491
AHSA1,26998,10598
AHSG,8519,197
AICDA,23462,57379
AIDA,3400,64853
AIF1,12936,199
AIF1L,19297,83543
AIFM1,38793,9131
AIFM2,20289,84883
AIFM3,36987,150209
AIG1,14084,51390
AIM2,2524,9447
AIMP1,9697,9255
AIMP2,14524,7965
AIP,22370,9049
AIPL1,30743,23746
AIRE,36771,326
AJAP1,172,55966
AJM1,19463,389813
AJUBA,26331,84962
AK1,19201,203
AK2,787,204
AK3,17974,50808
AK5,1421,26289
AK7,27193,122481
AK8,19322,158067
AK9,13757,221264
AKAIN1,32574,642597
AKAP1,31945,8165
AKAP10,31101,11216
AKAP11,25419,11215
AKAP12,14158,9590
AKAP13,28777,11214
AKAP3,23347,10566
AKAP4,38216,8852
AKAP6,26480,9472
AKAP7,13951,9465
AKAP8,33809,10270
AKAP8L,33810,26993
AKAP9,15403,10142
AKIP1,21443,56672
AKIRIN1,896,79647
AKIRIN2,13614,55122
AKNA,19007,80709
AKR1A1,1057,10327
AKR1D1,15970,6718
AKR1E2,19616,83592
AKR7L,460,246181
AKT1,27434,207
AKT1S1,34760,84335
AKT2,34345,208
AKT3,3691,10000
AKTIP,29931,64400
ALAD,18991,210
ALAS1,7258,211
ALAS2,38282,212
ALB,9408,213
ALCAM,7637,214
ALDH16A1,34724,126133
ALDH18A1,20611,5832
ALDH1A2,28305,8854
ALDH1A3,28980,220
ALDH1B1,18304,219
ALDH1L1,7879,10840
ALDH1L2,24665,160428
ALDH2,24770,217
ALDH3A1,31098,218
ALDH3A2,31096,224
ALDH3B1,22389,221
ALDH4A1,451,8659
ALDH5A1,12526,7915
ALDH6A1,26927,4329
ALDH7A1,11409,501
ALDH8A1,13998,64577
ALDOB,18854,229
ALDOC,31176,230
ALG11,25561,440138
ALG12,37714,79087
ALG13,38658,79868
ALG14,1616,199857
ALG2,18827,85365
ALG3,8472,10195
ALG5,25359,29880
ALG6,1296,29929
ALG8,22591,79053
ALG9,22873,79796
ALK,4200,238
ALKAL1,17000,389658
ALKAL2,3832,285016
ALKBH1,27001,8846
ALKBH2,24721,121642
ALKBH3,21780,221120
ALKBH4,15627,54784
ALKBH5,31039,54890
ALKBH6,34203,84964
ALKBH7,33463,84266
ALKBH8,22824,91801
ALLC,3871,55821
ALOX12,30760,239
ALOX12B,30842,242
ALOX15,30688,246
ALOX15B,30841,247
ALOX5,20058,240
ALOX5AP,25302,241
ALOXE3,30845,59344
ALPK1,9753,80216
ALPK2,33020,115701
ALPK3,28769,57538
ALPL,513,249
ALS2,6042,57679
ALS2CL,7083,259173
ALX1,24448,8092
ALX3,1763,257
ALX4,21787,60529
AMACR,10663,23600
AMBN,9387,258
AMBP,18998,259
AMBRA1,21827,55626
AMDHD1,24562,144193
AMDHD2,29178,51005
AMELX,37877,265
AMER1,38319,139285
AMER2,25234,219287
AMER3,5429,205147
AMFR,29970,267
AMH,33326,268
AMHR2,24039,269
AMIGO1,1745,57463
AMIGO2,23843,347902
AMIGO3,7181,386724
AMMECR1,38648,9949
AMMECR1L,5386,83607
AMN,27385,81693
AMN1,23764,196394
AMOT,38663,154796
AMOTL1,22723,154810
AMOTL2,8017,51421
AMPD1,1856,270
AMPD2,1751,271
AMPD3,21471,272
AMPH,14886,273
AMT,7173,275
AMTN,9386,401138
AMZ1,14482,155185
AMZ2,32140,51321
ANAPC1,5232,64682
ANAPC10,9991,10393
ANAPC11,32456,51529
ANAPC13,8020,25847
ANAPC15,22472,25906
ANAPC16,20323,119504
ANAPC2,19495,29882
ANAPC4,9054,29945
ANAPC5,24922,51433
ANAPC7,24745,51434
ANGEL1,26979,23357
ANGEL2,3312,90806
ANGPT1,17516,284
ANGPT2,16443,285
ANGPT4,35256,51378
ANGPTL1,2867,9068
ANGPTL2,19175,23452
ANGPTL3,1288,27329
ANGPTL4,33541,51129
ANGPTL6,33596,83854
ANGPTL7,277,10218
ANGPTL8,33648,55908
ANK1,16925,286
ANK2,9765,287
ANKAR,5924,150709
ANKDD1A,28398,348094
ANKDD1B,11035,728780
ANKEF1,35410,63926
ANKFN1,31933,162282
ANKFY1,30678,51479
ANKH,10556,56172
ANKHD1,11611,54882
ANKIB1,15409,54467
ANKK1,22905,255239
ANKLE1,33864,126549
ANKLE2,25131,23141
ANKMY1,6539,51281
ANKMY2,14612,57037
ANKRA2,11012,57763
ANKRD1,20554,27063
ANKRD10,25991,55608
ANKRD11,30499,29123
ANKRD12,32611,23253
ANKRD13A,24740,88455
ANKRD13B,31215,124930
ANKRD13C,1364,81573
ANKRD13D,22355,338692
ANKRD16,19643,54522
ANKRD17,9406,26057
ANKRD2,20647,26287
ANKRD22,20519,118932
