gene,source_row,source_identifier
A1CF,54295,ENSG00000148584
A2M,49702,ENSG00000175899
A3GALT2,54297,ENSG00000184389
A4GALT,17570,ENSG00000128274
A4GNT,20511,ENSG00000118017
AAAS,7083,ENSG00000094914
AACS,2917,ENSG00000081760
AADAC,58694,ENSG00000114771
AADACL2,20513,ENSG00000197953
AADACL3,20514,ENSG00000188984
AADAT,2797,ENSG00000109576
AAGAB,15645,ENSG00000103591
AAK1,2111,ENSG00000115977
AAMDC,11227,ENSG00000087884
AAMP,3984,ENSG00000127837
AANAT,49619,ENSG00000129673
AAR2,11247,ENSG00000131043
AARD,6935,ENSG00000205002
AARS2,4701,ENSG00000124608
AARSD1,17435,ENSG00000266967
AASDH,17673,ENSG00000157426
AASDHPPT,17735,ENSG00000149313
AASS,6051,ENSG00000008311
AATF,13891,ENSG00000275700
AATK,7899,ENSG00000181409
ABAT,10259,ENSG00000183044
ABCA1,36,ENSG00000165029
ABCA12,60466,ENSG00000144452
ABCA13,74,ENSG00000179869
ABCA2,1771,ENSG00000107331
ABCA3,1350,ENSG00000167972
ABCA4,15406,ENSG00000198691
ABCA5,9563,ENSG00000154265
ABCA6,6064,ENSG00000154262
ABCA7,1433,ENSG00000064687
ABCA8,8685,ENSG00000141338
ABCA9,8176,ENSG00000154258
ABCB10,3856,ENSG00000135776
ABCB11,52671,ENSG00000073734
ABCB4,10852,ENSG00000005471
ABCB5,52672,ENSG00000004846
ABCB6,6147,ENSG00000115657
ABCB7,14496,ENSG00000131269
ABCB8,9776,ENSG00000197150
ABCB9,1652,ENSG00000150967
ABCC1,7138,ENSG00000103222
ABCC10,4208,ENSG00000124574
ABCC12,20524,ENSG00000140798
ABCC2,7539,ENSG00000023839
ABCC3,5613,ENSG00000108846
ABCC4,11647,ENSG00000125257
ABCC5,3089,ENSG00000114770
ABCC6,20117,ENSG00000091262
ABCC8,57541,ENSG00000006071
ABCC9,8157,ENSG00000069431
ABCD1,6199,ENSG00000101986
ABCD2,20530,ENSG00000173208
ABCD3,2503,ENSG00000117528
ABCD4,11037,ENSG00000119688
ABCE1,11299,ENSG00000164163
ABCF1,13694,ENSG00000204574
ABCF2,4328,ENSG00000033050
ABCF3,8560,ENSG00000161204
ABCG1,7074,ENSG00000160179
ABCG4,50943,ENSG00000172350
ABCG5,20533,ENSG00000138075
ABCG8,52529,ENSG00000143921
ABHD1,51636,ENSG00000143994
ABHD10,11625,ENSG00000144827
ABHD11,3943,ENSG00000106077
ABHD12,8263,ENSG00000100997
ABHD12B,52674,ENSG00000131969
ABHD13,6741,ENSG00000139826
ABHD14A,20077,ENSG00000248487
ABHD14B,6549,ENSG00000114779
ABHD15,4457,ENSG00000168792
ABHD16A,8911,ENSG00000204427
ABHD16B,49999,ENSG00000183260
ABHD17A,16327,ENSG00000129968
ABHD17B,15430,ENSG00000107362
ABHD17C,7,ENSG00000136379
ABHD18,13558,ENSG00000164074
ABHD2,13198,ENSG00000140526
ABHD3,5650,ENSG00000158201
ABHD4,1848,ENSG00000100439
ABHD5,2181,ENSG00000011198
ABHD6,12641,ENSG00000163686
ABHD8,18065,ENSG00000127220
ABI1,3281,ENSG00000136754
ABI2,2643,ENSG00000138443
ABI3,51703,ENSG00000108798
ABI3BP,13244,ENSG00000154175
ABITRAM,3851,ENSG00000119328
ABL1,9435,ENSG00000097007
ABL2,18743,ENSG00000143322
ABLIM1,9562,ENSG00000099204
ABLIM2,4149,ENSG00000163995
ABLIM3,20396,ENSG00000173210
ABO,56191,ENSG00000175164
ABR,9667,ENSG00000159842
ABRA,20543,ENSG00000174429
ABRACL,3441,ENSG00000146386
ABRAXAS1,9908,ENSG00000163322
ABRAXAS2,9120,ENSG00000165660
ABT1,18655,ENSG00000146109
ABTB1,10327,ENSG00000114626
ABTB2,3354,ENSG00000166016
ACAA2,3803,ENSG00000167315
ACACA,2344,ENSG00000278540
ACACB,929,ENSG00000076555
ACAD11,2522,ENSG00000240303
ACAD8,15785,ENSG00000151498
ACAD9,1925,ENSG00000177646
ACADL,54732,ENSG00000115361
