id,sample,study,source,role,species,tissue,condition_name,source_column,split,unit
GSE224805:GSM7032597:author,GSM7032597,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,onboard_1g,X07.01_R1,unseen,GSM7032597
GSE224805:GSM7032598:author,GSM7032598,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,onboard_1g,X07.02_R1,unseen,GSM7032598
GSE224805:GSM7032599:author,GSM7032599,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,onboard_1g,X07.03_R1,unseen,GSM7032599
GSE224805:GSM7032600:author,GSM7032600,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,microgravity,X08.01_R1,unseen,GSM7032600
GSE224805:GSM7032601:author,GSM7032601,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,microgravity,X08.02_R1,unseen,GSM7032601
GSE224805:GSM7032602:author,GSM7032602,GSE224805,author,primary,human,osteoblast-like MG63 cancer cells,microgravity,X08.03_R1,unseen,GSM7032602
GSE157937:GSM4781322:NCBI,GSM4781322,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,microgravity,GSM4781322,train,GSM4781322
GSE157937:GSM4781323:NCBI,GSM4781323,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,microgravity,GSM4781323,train,GSM4781323
GSE157937:GSM4781324:NCBI,GSM4781324,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,microgravity,GSM4781324,train,GSM4781324
GSE157937:GSM4781325:NCBI,GSM4781325,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,onboard_1g,GSM4781325,train,GSM4781325
GSE157937:GSM4781326:NCBI,GSM4781326,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,onboard_1g,GSM4781326,train,GSM4781326
GSE157937:GSM4781327:NCBI,GSM4781327,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,ground,GSM4781327,train,GSM4781327
GSE157937:GSM4781328:NCBI,GSM4781328,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,ground,GSM4781328,val,GSM4781328
GSE157937:GSM4781329:NCBI,GSM4781329,GSE157937,NCBI,primary,human,microvascular endothelial HMEC-1 cells,ground,GSM4781329,train,GSM4781329
GSE224805:GSM7032597:NCBI,GSM7032597,GSE224805,NCBI,sensitivity,human,osteoblast-like MG63 cancer cells,onboard_1g,GSM7032597,unseen,GSM7032597
GSE224805:GSM7032599:NCBI,GSM7032599,GSE224805,NCBI,sensitivity,human,osteoblast-like MG63 cancer cells,onboard_1g,GSM7032599,unseen,GSM7032599
GSE224805:GSM7032600:NCBI,GSM7032600,GSE224805,NCBI,sensitivity,human,osteoblast-like MG63 cancer cells,microgravity,GSM7032600,unseen,GSM7032600
GSE224805:GSM7032601:NCBI,GSM7032601,GSE224805,NCBI,sensitivity,human,osteoblast-like MG63 cancer cells,microgravity,GSM7032601,unseen,GSM7032601
GSE224805:GSM7032602:NCBI,GSM7032602,GSE224805,NCBI,sensitivity,human,osteoblast-like MG63 cancer cells,microgravity,GSM7032602,unseen,GSM7032602
