mission,pathway,zscore_shift,rank_shift,background_centered_shift
RR-1,Circadian clock,0.03304758595131246,-0.0033819978835188946,-0.03495321329417641
RR-1,DNA Repair,-0.030514948089016485,-0.003442405237440882,-0.020235991783629004
RR-1,Inflammatory Response,0.13911590862954096,0.0008976535365634123,0.006484003917738994
RR-1,Muscle contraction,0.07044705302324573,-0.0006782023894566317,-0.013084628583459601
RR-1,Myogenesis,0.0882076479846895,0.00228165375797997,0.00512416341306506
RR-1,Oxidative Phosphorylation,0.22072834237886538,-6.739714563469557e-05,-0.008358873895748594
RR-1,Reactive Oxygen Species Pathway,0.12324452651174556,5.1339724311964353e-05,-0.009320768394151044
RR-1,TNF-alpha Signaling via NF-kB,0.16895051358899815,0.005790205186586905,0.034937269792959635
RR-1,Unfolded Protein Response,0.041560094321823164,0.00018767324858648404,-0.004415027666995197
RR-1,p53 Pathway,0.060187015763726426,-0.0006403599631452835,-0.005539184848277164
RR-23,Circadian clock,0.04813396557381425,-0.0022430932696317074,-0.010547780277463614
RR-23,DNA Repair,-0.33762542800808726,-0.005759025015181857,-0.056826252480972284
RR-23,Inflammatory Response,-0.09955576391561424,9.839971239153367e-05,0.014356484106404555
RR-23,Muscle contraction,-0.05234318847419374,0.0015874140244350188,0.0038990329537368362
RR-23,Myogenesis,-0.12338569544426825,-0.001945666383234762,-0.004579620379940086
RR-23,Oxidative Phosphorylation,-0.3358915721169372,-0.003252652104944437,-0.06354948616213607
RR-23,Reactive Oxygen Species Pathway,-0.21738570929659945,-0.004023481601374668,-0.05435504024456639
RR-23,TNF-alpha Signaling via NF-kB,-0.10891366682562174,-0.0017008483373711913,-0.013678460022867656
RR-23,Unfolded Protein Response,-0.1289491886852658,2.445862398151033e-05,-0.026577197517656637
RR-23,p53 Pathway,-0.13058218511124375,-0.00025963653101426787,-0.003796184380706724
RR-4,Circadian clock,0.03133119468677839,-0.007527340761062096,0.0015030433596030512
RR-4,DNA Repair,0.2056668344304428,0.001030633830780947,0.04289993254060542
RR-4,Inflammatory Response,-0.2373315674447053,-0.007590841608595744,-0.040684096733325736
RR-4,Muscle contraction,-0.09636092307760016,-0.016420846384218035,-0.08951699231759003
RR-4,Myogenesis,0.03049292330674097,-0.013830626268936053,-0.0715036010303689
RR-4,Oxidative Phosphorylation,-0.23021515842800103,-0.009961569174532947,-0.04412236673495373
RR-4,Reactive Oxygen Species Pathway,0.027631273462985814,-0.007871556814435188,0.0003892225509369851
RR-4,TNF-alpha Signaling via NF-kB,-0.09474432009421957,0.00021820661133309383,0.013357880399595734
RR-4,Unfolded Protein Response,-0.0665307476330227,-0.004124079569183481,-0.017060164741808048
RR-4,p53 Pathway,-0.0540197534559931,-0.004910411991392305,-0.005831619955285472
RR-5,Circadian clock,-0.38127449053751516,0.0005413201118926736,-0.020310881250558577
RR-5,DNA Repair,-0.27100241559270954,-0.0018694201576654468,-0.020582600620684843
RR-5,Inflammatory Response,-0.05700548862162534,0.0015386616645648998,0.0075976915314316384
RR-5,Muscle contraction,-0.07304320824297142,0.0018212853060776135,-0.006118215382112213
RR-5,Myogenesis,-0.2835264678523734,0.0015661929303973365,-0.03155448434121855
RR-5,Oxidative Phosphorylation,-1.1440613694662614,-0.008668137958372957,-0.13395394531962035
RR-5,Reactive Oxygen Species Pathway,-0.5685242113593137,-0.006438519717451463,-0.07254736365547476
RR-5,TNF-alpha Signaling via NF-kB,-0.0826300176855422,0.00328323824404958,0.016715165255793085
RR-5,Unfolded Protein Response,-0.4269956318623112,-0.0016790252753483004,-0.026157906514687967
RR-5,p53 Pathway,-0.24818960810784158,-0.0022734980920743886,-0.027054846625385043
