contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.5333387926086907,-0.24773493624609522,-0.20462519086898512,-0.035083823599751485,-1.0672534507402232,0.22012221617101238,0.8,0.7934782608695652,-0.5333387926086907
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.16329104379394124,-0.04419353850856478,-0.00108379313145468,-0.0027224109272241392,-0.387004233211884,0.1378640312809931,0.8,0.5620437956204379,-0.16329104379394124
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.28247320449393837,-0.11099965734603412,-0.06788991196892402,-0.01164761739331821,-0.46011181884781704,-0.040358445812523715,1.0,0.6421052631578947,-0.29024397978871685
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.2315191918426709,-0.09550320293778736,-0.05239345756067726,-0.010676675510688405,-0.3683446096322892,-0.04547590164791818,1.0,0.6470588235294118,-0.2315191918426709
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.12477466323160391,-0.08461250234290008,-0.04150275696578998,-0.006982124766148845,-0.3397814790861576,0.17820848912974613,0.8,0.5706214689265536,-0.12477466323160391
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.1567654958094628,0.027883283930305147,0.07099302930741525,0.011172157678195571,-0.08124177196160468,0.33117013560104813,0.8,0.6184971098265896,0.1567654958094628
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.06251482733166187,-0.000513553167834857,0.04259619220927524,0.003056555655565507,-0.08811738046118225,0.1841636041677268,0.6,0.5227272727272727,0.06251482733166187
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.5680097630107598,-0.2337440078123394,-0.1906342624352293,-0.03261323444172359,-1.128753679430506,0.22395567385964982,0.8,0.8225806451612904,-0.5680097630107598
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.01030499904760038,-0.040124490511539435,0.0029852548655706634,-0.0003774103825479047,-0.07335053976140071,0.06827977956682071,0.6,0.5,-0.01030499904760038
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.07457571235199249,-0.06184617123330516,-0.01873642585619506,-0.0008403809130912432,-0.16789797608150903,0.06480913811375918,0.6,0.546875,-0.07457571235199249
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.16136617651574786,0.09740339751537563,0.09703615464379123,0.01703018127899758,-0.4829113269926998,0.7513649937573902,0.8,0.6684782608695652,0.16136617651574786
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.15482244893890842,0.03932669361794883,0.03895945074636442,0.008284872282848799,-0.03768395626521277,0.31893732304389477,0.8,0.5912408759124088,0.15482244893890842
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.10979038544442113,-0.0018726935920612142,-0.00223993646364562,0.0002881130218284622,-0.45144924931375285,0.21433457059020847,0.8,0.5105263157894737,-0.1039360589431805
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.07530083721969849,0.04528833594587223,0.04492109307428782,0.0102657520654027,-0.11188808463076284,0.23150538447259278,0.6,0.6176470588235294,0.07530083721969849
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.09897503050595058,0.003848681612231175,0.0034814387406467695,0.0013114616546399116,-0.3572510647332481,0.16485269081590104,0.8,0.5254237288135594,-0.09897503050595058
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.33939117928203943,0.04773788810178292,0.047370645230198516,0.007915514094761877,-0.004136974829006514,0.6370639265865521,0.8,0.6936416184971098,0.33939117928203943
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.1709246995895136,0.03326131708242741,0.032894074210843005,0.006663416341634143,0.0867523999964921,0.2824745545217888,1.0,0.5227272727272727,0.1709246995895136
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.32154399194625577,0.16031615659728082,0.15994891372569642,0.027898257567692153,-0.2896234649679289,0.8359885008768237,0.8,0.7580645161290323,0.32154399194625577
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.1862673251585581,0.03220321212854138,0.031835969256956975,0.0024700064346058204,0.06387511870338503,0.24052106495348083,1.0,0.6509433962264151,0.1862673251585581
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.15223699090424425,-0.0010184681199865153,-0.001385710991570921,-0.0005721718005134435,-0.3824824119184308,0.08128043712358123,0.8,0.5677083333333334,-0.15223699090424425
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.4357406341773757,-0.15033153873071958,-0.10758903622519389,-0.018053642320753904,-0.5952109222057599,-0.1223375751237061,1.0,0.7391304347826086,-0.4357406341773757
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.010979349323546182,-0.004866844890615951,0.03787565761490974,0.005562461355624659,-0.11073350312267005,0.17527453465222376,0.6666666666666666,0.49635036496350365,-0.010979349323546182
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.45275137613314265,-0.11287235093809533,-0.07012984843256964,-0.011359504371489748,-0.5318657680838645,-0.36453160890217534,1.0,0.7368421052631579,-0.4498390262621267
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.13998376376416394,-0.05021486699191513,-0.007472364486389438,-0.0004109234452857047,-0.22945280996219058,0.052022947769259933,0.8333333333333334,0.5980392156862745,-0.13998376376416394
