contrast,gene,log1p_expression_shift
GSE234465|OS,ABCB7,0.16978343327840184
GSE234465|OS,ACAA2,-0.320111433664958
GSE234465|OS,ACADM,-0.131440718968709
GSE234465|OS,ACADSB,-0.0020656585693359375
GSE234465|OS,ACADVL,-0.3234874407450361
GSE234465|OS,ACAT1,-0.18892129262288382
GSE234465|OS,ACO2,0.271685441335042
GSE234465|OS,AFG3L2,0.10699097315470318
GSE234465|OS,AIFM1,-0.040678977966308594
GSE234465|OS,ALAS1,0.1736434300740557
GSE234465|OS,ALDH6A1,-0.2542413870493574
GSE234465|OS,ATP1B1,-0.014356136322021484
GSE234465|OS,ATP5PB,-0.013387203216552734
GSE234465|OS,ATP6AP1,0.0450450579325361
GSE234465|OS,ATP6V0B,-0.028688112894694306
GSE234465|OS,ATP6V0C,-0.22508621215820312
GSE234465|OS,ATP6V0E1,-0.024943669637043975
GSE234465|OS,ATP6V1C1,0.005208253860473633
GSE234465|OS,ATP6V1D,-0.48477792739868164
GSE234465|OS,ATP6V1E1,-0.1253383954366054
GSE234465|OS,ATP6V1F,0.5291876792907715
GSE234465|OS,ATP6V1G1,-0.28566718101501465
GSE234465|OS,ATP6V1H,-0.14892951647440578
GSE234465|OS,BAX,-0.20555543899536133
GSE234465|OS,BCKDHA,0.24515231450398733
GSE234465|OS,BDH2,-0.6097695827484131
GSE234465|OS,CASP7,0.005303303400675752
GSE234465|OS,COX10,0.04152369499206543
GSE234465|OS,COX11,-0.2475288709004717
GSE234465|OS,COX15,0.09397745132446289
GSE234465|OS,COX17,0.030237833658854463
GSE234465|OS,COX4I1,0.20354143778483103
GSE234465|OS,COX5A,-0.029966354370117188
GSE234465|OS,COX6A1,0.3556809425354004
GSE234465|OS,COX6B1,0.18418709437052438
GSE234465|OS,COX6C,-0.34492325782775923
GSE234465|OS,COX7A2,-0.016256968180338838
GSE234465|OS,COX7A2L,0.08340056737263968
GSE234465|OS,COX7C,0.06610600153605173
GSE234465|OS,COX8A,0.035907586415609316
GSE234465|OS,CPT1A,-0.38550432523091627
GSE234465|OS,CYB5A,-0.3386064370473223
GSE234465|OS,CYB5R3,-0.016392389933268525
GSE234465|OS,CYC1,0.5319654146830235
GSE234465|OS,DECR1,0.02292696634928415
GSE234465|OS,DLAT,0.025751113891601562
GSE234465|OS,DLD,0.0402844746907558
GSE234465|OS,DLST,0.015883286794027285
GSE234465|OS,ECH1,0.13808663686116507
GSE234465|OS,ECHS1,-0.27437369028727243
GSE234465|OS,ECI1,0.1974709828694663
GSE234465|OS,ETFA,-0.3421969413757324
GSE234465|OS,ETFB,0.12577533721923828
GSE234465|OS,ETFDH,-0.2526129881540933
GSE234465|OS,FDX1,-0.2983483473459878
GSE234465|OS,FH,-0.01720492045084665
GSE234465|OS,FXN,-0.1806049346923828
GSE234465|OS,GOT2,0.18549362818400006
GSE234465|OS,GPI,0.3812588055928545
GSE234465|OS,GPX4,0.32074562708536813
GSE234465|OS,GRPEL1,-0.011845747629801728
GSE234465|OS,HADHA,0.058389504750570254
GSE234465|OS,HADHB,-0.06828467051188092
GSE234465|OS,HCCS,-0.35687390963236476
GSE234465|OS,HSD17B10,0.11839850743611713
GSE234465|OS,HSPA9,0.17260917027791312
GSE234465|OS,HTRA2,0.025417089462280273
GSE234465|OS,IDH1,-0.24768376350402832
GSE234465|OS,IDH2,0.1505158742268886
GSE234465|OS,IDH3A,-0.12545641263326024
GSE234465|OS,IDH3B,0.3410628636678066
GSE234465|OS,IDH3G,0.20566431681315134
GSE234465|OS,IMMT,0.057458559672038056
GSE234465|OS,ISCU,-0.09299230575561523
GSE234465|OS,LDHA,0.4451573689778652
GSE234465|OS,LDHB,0.17579762140909772
GSE234465|OS,LRPPRC,-0.1684891382853193
GSE234465|OS,MAOB,-0.052311504880587265
GSE234465|OS,MDH1,0.07486724853515625
GSE234465|OS,MDH2,0.23100789388020804
GSE234465|OS,MFN2,0.18242327372233103
GSE234465|OS,MGST3,-0.11455464363098145
GSE234465|OS,MRPL11,-0.11713488896687796
GSE234465|OS,MRPL15,0.13009103139241507
GSE234465|OS,MRPL34,0.2149871190388999
GSE234465|OS,MRPL35,0.00441495577494333
GSE234465|OS,MRPS11,-0.08412830034891794
GSE234465|OS,MRPS12,-0.05239502588907863
GSE234465|OS,MRPS15,0.18334118525187204
GSE234465|OS,MRPS22,0.05723690986633301
GSE234465|OS,MRPS30,-0.19365374247233103
GSE234465|OS,MTRF1,-0.2758387724558511
GSE234465|OS,MTRR,-0.14621273676554347
GSE234465|OS,MTX2,-0.25801515579223633
GSE234465|OS,NDUFA1,0.15960089365641306
GSE234465|OS,NDUFA2,0.1053617795308428
GSE234465|OS,NDUFA3,0.0645143985748291
GSE234465|OS,NDUFA4,-0.09664726257324219
GSE234465|OS,NDUFA5,-0.49709479014078806
GSE234465|OS,NDUFA6,0.23637851079305072
GSE234465|OS,NDUFA7,-0.021114826202392578
GSE234465|OS,NDUFA8,0.131104151407877
GSE234465|OS,NDUFA9,0.2770684560139971
GSE234465|OS,NDUFAB1,-0.2371511459350586
GSE234465|OS,NDUFB1,-0.06539312998453761
GSE234465|OS,NDUFB2,-0.08279474576314305
GSE234465|OS,NDUFB3,-0.17820517222086574
GSE234465|OS,NDUFB4,0.318858464558919
GSE234465|OS,NDUFB5,-0.023349285125732422
GSE234465|OS,NDUFB6,0.18589385350545307
GSE234465|OS,NDUFB7,0.44889275232950876
GSE234465|OS,NDUFB8,0.239198525746664
GSE234465|OS,NDUFC1,0.15013782183329294
GSE234465|OS,NDUFC2,0.10926802953084369
GSE234465|OS,NDUFS1,0.07639726003011038
GSE234465|OS,NDUFS2,-0.03201738993326764
GSE234465|OS,NDUFS3,0.199341456095377
GSE234465|OS,NDUFS4,0.011030515034994082
GSE234465|OS,NDUFS6,0.1336797078450518
GSE234465|OS,NDUFS7,0.45618391036987305
GSE234465|OS,NDUFS8,0.42739248275756836
GSE234465|OS,NDUFV1,0.13276290893554688
GSE234465|OS,NDUFV2,0.13991483052571585
GSE234465|OS,NQO2,0.22610990206400583
GSE234465|OS,OAT,-0.22169931729634573
GSE234465|OS,OGDH,0.2781050999959307
GSE234465|OS,OPA1,-0.3491117159525552
GSE234465|OS,OXA1L,0.43656380971272846
GSE234465|OS,PDHA1,-0.23802995681762695
GSE234465|OS,PDHB,-0.05855909983317087
GSE234465|OS,PDHX,-0.10341914494832327
GSE234465|OS,PDK4,-1.7843336462974548
GSE234465|OS,PDP1,0.10012205441792821
GSE234465|OS,PHB2,0.23689031600952148
GSE234465|OS,PHYH,0.17495552698771188
GSE234465|OS,PMPCA,0.01625267664591412
GSE234465|OS,POLR2F,0.04710237185160304
GSE234465|OS,POR,0.3470600446065264
GSE234465|OS,PRDX3,-0.21187861760457416
GSE234465|OS,RETSAT,-0.4203378359476728
GSE234465|OS,RHOT1,-0.11456131935119629
GSE234465|OS,RHOT2,0.05503018697102835
GSE234465|OS,SDHA,0.4902512232462568
GSE234465|OS,SDHB,0.17774152755737305
GSE234465|OS,SDHC,-0.10976235071818063
GSE234465|OS,SDHD,0.1566009521484375
GSE234465|OS,SLC25A11,0.24307998021443655
GSE234465|OS,SLC25A12,0.0523918469746909
GSE234465|OS,SLC25A20,-0.5098918279012041
GSE234465|OS,SLC25A3,0.1160888671875
GSE234465|OS,SLC25A4,0.43441232045491507
GSE234465|OS,SLC25A5,0.44890944163004587
GSE234465|OS,SUCLA2,-0.32505194346110056
GSE234465|OS,SUCLG1,0.011979103088378906
GSE234465|OS,SUPV3L1,-0.0018721421559653173
GSE234465|OS,SURF1,0.21356646219889264
GSE234465|OS,TCIRG1,0.11435596148173
GSE234465|OS,TIMM10,0.1726752122243247
GSE234465|OS,TIMM13,0.08309745788574219
