contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.16343072576767667,0.04808986067528953,0.012127347269483314,-3.2576808141800605e-05,0.07797054924888601,0.22478725916207748,1.0,0.6630434782608695,0.16343072576767667
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.26009241315661563,0.0492559485953219,0.01329343518951568,0.0012391258006720733,0.15059158596310374,0.3177218701457235,1.0,0.7007299270072993,0.26009241315661563
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.014435090985467547,-0.010365986340401534,-0.04632849974620775,0.0007569504425435728,-0.05899806127045084,0.014659298206458282,0.6666666666666666,0.4842105263157895,-0.017566952182406875
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.22533699155405484,0.035868810148897534,-9.370325690868236e-05,-0.0005066202853120464,0.114763412851384,0.31251030404173086,1.0,0.6764705882352942,0.22533699155405484
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.19362674157460827,0.061132926749953,0.025170413344146783,0.003957176247857778,0.098186759851748,0.27947932761864147,1.0,0.655367231638418,0.19362674157460827
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,-0.42185036340455984,-0.07696304753106926,-0.11292556093687547,-0.0075393388964197965,-0.503872804740437,-0.33916725758865046,1.0,0.791907514450867,-0.42185036340455984
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.17929811255488012,0.07850550013509665,0.04254298672929043,0.007494295121677226,0.05587192224060098,0.2784374375568359,1.0,0.6136363636363636,0.17929811255488012
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.2896761450807434,0.08597425144419457,0.050011738038388355,0.007759179488493195,0.21458076814191568,0.3767467960185721,1.0,0.6827956989247311,0.2896761450807434
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.3821247246686797,0.07431671698138402,0.038354203575577804,0.003964736258577313,0.28428899858686785,0.46490156347235845,1.0,0.7452830188679245,0.3821247246686797
GSE113165|old,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.0850452624024966,-0.03452464371124142,-0.07048715711704764,-0.008155425599964608,-0.11954291506200174,-0.027213641919743264,1.0,0.5364583333333334,-0.0850452624024966
GSE113165|young,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.1182696305884547,0.06239979090574003,0.04575849541207281,0.005162000540888963,-0.10355621536231774,0.27217971619356635,0.8333333333333334,0.5978260869565217,0.1182696305884547
GSE113165|young,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.13550254374141535,-0.02281178236732795,-0.03945307786099517,-0.007905047019561203,-0.19404043324031428,-0.07637033369368502,1.0,0.5474452554744526,-0.13550254374141535
GSE113165|young,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.039353047237609205,-0.00871370218759567,-0.02535499768126289,-0.0011916288205957026,-0.10517990337592739,0.05176733603349524,0.6666666666666666,0.48947368421052634,-0.046673038176778814
GSE113165|young,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.01820891270005631,0.0007211362663047302,-0.01592015922736249,-0.0017155132743055617,-0.10610352071625569,0.05193745055907685,0.5,0.49019607843137253,-0.01820891270005631
GSE113165|young,GSE113165,human,skeletal muscle,bed_rest_analog,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.04013186463825841,0.009480317398597116,-0.007160978095070103,-0.003687563493273982,-0.0963122663378442,0.1584823197155028,0.6666666666666666,0.5423728813559322,0.04013186463825841
