contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift,passes_primary_checks,passes_primary_and_source_checks
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913044,0.915,ok,-0.5712907514949082,-0.2033304128582114,-0.0868001128619986,-0.0059555031862601,-0.701698229547399,-0.4730867976496028,1.0,0.6612021857923497,-0.5712907514949082,True,True
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,-0.2607087149523565,-0.0611073310892584,0.0554229689069543,0.0107424372402773,-0.4299388029148982,-0.0682379685006403,1.0,0.6058394160583942,-0.2607087149523565,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.5225073701664561,-0.1782944526453906,-0.0617641526491778,-0.007095023348157,-0.5923243170557222,-0.4960014931221608,1.0,0.6631578947368421,-0.5157021396425904,True,True
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,-0.356892382173255,-0.0653318856520202,0.0511984143441925,0.0146337740575077,-0.4983998813558769,-0.2621659298144711,1.0,0.6078431372549019,-0.356892382173255,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.3351658936876043,-0.1022574745799131,0.0142728254162995,0.0074349814693099,-0.4654544211957361,-0.2304635888749634,1.0,0.5480225988700564,-0.3351658936876043,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.2069646657884903,0.014708040163696,0.1312383401599088,0.0093767227848209,0.0058599512144728,0.374865553913174,1.0,0.5722543352601156,0.2069646657884903,True,True
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727272,0.8775510204081632,ok,0.0075317595999713,0.016250717143218,0.1327810171394308,0.0165414280834528,-0.0872942481584505,0.1469262765512805,0.3333333333333333,0.4883720930232558,0.0075317595999713,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.4101221781777859,-0.1174729383954495,-0.0009426383992368,0.002171978604966,-0.5742346612987339,-0.3037052692647082,1.0,0.6505376344086021,-0.4101221781777859,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.1187316068577121,-0.0123764790782008,0.1041538209180119,0.010489520658904,-0.2259132096185144,-0.0410464006656078,1.0,0.5471698113207547,-0.1187316068577121,False,False
GSE234465|OS,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,-0.6859778474126582,-0.1962438631801175,-0.0797135631839047,-0.0117732579477803,-0.7467382108685543,-0.6510565916338602,1.0,0.6875,-0.6859778474126582,True,True
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913044,0.915,ok,-0.7732240792788214,-0.3141067538474886,-0.2619923635033911,-0.0373302705959524,-0.9401592106952849,-0.6354469581586859,1.0,0.7650273224043715,-0.7732240792788214,True,True
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,0.1776487402192949,0.0259737821744523,0.0780881725185498,0.0087018692374449,-0.0289395726608536,0.2838228699635874,0.8333333333333334,0.5693430656934306,0.1776487402192949,False,False
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.2362384468663096,-0.0868277941180979,-0.0347134037740004,-0.004168303761319,-0.4237155231270019,-0.1235105176031854,1.0,0.6368421052631579,-0.2325876551063746,True,True
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,-0.0511161234579038,-0.0249160122053293,0.0271983781387681,0.0039100399359056,-0.2066029047225281,0.1106046495311179,0.6666666666666666,0.5098039215686274,-0.0511161234579038,False,False
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.4191501991436955,-0.1199316502269882,-0.0678172598828907,-0.0092994964882572,-0.4864903107745576,-0.3168392753053112,1.0,0.5932203389830508,-0.4191501991436955,True,True
