training_pool,id,sample_index,label,reference
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM
YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM
YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM
YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM
YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM
YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM
YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM
YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM
OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM
OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM
OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM
OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM
OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM
OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM
OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM
OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM
OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM
