model,training_pool,id,k,top_signed_movement,random_signed_median,random_fraction_less_than_top,top_absolute_change,random_absolute_median,top_fraction_of_reference_gap,random_fraction_of_reference_gap
bridge,OS,GSE298393:GSM9013395,25,2.044516903718886,0.0384293864055961,1.0,2.044516903718886,0.0465011779185715,0.3514586224659175,0.006606127434678494
bridge,OS,GSE298393:GSM9013395,100,1.847792856446631,0.0431809291312674,1.0,1.847792856446631,0.0573166199828847,0.31764116537643905,0.007422931960928574
bridge,OS,GSE298393:GSM9013396,25,0.345660774456519,0.0132101718651255,1.0,0.345660774456519,0.0572420161340687,0.060010541942061915,0.0022934322646831914
bridge,OS,GSE298393:GSM9013396,100,1.6795309971328152,0.0628645129526148,1.0,1.6795309971328152,0.0628645129526148,0.2915851979586139,0.010913976273824313
bridge,OS,GSE298393:GSM9013397,25,1.0723838064423037,0.0101805870219776,1.0,1.0723838064423037,0.0368861569414774,0.41787612086791903,0.003967072411337428
bridge,OS,GSE298393:GSM9013397,100,1.7474993002927022,0.0452314386254783,1.0,1.7474993002927022,0.0710348566981337,0.680948578707399,0.017625348313301994
bridge,OS,GSE298393:GSM9013404,25,2.9434572620132258,0.008857174216132,1.0,2.9434572620132258,0.0714654760973871,0.20130330909838445,0.000605742947919945
bridge,OS,GSE298393:GSM9013404,100,5.535285241929387,0.1077664908109454,1.0,5.535285241929387,0.1123187205200792,0.3785586597040356,0.007370160080165783
bridge,OS,GSE298393:GSM9013405,25,2.24252643551813,0.0666492904039159,1.0,2.24252643551813,0.0786642424317278,0.1734504605850031,0.005155056339637688
bridge,OS,GSE298393:GSM9013405,100,5.470832197041773,0.1003059222441606,1.0,5.470832197041773,0.1226345742722969,0.42314701371219954,0.007758262349595615
bridge,OS,GSE298393:GSM9013406,25,1.8311521090583935,-0.0045179604917393,1.0,1.8311521090583935,0.0542989291803905,0.10529198298012964,-0.00025978454594125845
bridge,OS,GSE298393:GSM9013406,100,5.446750664095589,0.1261950686480303,1.0,5.446750664095589,0.137428355410293,0.31319035452268607,0.007256267218072476
bridge,YA,GSE298393:GSM9013398,25,1.2903687836246718,0.0134347599274633,1.0,1.2903687836246718,0.0469176948820404,0.5930355776844521,0.006174429136649483
