training_pool,id,sample_index,label,reference,logit,reference_logit,logit_difference,attribution_sum,completeness_residual,relative_L1_change,quadrature_steps,passed
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,-8.00115624882028,-5.8252854711124655,-2.1758707777078143,-2.175940143566476,-6.936585866146316e-05,9.81174972689513e-07,16,True
YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,-8.00115624882028,0.578058347870865,-8.579214596691145,-8.579268228264212,-5.36315730670367e-05,9.94121043474169e-07,16,True
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,-7.9395265200616905,-5.8252854711124655,-2.114241048949225,-2.1142407370826315,3.1186659343873657e-07,1.044494808511658e-06,16,True
YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,-7.9395265200616905,0.578058347870865,-8.517584867932555,-8.517572003788427,1.2864144128599264e-05,1.0102418658912618e-06,16,True
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,-6.589320700087228,-5.8252854711124655,-0.7640352289747625,-0.7640121118379645,2.3117136798034288e-05,1.001319496401803e-06,16,True
YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,-6.589320700087228,0.578058347870865,-7.167379047958093,-7.167338504516806,4.0543441286899906e-05,9.651651747963964e-07,16,True
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,5.627726680844717,-5.8252854711124655,11.453012151957182,11.453028922017698,1.6770060515369778e-05,9.758997413205366e-07,16,True
YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,5.627726680844717,0.578058347870865,5.049668332973852,5.049704230684727,3.589771087497695e-05,9.81563021541017e-07,16,True
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,4.17448563083849,-5.8252854711124655,9.999771101950955,9.999793203236155,2.2101285200193388e-05,1.016292244154526e-06,16,True
YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,4.17448563083849,0.578058347870865,3.5964272829676247,3.596469942562567,4.265959494231808e-05,9.76296948769e-07,16,True
YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,5.029497020792178,-5.8252854711124655,10.854782491904643,10.854784279091227,1.7871865836127654e-06,9.907941498314657e-07,16,True
YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,5.029497020792178,0.578058347870865,4.451438672921313,4.451457288749481,1.861582816786722e-05,1.0213089939427042e-06,16,True
OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,-0.8235112164181828,-6.640744805322811,5.817233588904628,5.817241600976871,8.012072242991053e-06,9.791363259295687e-07,16,True
OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,-0.8235112164181828,0.47845075370196355,-1.3019619701201464,-1.301942841390206,1.9128729940254274e-05,1.0417544461148683e-06,16,True
OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,-0.8807439243068984,-6.640744805322811,5.7600008810159125,5.759976650606994,-2.4230408918413104e-05,1.0103823057494359e-06,16,True
OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,-0.8807439243068984,0.47845075370196355,-1.359194678008862,-1.3592039579153852,-9.279906523218528e-06,9.735820412195027e-07,16,True
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,-4.074472762270943,-6.640744805322811,2.5662720430518675,2.5662310043871677,-4.103866469984396e-05,9.929729719135343e-07,16,True
OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,-4.074472762270943,0.47845075370196355,-4.552923515972907,-4.552949967552711,-2.6451579803854486e-05,1.0114648628502015e-06,16,True
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,7.981256567613627,-6.640744805322811,14.622001372936438,14.62199005987811,-1.1313058328354941e-05,1.0362060333386276e-06,16,True
OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,7.981256567613627,0.47845075370196355,7.502805813911664,7.5028059788999855,1.6498832167144428e-07,9.706139018360493e-07,16,True
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,6.288171197290694,-6.640744805322811,12.928916002613505,12.928890287637673,-2.5714975832258347e-05,1.0163528331642524e-06,16,True
OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,6.288171197290694,0.47845075370196355,5.809720443588731,5.809706856687873,-1.358690085773162e-05,9.626030591181654e-07,16,True
OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,10.750437858640908,-6.640744805322811,17.39118266396372,17.39116047490712,-2.2189056597454737e-05,1.017403213340085e-06,16,True
OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,10.750437858640908,0.47845075370196355,10.271987104938944,10.271977409796275,-9.695142669130519e-06,9.614423439381919e-07,16,True
