model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,OS,training_all_mean_TPM,TNF-alpha Signaling via NF-kB,183,0.08620400954145954,0.0061874026024311525,0.018923197006354038,0.546448087431694
bridge,OS,training_all_mean_TPM,Hypoxia,184,0.3543320809853279,0.00739087231704413,0.022727337851417388,0.5163043478260869
bridge,OS,training_all_mean_TPM,Cholesterol Homeostasis,70,-0.0005768109420160421,0.004307185997859064,0.005038795255627222,0.5285714285714286
bridge,OS,training_all_mean_TPM,Mitotic Spindle,196,-0.044465144756385536,0.0042595032451947686,0.013952436999673684,0.49489795918367346
bridge,OS,training_all_mean_TPM,Wnt-beta Catenin Signaling,40,0.0592400728215557,0.002971915039932607,0.001986696041821808,0.575
bridge,OS,training_all_mean_TPM,TGF-beta Signaling,50,0.15048037441827028,0.004606897758817399,0.003849582432346313,0.64
bridge,OS,training_all_mean_TPM,IL-6/JAK/STAT3 Signaling,71,0.06001805169280989,0.004142081946204798,0.00491487051679429,0.5492957746478874
bridge,OS,training_all_mean_TPM,DNA Repair,136,-0.12986823994599916,0.004556521382538405,0.010356365431045627,0.5514705882352942
bridge,OS,training_all_mean_TPM,G2-M Checkpoint,184,-0.061591846333719245,0.0038498542744099117,0.011838513103718524,0.5108695652173914
bridge,OS,training_all_mean_TPM,Apoptosis,147,0.23351859289211693,0.0084326607155674,0.020716529710296794,0.5578231292517006
bridge,OS,training_all_mean_TPM,Notch Signaling,32,0.0216114089875472,0.0020516425746915285,0.0010972023432985333,0.5625
bridge,OS,training_all_mean_TPM,Adipogenesis,189,0.48560372151333075,0.0053509889932652896,0.01690172017346541,0.6137566137566137
bridge,OS,training_all_mean_TPM,Estrogen Response Early,190,0.5174919062097072,0.005645243067986463,0.0179255005816347,0.5526315789473685
bridge,OS,training_all_mean_TPM,Estrogen Response Late,185,0.24893331842954813,0.004760848291679706,0.014719434194749092,0.5459459459459459
bridge,OS,training_all_mean_TPM,Androgen Response,93,-0.005090039028471721,0.004237900561551141,0.006586713236305087,0.4838709677419355
bridge,OS,training_all_mean_TPM,Myogenesis,190,0.5833286919692069,0.010280723856373021,0.032644674329810844,0.5842105263157895
bridge,OS,training_all_mean_TPM,Protein Secretion,92,-0.0128627454769195,0.0033439456045996933,0.005141408094497706,0.5
bridge,OS,training_all_mean_TPM,Interferon Alpha Response,71,0.09268430848199073,0.0031754286940325884,0.0037678686875770736,0.6197183098591549
bridge,OS,training_all_mean_TPM,Interferon Gamma Response,154,-0.08817110745721979,0.006515891535549221,0.016769866780310526,0.5714285714285714
bridge,OS,training_all_mean_TPM,Apical Junction,188,0.2587129214813309,0.006719081043983578,0.02111070680567122,0.5478723404255319
bridge,OS,training_all_mean_TPM,Apical Surface,44,0.03759909653792726,0.005412486546076714,0.003980013559715711,0.6136363636363636
bridge,OS,training_all_mean_TPM,Hedgehog Signaling,36,-0.041806305576632896,0.008524483041445067,0.005128679938865304,0.5555555555555556
bridge,OS,training_all_mean_TPM,Complement,169,-0.1467345453658099,0.004893836766471206,0.013822010845235625,0.5325443786982249
bridge,OS,training_all_mean_TPM,Unfolded Protein Response,102,0.06308269764321453,0.0037650038774547047,0.0064180137758679786,0.6274509803921569
bridge,OS,training_all_mean_TPM,PI3K/AKT/mTOR  Signaling,101,-0.1262245324155656,0.005965104833934839,0.01006872547114285,0.6336633663366337
bridge,OS,training_all_mean_TPM,mTORC1 Signaling,179,-0.20965125169428114,0.00566843426637247,0.016957084763976418,0.4972067039106145
bridge,OS,training_all_mean_TPM,E2F Targets,189,-0.032123717423333434,0.004067616786502091,0.012848040013701536,0.5291005291005291
