training_pool,id,k,original,TPM_renormalized,same_sign
OS,GSE298393:GSM9013395,25,2.044516903718886,2.2433341617106635,True
OS,GSE298393:GSM9013395,100,1.847792856446631,1.628225637944979,True
OS,GSE298393:GSM9013396,25,0.345660774456519,0.2305554159099756,True
OS,GSE298393:GSM9013396,100,1.6795309971328152,1.4634780776302705,True
OS,GSE298393:GSM9013397,25,1.0723838064423037,1.119593531224382,True
OS,GSE298393:GSM9013397,100,1.7474993002927022,1.7100209413169978,True
OS,GSE298393:GSM9013404,25,2.9434572620132258,2.7813819961374975,True
OS,GSE298393:GSM9013404,100,5.535285241929387,5.036794055100245,True
OS,GSE298393:GSM9013405,25,2.24252643551813,2.104421611267071,True
OS,GSE298393:GSM9013405,100,5.470832197041773,5.242250889535853,True
OS,GSE298393:GSM9013406,25,1.8311521090583935,1.7028109190002851,True
OS,GSE298393:GSM9013406,100,5.446750664095589,4.938453654227487,True
YA,GSE298393:GSM9013398,25,1.2903687836246718,1.2397096640704603,True
YA,GSE298393:GSM9013398,100,1.322365878251503,1.0086795797444663,True
YA,GSE298393:GSM9013399,25,2.131522292533191,2.1060964586417867,True
YA,GSE298393:GSM9013399,100,2.440359180111954,2.1762212741848543,True
YA,GSE298393:GSM9013400,25,0.662226386612474,0.6558369388123992,True
YA,GSE298393:GSM9013400,100,1.4458680141181048,1.460516517769065,True
YA,GSE298393:GSM9013410,25,3.892036864871216,3.999170431632819,True
YA,GSE298393:GSM9013410,100,4.833624290748958,4.926808871116691,True
YA,GSE298393:GSM9013411,25,3.6253047035158943,3.742186385007244,True
YA,GSE298393:GSM9013411,100,5.801360661179842,5.945041438736098,True
YA,GSE298393:GSM9013412,25,2.650595455198072,2.825302128744852,True
YA,GSE298393:GSM9013412,100,4.677369566067682,4.9661864615950435,True
