gene,model_response_contribution,gene_name,OS_flight_minus_ground_log1pTPM,YA_flight_minus_ground_log1pTPM
MUSK,0.5070885711932891,muscle associated receptor tyrosine kinase,0.720334529876709,0.24311614036560059
USF1,0.5045753265652431,upstream transcription factor 1,0.2921886444091797,0.22368764877319336
SETD7,0.501697171304623,"SET domain containing 7, histone lysine methyltransferase",0.7100300788879395,0.42365121841430664
BGN,0.371255127912649,biglycan,-2.1937255859375,-2.1627519130706787
RGS14,0.2790665525371835,regulator of G protein signaling 14,0.3090395927429199,0.2899138927459717
HNRNPR,0.2449940970486032,heterogeneous nuclear ribonucleoprotein R,0.34189462661743164,0.18858575820922852
FBXO4,0.232131120840868,F-box protein 4,0.27027785778045654,0.4865802526473999
ADIPOR1,-0.2290863876625695,adiponectin receptor 1,0.3545413017272949,0.29900169372558594
ITGA7,0.2180852388459307,integrin subunit alpha 7,0.5744829177856445,0.5181150436401367
DPM1,0.1735382154299962,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",0.3289501667022705,0.3995184898376465
PRPF19,0.1704653608390617,pre-mRNA processing factor 19,0.30970335006713867,0.11392784118652344
WSCD1,0.1686398396745418,WSC domain sialate O sulfotransferase 1,0.35944223403930664,0.6156840324401855
TEAD4,-0.1650125800343891,TEA domain transcription factor 4,0.288754940032959,0.10477352142333984
GTPBP4,-0.1580830338596001,GTP binding protein 4,0.4526667594909668,0.2638070583343506
CAP2,0.1560760287877894,cyclase associated actin cytoskeleton regulatory protein 2,0.5788702964782715,0.43345117568969727
SLC25A4,-0.1473802985772732,solute carrier family 25 member 4,0.21132659912109375,0.37477970123291016
OLFML2A,0.1471721870209949,olfactomedin like 2A,0.5809097290039062,0.26366329193115234
MYOZ2,0.1440163118438675,myozenin 2,0.5404233932495117,0.5668659210205078
HSPB3,0.1430231361509069,heat shock protein family B (small) member 3,0.347348690032959,0.5419759750366211
LRRC20,0.1398056696584776,leucine rich repeat containing 20,0.43843579292297363,0.3458364009857178
FNDC5,0.1383251138660009,fibronectin type III domain containing 5,0.49222230911254883,0.516301155090332
ICAM1,0.1344658753802202,intercellular adhesion molecule 1,-0.8946137428283691,-1.1511549949645996
TMEM119,0.1327287604175053,transmembrane protein 119,-1.0833383798599243,-1.3191943168640137
SDHAF2,0.1215764761831682,succinate dehydrogenase complex assembly factor 2,0.09359979629516602,0.12989521026611328
RDH5,0.1179907095265658,retinol dehydrogenase 5,1.248063087463379,1.371427297592163
PCBP4,0.1157206294120446,poly(rC) binding protein 4,0.5332117080688477,0.4959573745727539
CADM2,0.112029788401492,cell adhesion molecule 2,1.0320065021514893,0.7518737316131592
NEB,-0.1078112627541633,nebulin,-0.5290336608886719,-0.7309355735778809
GLRX5,0.1042348954969181,glutaredoxin 5,0.258176326751709,0.23534727096557617
UBE2A,-0.1039445867518567,ubiquitin conjugating enzyme E2 A,0.13571643829345703,0.20420217514038086
ETV5,-0.1036518984874474,ETS variant transcription factor 5,0.4690399169921875,0.4730372428894043
JRK,0.1035155203871994,Jrk helix-turn-helix protein,0.2308495044708252,0.2597233057022095
LRP11,0.1032256130056796,LDL receptor related protein 11,0.3188936710357666,0.30262744426727295
SEPTIN9,0.1021345429442045,septin 9,0.35080957412719727,0.2797098159790039
LAMB2,-0.1018478693283722,laminin subunit beta 2,-0.31174182891845703,-0.26653528213500977
PFN2,0.1016283502030791,profilin 2,0.3570733070373535,0.46923303604125977
EEF1AKMT3,0.101608819104692,EEF1A lysine methyltransferase 3,0.18478161096572876,0.23531198501586914
UXS1,0.1003443343491999,UDP-glucuronate decarboxylase 1,0.4204745292663574,0.38717007637023926
ZFAND6,-0.0962227794242294,zinc finger AN1-type containing 6,0.6068353652954102,0.5916309356689453
USE1,0.0945984139680417,unconventional SNARE in the ER 1,-0.17199039459228516,-0.1277022361755371
BCAS1,0.0934822645908273,brain enriched myelin associated protein 1,0.9630181789398193,0.4932987689971924
ZNF25,0.0924026308735883,zinc finger protein 25,0.4318103790283203,0.2533094882965088
FGF9,-0.0893601702039381,fibroblast growth factor 9,-0.3468434810638428,-0.37366437911987305
PKIA,0.0834049392945253,cAMP-dependent protein kinase inhibitor alpha,0.298372745513916,0.21939945220947266
