id,study,contrast,tissue,material,species,setting,condition,condition_name,unit,stratum,sample,source_file,source_kind,split,study_exposure,title,source_column,label
GSE234465:GSM7469191,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-YA-NOES-1,YA,GSM7469191,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-YA-NOES-1,,0
GSE234465:GSM7469192,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-YA-NOES-2,YA,GSM7469192,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-YA-NOES-2,,0
GSE234465:GSM7469193,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-YA-NOES-3,YA,GSM7469193,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-YA-NOES-3,,0
GSE234465:GSM7469194,GSE234465,GSE234465|OS,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-OS-NOES-1,OS,GSM7469194,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-OS-NOES-1,,0
GSE234465:GSM7469195,GSE234465,GSE234465|OS,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-OS-NOES-2,OS,GSM7469195,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-OS-NOES-2,,0
GSE234465:GSM7469196,GSE234465,GSE234465|OS,skeletal muscle,human muscle chip,human,actual_flight,0,control,GC-OS-NOES-3,OS,GSM7469196,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,GC-OS-NOES-3,,0
GSE234465:GSM7469197,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,1,exposed,YA-NOES-1,YA,GSM7469197,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,YA-NOES-1,,1
GSE234465:GSM7469198,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,1,exposed,YA-NOES-2,YA,GSM7469198,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,YA-NOES-2,,1
GSE234465:GSM7469199,GSE234465,GSE234465|YA,skeletal muscle,human muscle chip,human,actual_flight,1,exposed,YA-NOES-3,YA,GSM7469199,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,YA-NOES-3,,1
GSE234465:GSM7469200,GSE234465,GSE234465|OS,skeletal muscle,human muscle chip,human,actual_flight,1,exposed,OS-NOES-1,OS,GSM7469200,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,OS-NOES-1,,1
GSE234465:GSM7469201,GSE234465,GSE234465|OS,skeletal muscle,human muscle chip,human,actual_flight,1,exposed,OS-NOES-2,OS,GSM7469201,GSE234465_estimated-counts.txt.gz,human_muscle_counts,unseen,unseen_study,OS-NOES-2,,1
