training_study,gene,train_weight_times_effect,test_weight_times_effect,train_effect_log1pTPM,test_effect_log1pTPM
GSE234465,A1CF,0.001530219588169269,0.0003894436621206076,-0.0968998062113921,-0.024661176527539894
GSE234465,A2M,9.109142721891392e-05,-0.0021059705542966402,0.041414499282836914,-0.9574744701385498
GSE234465,A3GALT2,0.0,0.0,0.0,0.0
GSE234465,A4GALT,0.0003115997101801539,0.000871883942296609,-0.07473886013031006,-0.20912603537241647
GSE234465,A4GNT,0.0004708930354136734,0.0003728807347049462,0.009993271281321842,0.007913258547584215
GSE234465,AAAS,0.0026033229833661337,0.0030744758109508604,0.17798642317454005,0.21019864082336426
GSE234465,AACS,0.002907411168269761,-0.003391199227578152,-0.3206749757130942,0.3740347226460774
GSE234465,AADAC,0.0,0.0,0.0,0.0
GSE234465,AADACL2,0.0,0.0,0.0,0.0
GSE234465,AADACL3,0.0,-0.0,0.0,-0.0024258888637026152
GSE234465,AADAT,0.0013871879241803713,-4.9776937729538977e-05,-0.39394190410772956,0.014135951797167423
GSE234465,AAGAB,-1.711046045240854e-05,0.00016363631771914165,-0.04113598664601659,0.3934050401051836
GSE234465,AAK1,0.002045205916272291,0.0021674386964352665,-0.2854230006535845,-0.30248145262400294
GSE234465,AAMDC,0.0019314338713523438,0.0007345677154853626,-0.31430546442667673,-0.1195374329884844
GSE234465,AAMP,0.001504028189446158,0.0036330203015283186,0.11464413007100395,0.27692596117655466
GSE234465,AANAT,0.0007359983836166101,0.0002251471437254759,-0.1405692274371783,-0.04300112711886564
GSE234465,AAR2,0.00013125182453108014,-0.0004818893323019676,-0.031750241915385224,0.11657059192657471
GSE234465,AARD,0.000606448365913821,-0.0003683584241074885,0.159926059966286,-0.09713953360915181
GSE234465,AARS2,0.0003874573764107726,-0.0020523024447599908,-0.04106674591700221,0.21752427021662377
GSE234465,AARSD1,0.0016819311617996642,-0.0009996576455290214,0.08902561664581343,-0.05291247367858886
GSE234465,AASDH,0.002769393213332104,-0.0018886299006002116,-0.3497851093610129,0.23854128519694015
GSE234465,AASDHPPT,0.003683676375864009,-0.0041103513392065655,-0.41261490186055516,0.46040749549865717
GSE234465,AASS,0.002610615476545205,-0.0009588875208420181,-0.4755177299181621,0.17465920249621078
GSE234465,AATF,0.00019058472816194672,-6.119843796462489e-05,0.030522704124450684,-0.009801109631856429
GSE234465,AATK,2.2067306595926155e-05,-0.0001259477382496473,-0.020548826704422648,0.11728111157814662
GSE234465,ABAT,0.002286554147922207,-0.00016690559505486345,-0.350450798869133,0.02558093766371411
GSE234465,ABCA1,0.00015058241625725118,-6.702524233011045e-05,0.06452347834905003,-0.028719832499821907
GSE234465,ABCA12,0.0008201801560641092,-0.0005088175970847369,0.0077615367869536085,-0.0048150476068258286
GSE234465,ABCA13,1.1925793888874562e-05,-0.00016670125216459132,0.006204611311356231,-0.08672936027869582
GSE234465,ABCA2,0.00010050925436563623,3.583009385631537e-05,0.03762189547220851,0.013411660989125718
GSE234465,ABCA3,0.0012379553846857637,-7.480126865843375e-05,-0.21170123418172215,0.012791673342386733
GSE234465,ABCA4,0.0019531178731286435,-0.0007289295886339353,-0.5813469439744949,0.21696641792853674
GSE234465,ABCA5,0.0021245327468382333,0.0003223871144314372,-0.30895113945007324,-0.04688177506128954
GSE234465,ABCA6,0.002047911984793256,0.00034259938425688094,-0.3256514444947243,-0.0544788961609205
GSE234465,ABCA7,0.0016942439903832231,-0.00027743413027535746,0.192964275677999,-0.03159809112548828
GSE234465,ABCA8,0.0019284532035284928,-0.00023520189502521932,-0.635180835922559,0.07746920486291253
GSE234465,ABCA9,0.0005402297168584123,-0.00029622073869941477,-0.08531338876734178,0.04677935006717839
GSE234465,ABCB10,0.0011157919541376256,-0.000512987979889092,-0.1494152545928955,0.0686940153439839
GSE234465,ABCB11,0.0,0.0,0.0,0.0
GSE234465,ABCB4,0.0019505272236790547,-0.0014632031879767637,0.13345034917195636,-0.10010881877193849
GSE234465,ABCB5,0.0004280879258797995,-0.0006722363130242722,-0.0503583699464798,0.07907890621572732
GSE234465,ABCB6,0.001736458531477184,0.0013129401686257762,0.1384422381718955,0.10467648506164551
GSE234465,ABCB7,0.0012574484721000459,0.001826676888412704,0.14673928419748927,0.2131659984588623
GSE234465,ABCB8,1.865635418492454e-05,-3.788804353711214e-05,-0.03727074464162161,0.0756908655166626
GSE234465,ABCB9,0.00019322828908919807,0.0003714864641027484,0.14246675372123718,0.273896078268687
GSE234465,ABCC1,0.0015698667746233774,-0.00011875034782990523,-0.40689156452814745,0.030778735876083374
GSE234465,ABCC10,4.941766120441963e-05,1.0600728643260683e-05,-0.03774547576904297,-0.008096893628438462
GSE234465,ABCC12,0.00016079562607292986,-0.0018407711727748694,-0.054287436107794435,0.6214767768979073
GSE234465,ABCC2,0.0005577845994111738,-3.5185567029561816e-05,-0.03384070346752803,0.002134702789286763
GSE234465,ABCC3,0.00032544889320773926,7.861417163000294e-05,-0.21069062501192093,-0.05089360972245537
GSE234465,ABCC4,0.0013823059409543178,-0.0021678055018386935,-0.22476905584335327,0.3524947563807168
GSE234465,ABCC5,0.001983519969422884,0.0014723599117197766,-0.23898955186208057,-0.17740110556284594
GSE234465,ABCC6,0.0013447362474710517,7.673152355836483e-05,-0.12766711600124836,-0.0072847685466210085
GSE234465,ABCC8,0.0003429019096165198,0.00019985049331074586,0.15289225243031979,0.08910884195938706
GSE234465,ABCC9,0.00038829926131299884,0.001911192667321458,0.08378859361012791,0.41240394115448
GSE234465,ABCD1,0.0031728789794791363,-0.002049579219086918,0.2745817502339678,-0.17737110455830907
GSE234465,ABCD2,0.00030520507267259897,0.0002746632332255502,0.01227247032026449,0.011044365509102745
GSE234465,ABCD3,0.002857606638477646,-0.0028138749490310257,-0.4598355690638223,0.45279842615127563
GSE234465,ABCD4,0.003211858446999852,-0.003602369627413246,-0.3672499656677246,0.41190175215403246
GSE234465,ABCE1,0.0032611205203187674,-0.004468162997393026,-0.33041958014170314,0.4527181784311933
GSE234465,ABCF1,0.0022233242438335437,0.0011114737740000893,0.09991033871968556,0.04994670550028424
GSE234465,ABCF2,0.0005019253407953973,-0.0007834684967575977,-0.09292964140574123,0.1450563271840415
GSE234465,ABCF3,0.0030290091923449976,-0.0031004673243611273,0.1298650105794268,-0.1329286893208823
GSE234465,ABCG1,0.002646264607105387,1.7580023350334928e-05,0.8969733615716298,0.005958894888560052
GSE234465,ABCG4,0.0012035528382394322,0.0002575908166401189,0.05964595017333825,0.012765745321909591
GSE234465,ABCG5,0.0005772192391467774,-0.0005541089859389392,-0.0027805150796969737,0.002669190987944603
GSE234465,ABCG8,0.0,0.0,0.0,0.0
GSE234465,ABHD1,0.0007462104940244826,-8.002551766497726e-05,0.11935403322180112,-0.012799831107258797
GSE234465,ABHD10,0.0010276040902460078,-0.0019330086999442358,-0.19513229529062937,0.3670600652694702
GSE234465,ABHD11,0.0005986747878340132,-0.0010632603319808477,-0.12838735183080008,0.2280189196268718
GSE234465,ABHD12,-7.437727100509328e-06,-1.5535486971688227e-05,-0.01053444544474269,-0.02200373013814305
GSE234465,ABHD12B,0.0007067473366775892,-0.0003637580739419036,-0.12864654138684276,0.06621350472172102
GSE234465,ABHD13,0.0010622800293760832,0.0003883013906705929,-0.14980818827946973,-0.0547602574030559
GSE234465,ABHD14A,0.001612313238350306,0.0005264859278073551,0.14102665583292628,0.04605094591776515
GSE234465,ABHD14B,0.002450815891980876,-0.0008553240011981596,0.242952267328898,-0.08478927612304686
