fold,variant,id,fraction_features_beyond_train_range,median_abs_train_z,max_abs_train_z
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013395,0.5035343859417322,1.6664852359660873,69.74552788157196
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013396,0.5037325758076237,1.6569889792036254,120.9402958007347
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013397,0.5228248662218405,1.7853413877279916,77.20205522414957
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013398,0.5507696373125455,1.9526817951115834,47.56356002991946
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013399,0.5602827508753385,2.0303167586278787,96.36354336067235
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013400,0.5278456761577591,1.8364825666952622,57.19613379342689
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013404,0.49435158882209157,1.6301666354853566,52.34566988748108
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013405,0.4858954878773865,1.5643969973706113,112.07179893060011
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013406,0.49177512056550177,1.6298052909649607,60.393283018282084
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013410,0.4759199312941798,1.5410683906444869,52.00573382980791
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013411,0.4782321463962476,1.545254059403248,51.41385691391207
GSE234465__to__GSE298393,original_expression,GSE298393:GSM9013412,0.5002312215102068,1.6451192243497355,47.73818354248256
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013395,0.66015625,2.465537534759996,23.79468784290375
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013396,0.619140625,2.3792308802292386,24.454209088594887
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013397,0.693359375,2.7334655940000747,20.730237235913844
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013398,0.8056640625,3.517470516102407,21.52391096046428
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013399,0.8212890625,3.630266421874931,20.561586755501008
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013400,0.7578125,2.9374649734718488,22.961761755751077
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013404,0.5927734375,2.1078079161009815,22.6361467035723
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013405,0.59765625,2.084284757550676,21.19921088648399
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013406,0.583984375,2.1550101805012547,22.554486138423812
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013410,0.5810546875,2.032451197241147,20.842809184299288
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013411,0.625,2.1584286188752255,20.544507350555552
GSE234465__to__GSE298393,original_bridge,GSE298393:GSM9013412,0.6357421875,2.1724047840858227,19.6666812542698
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013395,0.2956332166215234,0.9778134127713308,46.249676701530454
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013396,0.3318358987910418,1.0512047121430406,93.46540153185377
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013397,0.3451806830944044,1.1066170320306141,55.42277205352259
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013398,0.4210874017308582,1.3097389533585715,29.116956146316035
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013399,0.43654621127039706,1.3551530183340692,74.45804541358883
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013400,0.3753055427099161,1.1538876128037332,39.8847427898648
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013404,0.28499702715201164,0.9242273792830401,28.842303506593627
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013405,0.23835634537887296,0.8439835386761759,25.66055164762805
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013406,0.3118847856246284,0.9573747919951372,30.861499713223903
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013410,0.21972649798506969,0.797326009621187,20.90728633039146
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013411,0.21285591596749687,0.7987620116501011,56.50963676523559
GSE234465__to__GSE298393,FPKM_expression,GSE298393:GSM9013412,0.2730395719098897,0.9153743356262415,18.714025808478002
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013395,0.4794921875,1.5614497785186434,8.528345080838127
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013396,0.3642578125,1.237153712629362,12.013201487131647
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013397,0.6328125,2.009123658567879,8.185573327944262
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013398,0.7734375,3.252440803938609,9.713899753563801
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013399,0.7919921875,3.3203026007235454,9.88516034030322
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013400,0.71484375,2.4219662870798198,8.05523951840063
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013404,0.314453125,1.078922446610115,7.1842812398088505
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013405,0.2685546875,1.1426218799202839,5.640775598098795
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013406,0.2548828125,0.8681596453488218,11.059884243105417
GSE234465__to__GSE298393,FPKM_bridge_L12,GSE298393:GSM9013410,0.19921875,0.9596908788852423,5.9045057617970125
