fold,variant,evaluation,n_features,auroc,balanced_accuracy
GSE234465__to__GSE298393,original_expression,source_only_diagnostic,15137,0.0,0.5
GSE234465__to__GSE298393,original_bridge,source_only_diagnostic,1024,0.0,0.5
GSE234465__to__GSE298393,original_bridge_target_center,unlabeled_target_center_diagnostic,1024,0.0,0.0
GSE234465__to__GSE298393,original_expression_target_center,unlabeled_target_center_diagnostic,15137,0.0,0.16666666666666666
GSE234465__to__GSE298393,FPKM_expression,source_only_diagnostic,15137,0.0,0.5
GSE234465__to__GSE298393,FPKM_expression_no_scale,source_only_diagnostic,15137,0.0,0.5
GSE234465__to__GSE298393,FPKM_expression_SD_floor,source_only_diagnostic,15137,0.0,0.5
GSE234465__to__GSE298393,FPKM_expression_sample_rank,source_only_diagnostic,15137,0.0,0.5
GSE234465__to__GSE298393,FPKM_Hallmark50_expression,source_only_diagnostic,50,0.4444444444444445,0.5
GSE234465__to__GSE298393,FPKM_bridge_L1,source_only_diagnostic,1024,0.19444444444444442,0.5
GSE234465__to__GSE298393,FPKM_bridge_L6,source_only_diagnostic,1024,0.0,0.5
GSE234465__to__GSE298393,FPKM_bridge_L11,source_only_diagnostic,1024,0.0,0.5
GSE234465__to__GSE298393,FPKM_bridge_L12,source_only_diagnostic,1024,0.0,0.5
GSE234465__to__GSE298393,FPKM_bridge_L12_SD_floor,source_only_diagnostic,1024,0.02777777777777777,0.5
GSE234465__to__GSE298393,FPKM_bridge_L12_unit,source_only_diagnostic,1024,0.13888888888888887,0.5
GSE234465__to__GSE298393,FPKM_bridge_Hallmark50,source_only_diagnostic,51200,0.22222222222222224,0.5
GSE298393__to__GSE234465,original_expression,source_only_diagnostic,15137,0.0,0.5
GSE298393__to__GSE234465,original_bridge,source_only_diagnostic,1024,0.0,0.5
GSE298393__to__GSE234465,original_bridge_target_center,unlabeled_target_center_diagnostic,1024,0.0,0.08333333333333333
GSE298393__to__GSE234465,original_expression_target_center,unlabeled_target_center_diagnostic,15137,0.0,0.08333333333333333
GSE298393__to__GSE234465,FPKM_expression,source_only_diagnostic,15137,0.0,0.5
GSE298393__to__GSE234465,FPKM_expression_no_scale,source_only_diagnostic,15137,0.0,0.5
GSE298393__to__GSE234465,FPKM_expression_SD_floor,source_only_diagnostic,15137,0.0,0.5
GSE298393__to__GSE234465,FPKM_expression_sample_rank,source_only_diagnostic,15137,0.0,0.4166666666666667
GSE298393__to__GSE234465,FPKM_Hallmark50_expression,source_only_diagnostic,50,0.4444444444444444,0.5
GSE298393__to__GSE234465,FPKM_bridge_L1,source_only_diagnostic,1024,0.05555555555555554,0.5
GSE298393__to__GSE234465,FPKM_bridge_L6,source_only_diagnostic,1024,0.0,0.5
GSE298393__to__GSE234465,FPKM_bridge_L11,source_only_diagnostic,1024,0.0,0.5
GSE298393__to__GSE234465,FPKM_bridge_L12,source_only_diagnostic,1024,0.0,0.5
GSE298393__to__GSE234465,FPKM_bridge_L12_SD_floor,source_only_diagnostic,1024,0.0,0.5
GSE298393__to__GSE234465,FPKM_bridge_L12_unit,source_only_diagnostic,1024,0.02777777777777777,0.5
GSE298393__to__GSE234465,FPKM_bridge_Hallmark50,source_only_diagnostic,51200,0.08333333333333331,0.5
