fold,pool,variant,response_cosine
GSE234465__to__GSE298393,YA,original_expression,-0.18534292508976502
GSE234465__to__GSE298393,YA,FPKM_expression,-0.19226533714987884
GSE234465__to__GSE298393,YA,original_bridge,-0.6739194259955357
GSE234465__to__GSE298393,YA,FPKM_bridge_L12,-0.684651792049408
GSE234465__to__GSE298393,OS,original_expression,-0.40165156458679324
GSE234465__to__GSE298393,OS,FPKM_expression,-0.3759591148661329
GSE234465__to__GSE298393,OS,original_bridge,-0.9616231638411495
GSE234465__to__GSE298393,OS,FPKM_bridge_L12,-0.9515253901481628
GSE298393__to__GSE234465,YA,original_expression,-0.18534292508976502
GSE298393__to__GSE234465,YA,FPKM_expression,-0.19226533714987884
GSE298393__to__GSE234465,YA,original_bridge,-0.6739194259955357
GSE298393__to__GSE234465,YA,FPKM_bridge_L12,-0.684651792049408
GSE298393__to__GSE234465,OS,original_expression,-0.40165156458679324
GSE298393__to__GSE234465,OS,FPKM_expression,-0.3759591148661329
GSE298393__to__GSE234465,OS,original_bridge,-0.9616231638411495
GSE298393__to__GSE234465,OS,FPKM_bridge_L12,-0.9515253901481628
