variant,target_study,training_target_pool,approach,n_target_labeled,n_test,auroc,balanced_accuracy
expression,GSE234465,YA,source_only,0,6,0.0,0.5
expression,GSE234465,YA,target_pool_only,6,6,1.0,1.0
expression,GSE234465,YA,source_plus_target_pool,6,6,1.0,1.0
expression,GSE234465,OS,source_only,0,6,0.0,0.5
expression,GSE234465,OS,target_pool_only,6,6,1.0,1.0
expression,GSE234465,OS,source_plus_target_pool,6,6,1.0,1.0
expression,GSE298393,YA,source_only,0,6,0.0,0.5
expression,GSE298393,YA,target_pool_only,6,6,1.0,1.0
expression,GSE298393,YA,source_plus_target_pool,6,6,1.0,0.8333333333333333
expression,GSE298393,OS,source_only,0,6,0.0,0.5
expression,GSE298393,OS,target_pool_only,6,6,1.0,0.6666666666666666
expression,GSE298393,OS,source_plus_target_pool,6,6,1.0,0.8333333333333333
bridge,GSE234465,YA,source_only,0,6,0.0,0.5
bridge,GSE234465,YA,target_pool_only,6,6,1.0,0.8333333333333333
bridge,GSE234465,YA,source_plus_target_pool,6,6,1.0,0.6666666666666666
bridge,GSE234465,OS,source_only,0,6,0.0,0.5
bridge,GSE234465,OS,target_pool_only,6,6,1.0,1.0
bridge,GSE234465,OS,source_plus_target_pool,6,6,1.0,0.8333333333333333
bridge,GSE298393,YA,source_only,0,6,0.0,0.5
bridge,GSE298393,YA,target_pool_only,6,6,1.0,1.0
bridge,GSE298393,YA,source_plus_target_pool,6,6,0.7777777777777779,0.6666666666666666
bridge,GSE298393,OS,source_only,0,6,0.0,0.5
bridge,GSE298393,OS,target_pool_only,6,6,1.0,1.0
bridge,GSE298393,OS,source_plus_target_pool,6,6,1.0,0.6666666666666666
