model,target_study,training_pool,labeled_chips,training_ids,n_test,auroc,balanced_accuracy
expression,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469197,6,0.22222222222222224,0.5
expression,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469198,6,0.4444444444444444,0.5
expression,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469199,6,0.6666666666666667,0.6666666666666666
expression,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469197,6,0.5555555555555556,0.3333333333333333
expression,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469198,6,0.11111111111111112,0.3333333333333333
expression,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469199,6,0.22222222222222224,0.5
expression,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469197,6,1.0,0.8333333333333333
expression,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469198,6,0.888888888888889,0.8333333333333333
expression,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469199,6,1.0,0.6666666666666666
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469192|GSE234465:GSM7469197|GSE234465:GSM7469198,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469192|GSE234465:GSM7469197|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469192|GSE234465:GSM7469198|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469193|GSE234465:GSM7469197|GSE234465:GSM7469198,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469193|GSE234465:GSM7469197|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469193|GSE234465:GSM7469198|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469192|GSE234465:GSM7469193|GSE234465:GSM7469197|GSE234465:GSM7469198,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469192|GSE234465:GSM7469193|GSE234465:GSM7469197|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,4,GSE234465:GSM7469192|GSE234465:GSM7469193|GSE234465:GSM7469198|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,YA,6,GSE234465:GSM7469191|GSE234465:GSM7469192|GSE234465:GSM7469193|GSE234465:GSM7469197|GSE234465:GSM7469198|GSE234465:GSM7469199,6,1.0,1.0
expression,GSE234465,OS,2,GSE234465:GSM7469194|GSE234465:GSM7469200,6,1.0,0.8333333333333333
expression,GSE234465,OS,2,GSE234465:GSM7469194|GSE234465:GSM7469201,6,1.0,1.0
expression,GSE234465,OS,2,GSE234465:GSM7469194|GSE234465:GSM7469202,6,1.0,0.8333333333333333
expression,GSE234465,OS,2,GSE234465:GSM7469195|GSE234465:GSM7469200,6,0.6666666666666667,0.6666666666666666
expression,GSE234465,OS,2,GSE234465:GSM7469195|GSE234465:GSM7469201,6,1.0,0.8333333333333333
expression,GSE234465,OS,2,GSE234465:GSM7469195|GSE234465:GSM7469202,6,1.0,1.0
expression,GSE234465,OS,2,GSE234465:GSM7469196|GSE234465:GSM7469200,6,0.6666666666666667,0.8333333333333333
expression,GSE234465,OS,2,GSE234465:GSM7469196|GSE234465:GSM7469201,6,1.0,0.8333333333333333
expression,GSE234465,OS,2,GSE234465:GSM7469196|GSE234465:GSM7469202,6,1.0,0.8333333333333333
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469195|GSE234465:GSM7469200|GSE234465:GSM7469201,6,1.0,1.0
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469195|GSE234465:GSM7469200|GSE234465:GSM7469202,6,1.0,1.0
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469195|GSE234465:GSM7469201|GSE234465:GSM7469202,6,1.0,1.0
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469196|GSE234465:GSM7469200|GSE234465:GSM7469201,6,1.0,1.0
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469196|GSE234465:GSM7469200|GSE234465:GSM7469202,6,1.0,1.0
expression,GSE234465,OS,4,GSE234465:GSM7469194|GSE234465:GSM7469196|GSE234465:GSM7469201|GSE234465:GSM7469202,6,1.0,1.0
