fold,gene,standardized_coefficient,interpretation
GSE234465__to__GSE298393,ARHGEF40,0.0025191681416459034,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GPS1,0.002458126198500475,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PSMD3,0.0024202870814163417,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,IRGQ,0.002419587899506766,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,EHBP1L1,0.0024116669792461293,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ELOF1,0.002411552263280552,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ZFAND2B,0.002406451191835701,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,HNRNPUL2,0.0024049217409573306,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PSMC3,0.002399236999042846,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,TUBGCP3,0.002392958779719603,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GET3,0.0023927838304620007,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GOLGA3,0.0023914644862275676,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,STON2,0.0023892595646184366,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,NFIC,0.0023802562949177103,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,JMJD7,-0.0023786498445952904,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,AKT2,0.0023782935691625696,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,TRIM72,0.0023763773813860823,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PRMT1,0.002370502620162605,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,IRS2,-0.002367167794503977,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PRKCD,0.002366488319879994,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GUK1,0.0023664648042643656,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PSMB3,0.0023641293146516537,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GPAT3,-0.0023639993480604367,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ATXN1,0.0023631061959730696,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PSMD4,0.0023626899333567064,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,SFT2D2,0.0023618773836689955,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PROSER3,0.0023606008228851463,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,CNTROB,0.0023575187588866773,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,RPS6KB2,0.0023516731737020964,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,RPS2,0.0023489320621952244,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,RAB1B,0.00234354955585939,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ZNF276,0.002343280900064976,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,CEBPB,-0.0023394298208290146,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,TSPAN4,0.002336959767398683,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,FBL,0.0023354285301618667,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ESRRB,-0.0023354245345469774,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,MYG1,0.0023312782775545666,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,HDAC4,0.002330368037548844,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,DDAH2,0.002328411205893839,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ZNF629,0.0023268117464225737,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,GFER,0.002325589795370156,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,MT-ND3,-0.0023236550989612953,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,ANKRD24,-0.0023223239148426216,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,PDE11A,-0.002320471300588607,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,SCARA5,-0.0023185945356667685,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,SMPD4,0.00231704747799931,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,RARRES2,0.0023164006871879013,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,STAT6,0.0023163625484200917,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,KRTCAP2,0.0023159592343184486,training association; not BridgeRNA attribution or causal effect
GSE234465__to__GSE298393,CIZ1,0.002315636150637992,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,ZNF385B,-0.002731514969165488,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,TESK1,-0.002718175339261425,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,KANK1,0.0026999871090636045,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,TENM2,0.002696758448193228,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,HTR7,-0.00269453816717874,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CD101,-0.0026907473313172335,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,PLN,-0.00268843656946371,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,TRIM9,0.0026868698376388534,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,TIGD4,-0.0026802049449451463,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CTDSP1,-0.002649551034757241,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,PTP4A3,-0.002648543038846617,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,GAS6,-0.00263449446604079,training association; not BridgeRNA attribution or causal effect
GSE298393__to__GSE234465,CACNA1E,0.002633560702125823,training association; not BridgeRNA attribution or causal effect
