evaluation,fold,model,C,n_train,n_test,balanced_accuracy,auroc,average_precision,uncalibrated_brier,TP,TN,FP,FN
cross_flight,GSE234465__to__GSE298393,expression_linear,1.0,12,12,0.5,0.0,0.34678932178932176,0.49978524056309315,6,0,6,0
cross_flight,GSE234465__to__GSE298393,expression_linear,0.01,12,12,0.5,0.0,0.34678932178932176,0.48790045297734447,6,0,6,0
cross_flight,GSE234465__to__GSE298393,expression_linear,100.0,12,12,0.5,0.0,0.34678932178932176,0.5016792516459977,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pca5_linear,1.0,12,12,0.5,0.0,0.34678932178932176,0.5046310368656889,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pca5_linear,0.01,12,12,0.5,0.0,0.34678932178932176,0.4925264264880727,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pca5_linear,100.0,12,12,0.5,0.0,0.34678932178932176,0.5098881503933957,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_linear,1.0,12,12,0.5,0.0,0.34678932178932176,0.49999998728268924,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_linear,0.01,12,12,0.5,0.13888888888888887,0.37863756613756616,0.49135790907995375,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_linear,100.0,12,12,0.5,0.0,0.34678932178932176,0.4999999999999997,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,1.0,12,12,0.5,0.0,0.34678932178932176,0.4999999997952789,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,0.01,12,12,0.5,0.0,0.34678932178932176,0.499797311106111,6,0,6,0
cross_flight,GSE234465__to__GSE298393,bridge_mean_std_linear,100.0,12,12,0.5,0.0,0.34678932178932176,0.4999999999999997,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,1.0,12,12,0.5,0.5,0.5,0.25,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,0.01,12,12,0.5,0.5,0.5,0.25,6,0,6,0
cross_flight,GSE234465__to__GSE298393,pool_metadata_linear,100.0,12,12,0.5,0.5,0.5,0.25,6,0,6,0
within_flight_pool,GSE234465__YA__to__OS,expression_linear,1.0,6,6,1.0,1.0,1.0,0.0006940556829728536,3,3,0,0
within_flight_pool,GSE234465__YA__to__OS,pca5_linear,1.0,6,6,1.0,1.0,1.0,0.0006940556829727983,3,3,0,0
within_flight_pool,GSE234465__YA__to__OS,bridge_mean_linear,1.0,6,6,0.8333333333333333,1.0,1.0,0.1662968288742972,2,3,0,1
