evaluation,fold,role,id
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469191
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469192
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469193
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469194
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469195
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469196
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469197
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469198
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469199
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469200
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469201
cross_flight,GSE234465__to__GSE298393,train,GSE234465:GSM7469202
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013395
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013396
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013397
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013398
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013399
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013400
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013404
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013405
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013406
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013410
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013411
cross_flight,GSE234465__to__GSE298393,test,GSE298393:GSM9013412
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469191
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469192
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469193
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469197
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469198
within_flight_pool,GSE234465__YA__to__OS,train,GSE234465:GSM7469199
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469194
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469195
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469196
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469200
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469201
within_flight_pool,GSE234465__YA__to__OS,test,GSE234465:GSM7469202
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469194
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469195
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469196
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469200
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469201
within_flight_pool,GSE234465__OS__to__YA,train,GSE234465:GSM7469202
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469191
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469192
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469193
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469197
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469198
within_flight_pool,GSE234465__OS__to__YA,test,GSE234465:GSM7469199
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013395
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013396
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013397
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013398
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013399
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013400
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013404
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013405
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013406
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013410
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013411
cross_flight,GSE298393__to__GSE234465,train,GSE298393:GSM9013412
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469191
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469192
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469193
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469194
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469195
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469196
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469197
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469198
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469199
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469200
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469201
cross_flight,GSE298393__to__GSE234465,test,GSE234465:GSM7469202
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013395
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013396
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013397
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013404
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013405
within_flight_pool,GSE298393__YA__to__OS,train,GSE298393:GSM9013406
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013398
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013399
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013400
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013410
within_flight_pool,GSE298393__YA__to__OS,test,GSE298393:GSM9013411
