evaluation,fold,model,C,n_train,n_test,omitted_train_id,balanced_accuracy,auroc,average_precision,uncalibrated_brier,TP,TN,FP,FN,prediction_agreement_with_full
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469191,0.5,0.0,0.34678932178932176,0.498267183786945,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469192,0.5,0.0,0.34678932178932176,0.4989077983142081,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469193,0.5,0.0,0.34678932178932176,0.4989615560880268,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469194,0.5,0.0,0.34678932178932176,0.5000615384727191,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469195,0.5,0.0,0.34678932178932176,0.4979431300393295,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469196,0.5,0.0,0.34678932178932176,0.5004503266630743,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469197,0.5,0.0,0.34678932178932176,0.50055432439117,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469198,0.16666666666666666,0.0,0.34678932178932176,0.6735400387301732,2,0,6,4,0.6666666666666666
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469199,0.5,0.0,0.34678932178932176,0.4986050346684263,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469200,0.5,0.0,0.34678932178932176,0.49967130593540515,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469201,0.5,0.0,0.34678932178932176,0.5046535655303463,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,expression_linear,1,12,12,GSE234465:GSM7469202,0.5,0.0,0.34678932178932176,0.4999369906053995,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pca5_linear,1,12,12,GSE234465:GSM7469191,0.5,0.0,0.34678932178932176,0.4985060913634048,6,0,6,0,1.0
cross_flight,GSE234465__to__GSE298393,pca5_linear,1,12,12,GSE234465:GSM7469192,0.5,0.0,0.34678932178932176,0.4990908759704777,6,0,6,0,1.0
