training_pool,id,sample_index,label,reference,logit,reference_logit,attribution_sum
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,-6.92047207435337,-8.158741277726996,1.2382692033736244
YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,-6.92047207435337,0.15339485053087287,-7.073866924884239
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,-6.6875211873781595,-8.158741277726996,1.4712200903488375
YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,-6.6875211873781595,0.15339485053087287,-6.840916037909027
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,-6.288481223500639,-8.158741277726996,1.8702600542263552
YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,-6.288481223500639,0.15339485053087287,-6.441876074031509
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,5.335585892363881,-8.158741277726996,13.494327170090877
YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,5.335585892363881,0.15339485053087287,5.182191041833012
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,4.171988803695513,-8.158741277726996,12.330730081422502
YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,4.171988803695513,0.15339485053087287,4.018593953164637
YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,4.696598393625166,-8.158741277726996,12.855339671352162
YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,4.696598393625166,0.15339485053087287,4.543203543094298
OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,0.5127607207864457,-8.380668798113419,8.89342951889987
OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,0.5127607207864457,0.5577800263827584,-0.04501930559630068
OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,2.135281690405705,-8.380668798113419,10.515950488519138
OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,2.135281690405705,0.5577800263827584,1.5775016640229687
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,-2.8823929525746905,-8.380668798113419,5.498275845538739
OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,-2.8823929525746905,0.5577800263827584,-3.440172978957431
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,7.942061120452109,-8.380668798113419,16.322729918565532
OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,7.942061120452109,0.5577800263827584,7.384281094069362
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,7.6308984257427,-8.380668798113419,16.011567223856126
OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,7.6308984257427,0.5577800263827584,7.073118399359958
OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,11.488134996323751,-8.380668798113419,19.868803794437184
OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,11.488134996323751,0.5577800263827584,10.930354969941012
