model,training_pool,reference,program,omitted_id,response_attribution_gap,retains_full_sign
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013395,-0.13484400387584144,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013396,-0.0907942547245842,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013397,-0.11495449219666481,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013404,-0.11290281354951251,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013405,-0.13048300708266383,True
bridge,OS,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013406,-0.09720693016491411,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013395,-0.12918793218179575,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013396,-0.09819411301934644,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013397,-0.16222267463685547,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013404,-0.11194691147552246,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013405,-0.12465199186960411,True
bridge,OS,training_all_mean_TPM,dna_repair,GSE298393:GSM9013406,-0.15300581649287098,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013395,0.029717669732287746,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013396,0.029505573366967998,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013397,0.019259698750510354,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013404,0.019759004159829795,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013405,0.03327941875945583,True
bridge,OS,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013406,0.025444518930480463,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013395,0.13729062683791513,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013396,0.002454908323508004,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013397,0.11886649346295583,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013404,0.06958837319359948,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013405,0.11936055680768931,True
bridge,OS,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013406,0.06966309862309006,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013395,0.08739767524656905,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013396,0.03130600842675814,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013397,0.0705444092563165,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013404,0.04610120063762593,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013405,0.061657954768855674,True
bridge,OS,training_all_mean_TPM,proteostasis,GSE298393:GSM9013406,0.08148893752316205,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013395,0.6543457657803614,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013396,0.5183389328179281,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013397,0.5773013773093312,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013404,0.46416506584418865,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013405,0.5895630344606814,True
bridge,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013406,0.6962579756027506,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013395,-0.13809884520000051,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013396,-0.09220945954660485,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013397,-0.11842120618286701,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013404,-0.11535510396419868,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013405,-0.13191316841341316,True
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013406,-0.10146123855186058,True
bridge,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013395,-0.12903141091988088,True
bridge,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013396,-0.09833793907810981,True
bridge,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013397,-0.15832590623564638,True
bridge,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013404,-0.11028696099538193,True
