model,training_pool,id,label,reference,program,renormalized,logit_change,matched_random_median,matched_random_abs_percentile,matched_random_signed_percentile
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,mitochondrial_expression,False,-0.067828745765837,-0.08112486591369356,0.15,0.55
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,mitochondrial_expression,True,0.0197334318906996,-0.34129034912541556,0.0,0.6
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,dna_repair,False,-0.3565467327207443,-0.15953410185215938,0.5,0.35
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,dna_repair,True,-0.3148013308216377,-0.20450581804811915,0.5,0.45
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,oxidative_stress,False,0.0315073901322193,-0.03658172539689985,0.15,0.65
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,oxidative_stress,True,0.0606129233926822,-0.0185001533199056,0.35,0.75
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,inflammatory_signaling,False,0.5596406796341853,0.0388287149719417,0.95,1.0
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,inflammatory_signaling,True,0.6677708684758272,-0.004780790606446303,0.85,1.0
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,proteostasis,False,0.134077621550432,0.0830255283319729,0.25,0.55
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,proteostasis,True,0.222726006628136,0.054946443399330705,0.45,0.7
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,muscle_remodeling,False,-0.1344341220449223,-0.18591558494813396,0.2,0.6
bridge,YA,GSE298393:GSM9013398,0,training_ground_mean_TPM,muscle_remodeling,True,0.7719994702326858,-0.24914942490624975,0.85,1.0
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,mitochondrial_expression,False,0.1006982146056998,-0.21377009928892216,0.25,0.9
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,mitochondrial_expression,True,0.2805735453880515,-0.27959841706535826,0.45,0.95
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,dna_repair,False,-0.3238948119203542,-0.22718358567237823,0.55,0.4
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,dna_repair,True,-0.2663595170452026,-0.26522658413523453,0.4,0.5
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,oxidative_stress,False,0.0181974476920459,-0.1084532267024087,0.05,0.7
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,oxidative_stress,True,0.0534090549583652,-0.08405842438878605,0.15,0.7
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,inflammatory_signaling,False,0.3415384601510141,-0.15484730432945065,0.65,0.95
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,inflammatory_signaling,True,0.4419263726983899,-0.2068991526457466,0.7,0.95
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,proteostasis,False,0.0832544349927957,0.0078816441435947,0.25,0.6
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,proteostasis,True,0.1784545461605375,0.07268508522679434,0.3,0.7
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,muscle_remodeling,False,-0.5070200387583554,-0.43023544843890704,0.5,0.45
bridge,YA,GSE298393:GSM9013398,0,training_all_mean_TPM,muscle_remodeling,True,0.5387792294429801,-0.5668378823796729,0.45,0.95
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,mitochondrial_expression,False,-0.1158028486402145,-0.07661880248053875,0.2,0.5
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,mitochondrial_expression,True,-0.0950816114780082,-0.1988230837532683,0.1,0.6
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,dna_repair,False,-0.3214864895046503,-0.09286558883104584,0.5,0.35
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,dna_repair,True,-0.3070336579435206,-0.2187787098146145,0.55,0.35
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,oxidative_stress,False,0.0262930158105518,-0.0418005711530895,0.2,0.75
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,oxidative_stress,True,0.0414798993888325,-0.0435496119565641,0.2,0.75
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,inflammatory_signaling,False,0.5340401025162009,-0.0818936867020738,0.95,1.0
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,inflammatory_signaling,True,0.6407109622550706,-0.09517295877799364,0.9,1.0
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,proteostasis,False,0.1554000674709641,0.06498138512949934,0.3,0.5
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,proteostasis,True,0.2259603410175259,0.000758982191769,0.4,0.6
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,muscle_remodeling,False,-0.1199418311171029,-0.1679025086498313,0.3,0.5
bridge,YA,GSE298393:GSM9013399,0,training_ground_mean_TPM,muscle_remodeling,True,0.5983620434158183,-0.2369315536700469,0.8,1.0
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,mitochondrial_expression,False,0.0491357142541346,-0.14444442352032635,0.05,0.75
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,mitochondrial_expression,True,0.1628049426903999,-0.2957835730278475,0.25,0.9
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,dna_repair,False,-0.2941468784094923,-0.22292688117238404,0.55,0.35
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,dna_repair,True,-0.2638560078642058,-0.177761006854098,0.5,0.45
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,oxidative_stress,False,0.0114270215935903,-0.07086020577025914,0.05,0.7
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,oxidative_stress,True,0.0327684478238552,-0.057791137378103444,0.15,0.7
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,inflammatory_signaling,False,0.3123008406182634,-0.2482230224211434,0.6,1.0
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,inflammatory_signaling,True,0.4112572461317541,-0.24856903343618336,0.6,1.0
bridge,YA,GSE298393:GSM9013399,0,training_all_mean_TPM,proteostasis,False,0.1039783382243513,-0.010826918060274648,0.15,0.55
