model,training_pool,id,sample_index,label,reference,program,label_display,n_genes,mean_log1p_TPM_difference,fraction_genes_above_reference,signed_IG_logit,positive_IG_logit,opposing_IG_logit
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.1284468319331635,0.1907514450867052,-0.04614126835430557,0.443136038456999,0.4892773068113046
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,-0.22798338891280925,0.11029411764705882,-0.3775759008534837,0.3680144764597445,0.7455903773132282
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.2371938142838866,0.16279069767441862,0.011207821066402349,0.1643241296179233,0.15311630855152097
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.35243045509146537,0.06557377049180328,0.5192831546225183,1.2348714607046485,0.7155883060821302
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.2823668283720811,0.08823529411764706,0.1279382221159039,0.4801975364664143,0.3522593143505104
bridge,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.19213013156856362,0.2631578947368421,-0.095618074842323,1.1909288077548967,1.2865468825972202
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.2146024403372252,0.06936416184971098,0.10444748680104782,0.7659969428780329,0.661549456076985
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.285858434104525,0.058823529411764705,-0.34669536101804377,0.4728658467874626,0.8195612078055063
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.2509372598210046,0.06976744186046512,-0.006990367340459084,0.17095273478078107,0.17794310212124015
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.29063291588665846,0.08743169398907104,0.3257145165465646,1.0286267361685966,0.7029122196220321
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.29903384393044546,0.08823529411764706,0.06477522299488256,0.4582301788676769,0.3934549558727944
bridge,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.20640325224713274,0.22631578947368422,-0.4540203656322995,1.0532428947419268,1.5072632603742262
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.08293301196004442,0.32947976878612717,-0.09319841590375458,0.3732653937139566,0.4664638096177112
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,-0.18912237904527607,0.20588235294117646,-0.33660019173753397,0.33850753578163806,0.6751077275191719
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.22333310195786316,0.18604651162790697,0.010577989100964713,0.16345940900867223,0.1528814199077075
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.3697120243011684,0.08196721311475409,0.4843628008016629,1.2692968337484194,0.7849340329467565
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.2858130316085675,0.10784313725490197,0.15892625887165357,0.4778184569952727,0.31889219812361913
bridge,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.19392478437604088,0.28421052631578947,-0.06821425180556007,1.2019866320645,1.2702008838700602
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.1690886203641061,0.12716763005780346,0.05725639226548293,0.6230478301387607,0.5657914378732778
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.24699742423699184,0.1323529411764706,-0.3091552207799925,0.4129807953716115,0.7221360161516039
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.23707654749498117,0.06976744186046512,-0.0085711088675841,0.16576803685019206,0.17433914571777614
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.3079144850963615,0.07650273224043716,0.28628393190689944,1.0323449700331526,0.7460610381262531
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.3024800471669319,0.08823529411764706,0.09754573339246769,0.4675326963995313,0.36998696300706374
bridge,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.20819790505461003,0.24736842105263157,-0.43330871333619814,1.0207510253700756,1.4540597387062737
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.04173410449155493,0.4161849710982659,-0.13314796378764393,0.2362198790237049,0.3693678428113488
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,-0.11704196101602386,0.19117647058823528,-0.2472994321646584,0.2571998180477857,0.504499250212444
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.12806539289480032,0.23255813953488372,0.009291683230773668,0.11089515440297772,0.10160347117220403
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,-0.22467039369779532,0.12021857923497267,0.32482482026040504,0.8200899726641562,0.495265152403751
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,-0.1908893604196754,0.16666666666666666,0.09980459888835952,0.34093885600632184,0.24113425711796227
bridge,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,-0.08924820176080654,0.37894736842105264,0.25245110846380847,1.077137295008547,0.8246861865447382
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.12788971289561663,0.18497109826589594,0.014871067364773838,0.4428878477667254,0.42801678040195157
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,-0.17491700620773962,0.16911764705882354,-0.21582810592793716,0.32345013975651243,0.5392782456844496
bridge,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,-0.14180883843191835,0.16279069767441862,-0.009294233233638507,0.11617770170247728,0.12547193493611578
